"carcID","Turbine","TurbineType","DateFound","Species","SpeciesGroup","Distance"
"x4702","t91","Z",1955-09-07,"BA","bat1",5.8
"x4449","t23","X",1955-09-08,"BA","bat1",7.4
"x4497","t2","X",1955-09-08,"BB","bat1",12.7
"x4498","t16","X",1955-09-08,"BA","bat1",24.6
"x4527","t23","X",1955-09-08,"BA","bat1",6.3
"x4594","t30","X",1955-09-08,"BA","bat1",3.2
"x4653","t77","Z",1955-09-08,"BA","bat1",17.3
"x4658","t71","Z",1955-09-08,"BB","bat1",23.8
"x4734","t95","Z",1955-09-08,"BA","bat1",3
"x4747","t100","Z",1955-09-08,"BC","bat1",3.6
"x4777","t83","Z",1955-09-09,"BA","bat1",2.4
"x4778","t75","Z",1955-09-09,"BB","bat1",13.5
"x4799","t91","Z",1955-09-09,"BC","bat1",0.7
"x4809","t48","Y",1955-09-09,"BB","bat1",9.4
"x4823","t88","Z",1955-09-09,"BA","bat1",9.5
"x4771","t18","X",1955-09-10,"BA","bat1",11.1
"x4825","t46","Y",1955-09-10,"BA","bat1",9.3
"x4834","t43","Y",1955-09-10,"BC","bat1",86.4
"x4701","t71","Z",1955-09-11,"BC","bat1",9.7
"x4909","t92","Z",1955-09-11,"BB","bat1",5.8
"x4942","t74","Z",1955-09-11,"BC","bat1",10.7
"x4805","t13","X",1955-09-12,"BA","bat1",5.1
"x4806","t20","X",1955-09-12,"BA","bat1",11.3
"x4837","t72","Z",1955-09-12,"BA","bat1",12.4
"x4848","t93","Z",1955-09-12,"BC","bat1",4
"x4882","t54","Z",1955-09-12,"BA","bat1",6.3
"x4993","t75","Z",1955-09-12,"BA","bat1",4.8
"x4841","t14","X",1955-09-13,"BC","bat1",13.8
"x4925","t7","X",1955-09-13,"BB","bat1",15.7
"x4988","t7","X",1955-09-13,"BA","bat1",11.3
"x5003","t58","Z",1955-09-13,"BA","bat1",72.7
"x5069","t21","X",1955-09-13,"BC","bat1",8.5
"x4949","t65","Z",1955-09-14,"BA","bat1",8.1
"x5134","t51","Z",1955-09-15,"BA","bat1",3.6
"x5162","t90","Z",1955-09-15,"BB","bat1",6.7
"x5203","t86","Z",1955-09-16,"BA","bat1",4.2
"x5216","t76","Z",1955-09-16,"BB","bat1",1.8
"x5250","t93","Z",1955-09-16,"BC","bat1",6
"x5263","t44","Y",1955-09-17,"BA","bat1",7.2
"x5276","t85","Z",1955-09-17,"BA","bat1",2.3
"x5165","t5","X",1955-09-18,"BA","bat1",19.3
"x5199","t69","Z",1955-09-18,"BA","bat1",10.5
"x5268","t42","Y",1955-09-18,"BA","bat1",47.2
"x5317","t69","Z",1955-09-18,"BA","bat1",16.7
"x5348","t69","Z",1955-09-18,"BA","bat1",6
"x5354","t75","Z",1955-09-18,"BA","bat1",8.3
"x5304","t58","Z",1955-09-19,"BB","bat1",81.2
"x5413","t83","Z",1955-09-19,"BC","bat1",10.7
"x5425","t91","Z",1955-09-19,"BB","bat1",5.4
"x4726","t35","Y",1955-09-20,"BA","bat1",33.1
"x5292","t14","X",1955-09-20,"BA","bat1",9.6
"x5156","t36","Y",1955-09-21,"BA","bat1",0.1
"x5440","t8","X",1955-09-21,"BC","bat1",15.1
"x5442","t36","Y",1955-09-21,"BA","bat1",13.5
"x5526","t95","Z",1955-09-21,"BA","bat1",5.2
"x5531","t1","X",1955-09-21,"BB","bat1",0.6
"x5537","t66","Z",1955-09-21,"BC","bat1",11.4
"x5490","t61","Z",1955-09-22,"BC","bat1",8.1
"x5516","t37","Y",1955-09-22,"BC","bat1",3.7
"x5530","t76","Z",1955-09-22,"BB","bat1",19.6
"x5545","t67","Z",1955-09-22,"BA","bat1",8
"x5559","t43","Y",1955-09-22,"BA","bat1",11.2
"x5591","t86","Z",1955-09-22,"BB","bat1",3.7
"x5597","t90","Z",1955-09-22,"BD","bat0",4.4
"x5486","t41","Y",1955-09-23,"BC","bat1",11.5
"x5487","t3","X",1955-09-23,"BA","bat1",7.9
"x5609","t10","X",1955-09-23,"BA","bat1",11.7
"x5638","t62","Z",1955-09-23,"BA","bat1",2.4
"x5642","t10","X",1955-09-23,"BA","bat1",1.4
"x5543","t48","Y",1955-09-24,"BA","bat1",8
"x5687","t97","Z",1955-09-24,"BA","bat1",10.2
"x5371","t70","Z",1955-09-25,"BA","bat1",7.6
"x5495","t19","X",1955-09-25,"BC","bat1",1.5
"x5505","t40","Y",1955-09-25,"BA","bat1",1.3
"x5539","t19","X",1955-09-25,"BB","bat1",5
"x5677","t93","Z",1955-09-25,"BA","bat1",9.4
"x5731","t58","Z",1955-09-25,"BD","bat0",4.6
"x5738","t99","Z",1955-09-25,"BA","bat1",8.2
"x5761","t100","Z",1955-09-25,"BA","bat1",6.4
"x5774","t81","Z",1955-09-25,"BA","bat1",10.1
"x5789","t96","Z",1955-09-25,"BA","bat1",39.7
"x5624","t27","X",1955-09-26,"BA","bat1",5.9
"x5797","t71","Z",1955-09-26,"BB","bat1",8.7
"x5803","t91","Z",1955-09-26,"BA","bat1",11.5
"x5851","t83","Z",1955-09-26,"BA","bat1",11.3
"x5626","t28","X",1955-09-27,"BA","bat1",32.4
"x5650","t60","Z",1955-09-27,"BC","bat1",4.9
"x5710","t7","X",1955-09-27,"BD","bat0",11.7
"x5770","t85","Z",1955-09-27,"BC","bat1",12.6
"x5799","t21","X",1955-09-27,"BA","bat1",16.4
"x5871","t93","Z",1955-09-27,"BB","bat1",7.6
"x5829","t29","X",1955-09-28,"BC","bat1",2.4
"x5924","t96","Z",1955-09-28,"BA","bat1",5.8
"x5713","t74","Z",1955-09-29,"BA","bat1",3.3
"x5805","t23","X",1955-09-29,"BB","bat1",4.1
"x5870","t9","X",1955-09-29,"BC","bat1",3.6
"x5958","t96","Z",1955-09-29,"BA","bat1",4.1
"x5968","t48","Y",1955-09-30,"BC","bat1",10.4
"x5979","t38","Y",1955-09-30,"BA","bat1",14.6
"x6020","t55","Z",1955-10-01,"BC","bat1",45
"x6058","t64","Z",1955-10-01,"BB","bat1",1
"x5861","t13","X",1955-10-03,"BC","bat1",25.3
"x6060","t34","Y",1955-10-03,"BA","bat1",22.2
"x6113","t75","Z",1955-10-03,"BA","bat1",7.1
"x6143","t20","X",1955-10-03,"BB","bat1",66.9
"x6163","t93","Z",1955-10-03,"BC","bat1",7
"x6117","t14","X",1955-10-04,"BC","bat1",8.7
"x6126","t49","Y",1955-10-04,"BC","bat1",6
"x6175","t58","Z",1955-10-04,"BA","bat1",44.4
"x6130","t15","X",1955-10-05,"BA","bat1",8.1
"x6229","t95","Z",1955-10-05,"BB","bat1",51.2
"x6238","t53","Z",1955-10-05,"BA","bat1",3.1
"x6255","t36","Y",1955-10-05,"BA","bat1",10.2
"x6268","t72","Z",1955-10-06,"BB","bat1",17.7
"x6276","t86","Z",1955-10-06,"BA","bat1",13.9
"x6303","t87","Z",1955-10-06,"BA","bat1",20.6
"x6296","t64","Z",1955-10-07,"BA","bat1",11.2
"x6348","t58","Z",1955-10-07,"BA","bat1",14.8
"x6355","t18","X",1955-10-08,"BA","bat1",8.4
"x6380","t88","Z",1955-10-08,"BA","bat1",0
"x6365","t72","Z",1955-10-09,"BA","bat1",7.7
"x6398","t66","Z",1955-10-09,"BC","bat1",14.6
"x6222","t6","X",1955-10-10,"BC","bat1",2.6
"x6278","t82","Z",1955-10-10,"BA","bat1",2.9
"x6446","t73","Z",1955-10-10,"BB","bat1",10.2
"x6391","t56","Z",1955-10-11,"BA","bat1",3.7
"x6483","t68","Z",1955-10-11,"BA","bat1",1.7
"x6463","t43","Y",1955-10-13,"BB","bat1",25.5
"x6469","t3","X",1955-10-14,"BB","bat1",12.3
"x6522","t77","Z",1955-10-14,"BA","bat1",16.1
"x6571","t87","Z",1955-10-15,"BA","bat1",4.2
"x6250","t33","Y",1955-10-16,"BB","bat1",7.3
"x6495","t33","Y",1955-10-16,"BA","bat1",12.8
"x6565","t64","Z",1955-10-16,"BA","bat1",6.7
"x6579","t95","Z",1955-10-16,"BB","bat1",0.3
"x6609","t20","X",1955-10-17,"BA","bat1",2.8
"x6622","t7","X",1955-10-18,"BA","bat1",36.6
"x6600","t16","X",1955-10-20,"BA","bat1",17.1
"x6634","t87","Z",1955-10-20,"BA","bat1",11
"x6582","t78","Z",1955-10-21,"BB","bat1",5.5
"x6620","t3","X",1955-10-21,"BB","bat1",11.8
"x6707","t97","Z",1955-10-25,"BA","bat1",3.6
"x6663","t77","Z",1955-10-26,"BA","bat1",10.4
"x6674","t34","Y",1955-10-31,"BA","bat1",2
