"carcID","Turbine","TurbineType","DateFound","Visibility","Species","SpeciesGroup","Size","Distance"
"x1107","t26","X",2018-04-19,"RP","BA","bat1","bat",1.73887651381223
"x1114","t53","Z",2018-04-22,"RP","SG","brd1","sml",5.4410365247855
"x1139","t75","Z",2018-04-22,"RP","BC","bat1","bat",5.07495937985672
"x1158","t44","Y",2018-04-25,"RP","BC","bat1","bat",12.4348983081279
"x1186","t77","Z",2018-04-22,"RP","BB","bat1","bat",38.1303382485312
"x1191","t36","Y",2018-04-25,"RP","LA","brd2","lrg",43.4071752475277
"x1204","t63","Z",2018-04-22,"RP","SD","brd1","sml",14.1602285319179
"x1213","t5","X",2018-04-28,"RP","SD","brd1","sml",14.1125367568438
"x1244","t80","Z",2018-04-25,"RP","BA","bat1","bat",9.18703655423977
"x1247","t100","Z",2018-04-25,"RP","BA","bat1","bat",5.6219710099008
"x1260","t72","Z",2018-04-25,"RP","SC","brd1","sml",7.04634125358121
"x1302","t65","Z",2018-04-28,"RP","BA","bat1","bat",24.0161509169132
"x1310","t28","X",2018-04-25,"RP","BA","bat1","bat",47.5515803983823
"x1315","t93","Z",2018-04-25,"RP","BA","bat1","bat",11.7254536883473
"x1368","t51","Z",2018-04-28,"RP","BA","bat1","bat",6.92285210888807
"x1411","t44","Y",2018-05-01,"RP","BC","bat1","bat",1.87201245103497
"x1482","t60","Z",2018-05-01,"RP","BA","bat1","bat",12.965165072708
"x1499","t10","X",2018-05-01,"RP","BA","bat1","bat",26.1385242866266
"x1539","t93","Z",2018-05-01,"RP","BB","bat1","bat",15.8427113708872
"x1545","t81","Z",2018-05-01,"RP","BA","bat1","bat",3.15121795138249
"x1548","t95","Z",2018-05-01,"RP","BA","bat1","bat",27.4196127299179
"x1605","t82","Z",2018-05-08,"RP","SF","brd1","sml",10.3241370291776
"x1644","t42","Y",2018-05-08,"RP","BA","bat1","bat",11.7369411555245
"x1666","t14","X",2018-05-15,"RP","BB","bat1","bat",6.51578783796313
"x1689","t60","Z",2018-05-15,"RP","BA","bat1","bat",9.6270915031048
"x1709","t76","Z",2018-05-15,"RP","BB","bat1","bat",39.5805895594272
"x1723","t49","Y",2018-05-15,"RP","SD","brd1","sml",23.1006737399552
"x1735","t20","X",2018-05-15,"RP","BA","bat1","bat",11.4257646252809
"x1759","t52","Z",2018-05-15,"RP","SF","brd1","sml",18.329805230181
"x1777","t100","Z",2018-05-22,"RP","MF","brd2","med",9.06840946647113
"x1798","t32","Y",2018-05-22,"RP","BA","bat1","bat",53.1309454514167
"x1851","t17","X",2018-05-22,"RP","BA","bat1","bat",14.5652328454191
"x1857","t100","Z",2018-05-22,"RP","BA","bat1","bat",4.32971098116602
"x1957","t58","Z",2018-05-29,"RP","BA","bat1","bat",8.34867012651472
"x1981","t28","X",2018-05-29,"RP","BA","bat1","bat",0.235487860481697
"x2003","t38","Y",2018-06-05,"RP","SB","brd1","sml",30.2959365161432
"x2055","t9","X",2018-06-05,"RP","LA","brd2","lrg",19.5218932726234
"x2068","t83","Z",2018-06-05,"RP","BA","bat1","bat",10.0131412479788
"x2095","t3","X",2018-06-12,"RP","MH","brd3","med",0.892740083313647
"x2096","t6","X",2018-06-12,"RP","LB","brd3","lrg",45.5117035507377
"x2112","t8","X",2018-06-12,"RP","SC","brd1","sml",43.3745320929796
"x2115","t5","X",2018-06-12,"RP","BB","bat1","bat",28.6972980429453
"x2136","t78","Z",2018-06-12,"RP","BB","bat1","bat",8.56616504214087
"x2143","t19","X",2018-06-12,"RP","MG","brd2","med",12.2350595055397
"x2160","t67","Z",2018-06-12,"RP","SG","brd1","sml",3.74424642889956
"x2165","t27","X",2018-06-12,"RP","BD","bat0","bat",5.96803979791433
"x2174","t44","Y",2018-06-12,"RP","BA","bat1","bat",13.2559379157449
"x2264","t74","Z",2018-06-19,"RP","BA","bat1","bat",7.25820814692825
"x2290","t11","X",2018-06-19,"RP","BB","bat1","bat",5.83805413951165
"x2293","t100","Z",2018-06-19,"RP","BA","bat1","bat",10.2111747619775
"x2315","t62","Z",2018-06-26,"RP","SC","brd1","sml",7.62543557078454
"x2321","t10","X",2018-06-26,"RP","SG","brd1","sml",9.9825049494025
"x2389","t89","Z",2018-06-26,"RP","BA","bat1","bat",13.0050353028405
"x2410","t87","Z",2018-06-27,"RP","BA","bat1","bat",11.010686099765
"x2428","t98","Z",2018-06-29,"RP","BC","bat1","bat",3.7199356078517
"x2457","t95","Z",2018-06-29,"RP","BA","bat1","bat",10.8606921171039
"x2462","t89","Z",2018-06-28,"RP","BA","bat1","bat",6.75934299425754
"x2471","t30","X",2018-06-28,"RP","BA","bat1","bat",4.57101233699717
"x2504","t29","X",2018-07-04,"RP","BA","bat1","bat",8.75342766008516
"x2536","t21","X",2018-07-03,"RP","BC","bat1","bat",102.885115290587
"x2551","t25","X",2018-06-30,"RP","BA","bat1","bat",13.7810144406587
"x2560","t61","Z",2018-07-02,"RP","BA","bat1","bat",6.39591208520633
"x2566","t82","Z",2018-07-01,"RP","BA","bat1","bat",36.5435384236238
"x2580","t86","Z",2018-07-01,"RP","BA","bat1","bat",9.49563964917914
"x2612","t21","X",2018-07-03,"RP","BA","bat1","bat",31.8787986196529
"x2628","t13","X",2018-07-02,"RP","BC","bat1","bat",33.1316370145533
"x2633","t93","Z",2018-07-03,"RP","BA","bat1","bat",4.81359868601148
"x2634","t85","Z",2018-07-03,"RP","BC","bat1","bat",5.18778808066406
"x2643","t35","Y",2018-07-03,"RP","BC","bat1","bat",14.1097135962175
"x2657","t33","Y",2018-07-08,"RP","BC","bat1","bat",12.7988251836737
"x2672","t2","X",2018-07-12,"RP","BC","bat1","bat",11.5392819319296
"x2710","t99","Z",2018-07-04,"RP","BA","bat1","bat",6.23287084496249
"x2737","t91","Z",2018-07-05,"RP","MA","brd1","med",46.478761454595
"x2797","t10","X",2018-07-06,"RP","BB","bat1","bat",34.1933865945427
"x2805","t88","Z",2018-07-07,"RP","BA","bat1","bat",7.19319328026882
"x2857","t20","X",2018-07-09,"RP","BC","bat1","bat",8.3485831389495
"x2920","t94","Z",2018-07-10,"RP","BC","bat1","bat",6.1566588058995
"x2946","t91","Z",2018-07-10,"RP","BC","bat1","bat",7.99271448322005
"x2981","t86","Z",2018-07-11,"RP","BA","bat1","bat",10.7951231664669
"x2987","t57","Z",2018-07-16,"RP","BA","bat1","bat",4.00283995755544
"x3003","t47","Y",2018-07-12,"RP","BA","bat1","bat",4.94920879584861
"x3008","t23","X",2018-07-12,"RP","BA","bat1","bat",2.73189282754354
"x3017","t66","Z",2018-07-16,"RP","BA","bat1","bat",13.2072343286401
"x3018","t24","X",2018-07-13,"RP","BC","bat1","bat",8.56963661794742
"x3037","t72","Z",2018-07-13,"RP","BA","bat1","bat",73.7869982772914
"x3084","t46","Y",2018-07-17,"RP","BA","bat1","bat",2.86633132398904
"x3085","t88","Z",2018-07-14,"RP","BA","bat1","bat",4.041391908854
"x3102","t20","X",2018-07-16,"RP","BB","bat1","bat",10.8341399403648
"x3120","t82","Z",2018-07-15,"RP","BA","bat1","bat",2.8844647795376
"x3142","t69","Z",2018-07-16,"RP","BA","bat1","bat",3.33426152493338
"x3143","t66","Z",2018-07-16,"RP","BC","bat1","bat",78.5252544851631
"x3144","t32","Y",2018-07-21,"RP","BA","bat1","bat",42.2696167955954
"x3169","t54","Z",2018-07-16,"RP","BA","bat1","bat",10.0521171234587
"x3180","t22","X",2018-07-18,"RP","BB","bat1","bat",22.1564244177781
"x3183","t33","Y",2018-07-22,"RP","BA","bat1","bat",10.0798536213579
"x3184","t100","Z",2018-07-16,"RP","BB","bat1","bat",45.1422555349007
"x3185","t90","Z",2018-07-16,"RP","BA","bat1","bat",47.1082831758423
"x3189","t69","Z",2018-07-16,"RP","BB","bat1","bat",7.8354046860452
"x3211","t21","X",2018-07-17,"RP","BB","bat1","bat",2.12875736606923
"x3241","t41","Y",2018-07-18,"RP","BB","bat1","bat",13.8307529530936
"x3242","t85","Z",2018-07-18,"RP","BA","bat1","bat",9.13921522397039
"x3272","t51","Z",2018-07-19,"RP","BA","bat1","bat",3.06137964945997
"x3274","t46","Y",2018-07-20,"RP","BB","bat1","bat",8.18206147191338
"x3305","t81","Z",2018-07-20,"RP","BA","bat1","bat",7.22981949475639
"x3351","t44","Y",2018-07-21,"RP","BA","bat1","bat",11.6062130870091
"x3373","t81","Z",2018-07-21,"RP","BA","bat1","bat",71.9766493339827
"x3378","t46","Y",2018-07-23,"RP","BB","bat1","bat",6.32930349448139
"x3387","t7","X",2018-07-24,"RP","BA","bat1","bat",22.0589067823259
"x3399","t94","Z",2018-07-22,"RP","BC","bat1","bat",10.0677821017482
"x3403","t74","Z",2018-07-27,"RP","BB","bat1","bat",9.2570055455674
"x3408","t100","Z",2018-07-22,"RP","BA","bat1","bat",11.1999612753146
"x3473","t48","Y",2018-07-25,"RP","BA","bat1","bat",7.15574542716815
"x3480","t62","Z",2018-07-24,"RP","BA","bat1","bat",8.87754965913938
"x3488","t95","Z",2018-07-24,"RP","BA","bat1","bat",12.6114307189757
"x3490","t82","Z",2018-07-24,"RP","BA","bat1","bat",9.52194955777061
"x3498","t97","Z",2018-07-25,"RP","BA","bat1","bat",9.03893250952374
"x3501","t78","Z",2018-07-25,"RP","BA","bat1","bat",12.5057745252198
"x3509","t10","X",2018-07-27,"RP","BC","bat1","bat",2.29298647675796
"x3578","t32","Y",2018-08-04,"RP","BB","bat1","bat",11.3034772825928
"x3592","t43","Y",2018-07-29,"RP","BA","bat1","bat",4.76424169497423
"x3614","t26","X",2018-07-29,"RP","BB","bat1","bat",2.92099744232077
"x3615","t5","X",2018-07-29,"RP","MD","brd1","med",17.3016997064079
"x3619","t33","Y",2018-07-29,"RP","BB","bat1","bat",13.5654571907533
"x3641","t81","Z",2018-08-01,"RP","BA","bat1","bat",12.0552717056208
"x3672","t86","Z",2018-07-30,"RP","BC","bat1","bat",5.75519027372839
"x3710","t63","Z",2018-07-31,"RP","BC","bat1","bat",7.68578789713551
"x3716","t45","Y",2018-07-31,"RP","BA","bat1","bat",44.5004225670738
"x3717","t88","Z",2018-08-01,"RP","BD","bat0","bat",6.13346005967613
"x3722","t87","Z",2018-07-31,"RP","BB","bat1","bat",9.75108285410663
"x3723","t73","Z",2018-08-01,"RP","BA","bat1","bat",3.23887400981375
"x3731","t97","Z",2018-07-31,"RP","BB","bat1","bat",3.28046418853378
"x3733","t14","X",2018-07-31,"RP","BC","bat1","bat",19.9822799208433
"x3746","t44","Y",2018-08-02,"RP","SC","brd1","sml",11.4638353371019
"x3891","t59","Z",2018-08-05,"RP","BA","bat1","bat",5.216426694638
"x3893","t100","Z",2018-08-06,"RP","BB","bat1","bat",4.11752630650111
"x3904","t49","Y",2018-08-07,"RP","MA","brd1","med",86.9584539022524
"x3909","t86","Z",2018-08-06,"RP","BA","bat1","bat",10.2921368302327
"x3913","t44","Y",2018-08-08,"RP","BA","bat1","bat",10.5188050600631
"x3936","t76","Z",2018-08-07,"RP","BA","bat1","bat",3.95554756879732
"x3946","t1","X",2018-08-08,"RP","BA","bat1","bat",2.48772229920601
"x3949","t42","Y",2018-08-06,"RP","BB","bat1","bat",1.09979242155688
"x3966","t9","X",2018-08-09,"RP","BA","bat1","bat",6.63420966512257
"x3981","t82","Z",2018-08-07,"RP","BB","bat1","bat",9.59868015047075
"x4038","t46","Y",2018-08-10,"RP","BB","bat1","bat",11.8696855935449
"x4042","t32","Y",2018-08-11,"RP","BA","bat1","bat",3.37639632366398
"x4046","t31","Y",2018-08-10,"RP","SF","brd1","sml",12.0379579734494
"x4060","t8","X",2018-08-15,"RP","LA","brd2","lrg",21.8891207475954
"x4065","t14","X",2018-08-14,"RP","BD","bat0","bat",6.0127785332038
"x4116","t30","X",2018-08-16,"RP","BC","bat1","bat",34.3283794578336
"x4148","t87","Z",2018-08-11,"RP","BA","bat1","bat",2.97483090613986
"x4157","t89","Z",2018-08-11,"RP","BA","bat1","bat",8.07302215651762
"x4202","t2","X",2018-08-16,"RP","BB","bat1","bat",8.49797065345097
"x4204","t20","X",2018-08-13,"RP","BA","bat1","bat",3.74007404795724
"x4224","t40","Y",2018-08-19,"RP","BA","bat1","bat",14.5230154978569
"x4238","t92","Z",2018-08-13,"RP","BA","bat1","bat",13.5892854227109
"x4249","t88","Z",2018-08-15,"RP","BA","bat1","bat",7.11353746604427
"x4260","t81","Z",2018-08-15,"RP","BB","bat1","bat",10.7529712976788
"x4281","t63","Z",2018-08-15,"RP","BA","bat1","bat",3.95292522673611
"x4296","t69","Z",2018-08-15,"RP","BA","bat1","bat",10.1778143888781
"x4319","t91","Z",2018-08-16,"RP","BA","bat1","bat",1.6996240664972
"x4329","t97","Z",2018-08-15,"RP","BA","bat1","bat",10.3993021877248
"x4339","t72","Z",2018-08-15,"RP","BC","bat1","bat",10.2574794738578
"x4349","t52","Z",2018-08-16,"RP","BA","bat1","bat",8.81099430713829
"x4350","t100","Z",2018-08-18,"RP","BB","bat1","bat",20.345942955321
"x4365","t16","X",2018-08-16,"RP","SE","brd2","sml",29.2836793240741
"x4416","t33","Y",2018-08-19,"RP","BA","bat1","bat",14.1510692383836
"x4424","t58","Z",2018-08-19,"RP","BA","bat1","bat",5.8403672588767
"x4454","t58","Z",2018-08-19,"RP","BA","bat1","bat",48.6825832350523
"x4456","t78","Z",2018-08-18,"RP","BA","bat1","bat",4.68485456548658
"x4463","t24","X",2018-08-24,"RP","BA","bat1","bat",13.0226425708996
"x4471","t64","Z",2018-08-19,"RP","BA","bat1","bat",3.80993899331515
"x4562","t69","Z",2018-08-21,"RP","BE","bat0","bat",7.88018773527652
"x4565","t79","Z",2018-08-22,"RP","BB","bat1","bat",23.0510409008338
"x4584","t87","Z",2018-08-21,"RP","BB","bat1","bat",2.08882867282603
"x4610","t79","Z",2018-08-22,"RP","BA","bat1","bat",13.7364967447647
"x4687","t64","Z",2018-08-25,"RP","BA","bat1","bat",3.24653372427013
"x4700","t24","X",2018-08-24,"RP","BA","bat1","bat",8.93634408552325
"x4750","t58","Z",2018-08-25,"RP","BC","bat1","bat",6.94122350517489
