Carcass,Unit,Visibility,GroundCover,Season,HabitatType,Split,Size,DateFound
58,1,M,A,WS,HT2,C1,XL,1/29/2017
59,1,M,A,WS,HT2,C1,XL,1/29/2017
60,1,M,A,WS,HT2,C1,XL,1/29/2017
61,1,M,B,SF,HT2,C2,XL,1/29/2017
62,1,M,B,SF,HT2,C2,XL,1/29/2017
63,1,M,B,SF,HT2,C2,XL,1/29/2017
64,1,M,B,SF,HT2,C2,XL,1/29/2017
65,1,M,B,SF,HT2,C2,XL,1/29/2017
66,1,M,B,WS,HT2,C1,XL,1/29/2017
67,1,M,B,WS,HT2,C1,XL,1/29/2017
68,1,M,B,WS,HT2,C1,XL,1/29/2017
69,1,M,B,WS,HT2,C1,XL,1/29/2017
70,1,M,B,WS,HT2,C1,XL,1/29/2017
71,1,M,B,WS,HT2,C2,XL,1/29/2017
72,1,M,B,WS,HT2,C2,XL,1/29/2017
73,1,M,B,WS,HT2,C2,XL,1/29/2017
74,1,M,B,WS,HT2,C2,XL,1/8/2017
75,1,M,B,WS,HT2,C2,XL,1/8/2017
76,1,M,B,WS,HT2,C2,XL,1/8/2017
77,1,H,A,WS,HT2,C1,XL,1/8/2017
78,1,H,A,WS,HT2,C1,XL,1/8/2017
79,1,H,A,WS,HT2,C1,XL,1/8/2017
80,1,H,A,WS,HT2,C1,XL,1/8/2017
81,1,H,A,WS,HT2,C1,XL,1/8/2017
82,1,H,A,WS,HT2,C1,XL,1/8/2017
83,1,H,B,SF,HT1,C2,XL,1/8/2017
84,1,H,B,SF,HT1,C2,XL,1/8/2017
85,1,H,B,SF,HT1,C2,XL,1/8/2017
86,1,H,B,SF,HT1,C2,XL,1/8/2017
87,1,H,B,WS,HT1,C2,XL,1/8/2017
88,1,H,B,WS,HT1,C2,XL,1/8/2017
89,1,H,B,WS,HT1,C2,XL,2/12/2017
90,1,H,B,WS,HT2,C1,XL,2/12/2017
91,1,H,B,WS,HT2,C1,XL,2/12/2017
92,1,H,B,WS,HT2,C1,XL,2/12/2017
93,1,H,B,WS,HT2,C1,XL,2/12/2017
94,1,H,B,WS,HT2,C1,XL,2/12/2017
95,1,H,B,WS,HT2,C1,XL,2/12/2017
96,1,L,A,SF,HT1,C2,L,1/1/2017
97,1,L,A,SF,HT1,C2,L,1/1/2017
98,1,L,A,SF,HT1,C2,L,1/1/2017
99,1,L,A,SF,HT1,C2,L,1/1/2017
100,1,L,A,SF,HT1,C2,L,1/1/2017
101,1,L,A,SF,HT1,C2,L,1/1/2017
102,1,L,A,SF,HT2,C1,L,1/1/2017
103,1,L,A,SF,HT2,C1,L,1/1/2017
104,1,L,A,SF,HT2,C1,L,1/1/2017
105,1,L,A,SF,HT2,C1,L,1/1/2017
106,1,L,A,SF,HT2,C1,L,1/1/2017
107,1,L,A,SF,HT2,C1,L,1/1/2017
108,1,L,A,SF,HT2,C2,L,1/1/2017
109,1,L,A,SF,HT2,C2,L,1/1/2017
110,1,L,A,SF,HT2,C2,L,1/1/2017
111,1,L,A,SF,HT2,C2,L,1/1/2017
112,1,L,A,SF,HT2,C2,L,1/1/2017
113,1,L,A,SF,HT2,C2,L,1/1/2017
114,1,L,A,WS,HT1,C1,L,1/1/2017
115,1,L,A,WS,HT1,C1,L,1/1/2017
116,1,L,A,WS,HT1,C1,L,1/1/2017
117,1,L,A,WS,HT1,C2,L,1/1/2017
118,1,L,A,WS,HT1,C2,L,1/1/2017
119,1,L,A,WS,HT1,C2,L,1/15/2017
120,1,L,A,WS,HT1,C2,L,1/15/2017
121,1,L,A,WS,HT1,C2,L,1/15/2017
122,1,L,A,WS,HT2,C1,L,1/15/2017
123,1,L,A,WS,HT2,C1,L,1/15/2017
124,1,L,A,WS,HT2,C1,L,1/15/2017
125,1,L,A,WS,HT2,C1,L,1/15/2017
126,1,L,A,WS,HT2,C1,L,1/15/2017
127,1,L,A,WS,HT2,C1,L,1/15/2017
128,1,L,A,WS,HT2,C2,L,1/15/2017
129,1,L,A,WS,HT2,C2,L,1/15/2017
130,1,L,A,WS,HT2,C2,L,1/15/2017
131,1,L,A,WS,HT2,C2,L,1/15/2017
132,1,L,B,SF,HT1,C1,L,1/15/2017
133,1,L,B,SF,HT1,C1,L,1/15/2017
134,1,L,B,SF,HT1,C1,L,1/15/2017
135,1,L,B,SF,HT1,C1,L,1/15/2017
136,1,L,B,SF,HT1,C1,L,1/15/2017
137,1,L,B,SF,HT1,C1,L,1/15/2017
138,1,L,B,SF,HT1,C2,L,1/15/2017
139,1,L,B,SF,HT1,C2,L,1/15/2017
140,1,L,B,SF,HT1,C2,L,1/15/2017
141,1,L,B,SF,HT1,C2,L,1/15/2017
142,1,L,B,SF,HT1,C2,L,1/15/2017
143,1,L,B,SF,HT2,C1,L,1/15/2017
144,1,L,B,SF,HT2,C1,L,1/15/2017
145,1,L,B,SF,HT2,C1,L,1/22/2017
146,1,L,B,SF,HT2,C1,L,1/22/2017
147,1,L,B,SF,HT2,C2,L,1/22/2017
148,1,L,B,SF,HT2,C2,L,1/22/2017
149,1,L,B,SF,HT2,C2,L,1/22/2017
150,1,L,B,SF,HT2,C2,L,1/22/2017
151,1,L,B,SF,HT2,C2,L,1/22/2017
152,1,L,B,WS,HT1,C1,L,1/22/2017
153,1,L,B,WS,HT1,C1,L,1/22/2017
154,1,L,B,WS,HT1,C1,L,1/22/2017
155,1,L,B,WS,HT1,C2,L,1/22/2017
156,1,L,B,WS,HT1,C2,L,1/22/2017
157,1,L,B,WS,HT1,C2,L,1/22/2017
158,1,L,B,WS,HT1,C2,L,1/22/2017
159,1,L,B,WS,HT1,C2,L,1/22/2017
160,1,L,B,WS,HT2,C1,L,1/22/2017
161,1,L,B,WS,HT2,C1,L,1/22/2017
162,1,L,B,WS,HT2,C1,L,1/29/2017
163,1,L,B,WS,HT2,C2,L,1/29/2017
164,1,L,B,WS,HT2,C2,L,1/29/2017
165,1,L,B,WS,HT2,C2,L,1/29/2017
166,1,L,B,WS,HT2,C2,L,1/29/2017
167,1,L,B,WS,HT2,C2,L,1/29/2017
168,1,M,A,SF,HT1,C1,L,1/29/2017
169,1,M,A,SF,HT1,C1,L,1/29/2017
170,1,M,A,SF,HT1,C1,L,1/29/2017
171,1,M,A,WS,HT2,C1,L,1/29/2017
172,1,M,A,WS,HT2,C1,L,1/29/2017
173,1,M,A,WS,HT2,C1,L,1/29/2017
174,1,M,A,WS,HT2,C1,L,1/29/2017
175,1,M,A,WS,HT2,C1,L,1/29/2017
176,1,M,A,WS,HT2,C1,L,1/29/2017
177,1,M,B,SF,HT1,C1,L,1/29/2017
178,1,M,B,SF,HT1,C1,L,1/29/2017
179,1,M,B,SF,HT1,C1,L,1/29/2017
180,1,M,B,SF,HT1,C1,L,1/29/2017
181,1,M,B,SF,HT1,C1,L,1/29/2017
182,1,M,B,SF,HT2,C2,L,1/29/2017
183,1,M,B,SF,HT2,C2,L,1/29/2017
184,1,M,B,SF,HT2,C2,L,1/8/2017
185,1,M,B,SF,HT2,C2,L,1/8/2017
186,1,M,B,SF,HT2,C2,L,1/8/2017
187,1,M,B,SF,HT2,C2,L,1/8/2017
188,1,M,B,WS,HT1,C2,L,1/8/2017
189,1,M,B,WS,HT1,C2,L,1/8/2017
190,1,M,B,WS,HT1,C2,L,1/8/2017
191,1,M,B,WS,HT1,C2,L,1/8/2017
192,1,M,B,WS,HT2,C1,L,1/8/2017
193,1,M,B,WS,HT2,C1,L,1/8/2017
194,1,M,B,WS,HT2,C1,L,1/8/2017
195,1,M,B,WS,HT2,C1,L,1/8/2017
196,1,M,B,WS,HT2,C1,L,1/8/2017
197,1,M,B,WS,HT2,C2,L,1/8/2017
198,1,M,B,WS,HT2,C2,L,1/8/2017
199,1,M,B,WS,HT2,C2,L,1/8/2017
200,1,H,A,WS,HT2,C1,L,1/8/2017
201,1,H,A,WS,HT2,C1,L,1/8/2017
202,1,H,A,WS,HT2,C1,L,1/8/2017
203,1,H,A,WS,HT2,C1,L,1/8/2017
204,1,H,A,WS,HT2,C1,L,1/8/2017
205,1,H,A,WS,HT2,C1,L,1/8/2017
206,1,H,B,SF,HT1,C2,L,1/8/2017
207,1,H,B,SF,HT1,C2,L,2/12/2017
208,1,H,B,SF,HT1,C2,L,2/12/2017
209,1,H,B,SF,HT2,C2,L,2/12/2017
210,1,H,B,SF,HT2,C2,L,2/12/2017
211,1,H,B,SF,HT2,C2,L,2/12/2017
212,1,H,B,SF,HT2,C2,L,2/12/2017
213,1,H,B,WS,HT1,C2,L,2/12/2017
214,1,H,B,WS,HT1,C2,L,2/12/2017
215,1,H,B,WS,HT1,C2,L,2/12/2017
216,1,H,B,WS,HT1,C2,L,2/12/2017
217,1,H,B,WS,HT2,C1,L,2/12/2017
218,1,H,B,WS,HT2,C1,L,2/12/2017
219,1,H,B,WS,HT2,C1,L,2/12/2017
220,1,L,A,SF,HT1,C1,M,1/1/2017
221,1,L,A,SF,HT1,C1,M,1/1/2017
222,1,L,A,SF,HT1,C1,M,1/1/2017
223,1,L,A,SF,HT1,C1,M,1/1/2017
224,1,L,A,SF,HT1,C1,M,1/1/2017
225,1,L,A,SF,HT1,C2,M,1/1/2017
226,1,L,A,SF,HT1,C2,M,1/1/2017
227,1,L,A,SF,HT1,C2,M,1/1/2017
228,1,L,A,SF,HT2,C1,M,1/1/2017
229,1,L,A,SF,HT2,C1,M,1/1/2017
230,1,L,A,SF,HT2,C1,M,1/1/2017
231,1,L,A,SF,HT2,C1,M,1/1/2017
232,1,L,A,SF,HT2,C1,M,1/1/2017
233,1,L,A,SF,HT2,C1,M,1/1/2017
234,1,L,A,SF,HT2,C2,M,1/1/2017
235,1,L,A,SF,HT2,C2,M,1/1/2017
236,1,L,A,SF,HT2,C2,M,1/1/2017
237,1,L,A,SF,HT2,C2,M,1/1/2017
238,1,L,A,SF,HT2,C2,M,1/1/2017
239,1,L,A,WS,HT1,C1,M,1/1/2017
240,1,L,A,WS,HT1,C1,M,1/1/2017
241,1,L,A,WS,HT1,C1,M,1/1/2017
242,1,L,A,WS,HT1,C1,M,1/1/2017
243,1,L,A,WS,HT1,C2,M,1/15/2017
244,1,L,A,WS,HT1,C2,M,1/15/2017
245,1,L,A,WS,HT1,C2,M,1/15/2017
246,1,L,A,WS,HT2,C1,M,1/15/2017
247,1,L,A,WS,HT2,C1,M,1/15/2017
248,1,L,A,WS,HT2,C1,M,1/15/2017
249,1,L,A,WS,HT2,C1,M,1/15/2017
250,1,L,A,WS,HT2,C2,M,1/15/2017
251,1,L,A,WS,HT2,C2,M,1/15/2017
252,1,L,A,WS,HT2,C2,M,1/15/2017
253,1,L,B,SF,HT1,C1,M,1/15/2017
254,1,L,B,SF,HT1,C1,M,1/15/2017
255,1,L,B,SF,HT1,C1,M,1/15/2017
256,1,L,B,SF,HT1,C1,M,1/15/2017
257,1,L,B,SF,HT1,C1,M,1/22/2017
258,1,L,B,SF,HT1,C1,M,1/22/2017
259,1,L,B,SF,HT1,C2,M,1/22/2017
260,1,L,B,SF,HT1,C2,M,1/22/2017
261,1,L,B,SF,HT1,C2,M,1/22/2017
262,1,L,B,SF,HT1,C2,M,1/22/2017
263,1,L,B,SF,HT2,C1,M,1/22/2017
264,1,L,B,SF,HT2,C1,M,1/22/2017
265,1,L,B,SF,HT2,C1,M,1/22/2017
266,1,L,B,SF,HT2,C2,M,1/22/2017
267,1,L,B,SF,HT2,C2,M,1/22/2017
268,1,L,B,SF,HT2,C2,M,1/22/2017
269,1,L,B,SF,HT2,C2,M,1/22/2017
270,1,L,B,WS,HT1,C1,M,1/22/2017
271,1,L,B,WS,HT1,C1,M,1/22/2017
272,1,L,B,WS,HT1,C1,M,1/22/2017
273,1,L,B,WS,HT1,C1,M,1/22/2017
274,1,L,B,WS,HT1,C1,M,1/22/2017
275,1,L,B,WS,HT1,C1,M,1/22/2017
276,1,L,B,WS,HT1,C2,M,1/22/2017
277,1,L,B,WS,HT1,C2,M,1/22/2017
278,1,L,B,WS,HT1,C2,M,1/22/2017
279,1,L,B,WS,HT2,C1,M,1/29/2017
280,1,L,B,WS,HT2,C1,M,1/29/2017
281,1,L,B,WS,HT2,C1,M,1/29/2017
282,1,L,B,WS,HT2,C1,M,1/29/2017
283,1,L,B,WS,HT2,C2,M,1/29/2017
284,1,L,B,WS,HT2,C2,M,1/29/2017
285,1,L,B,WS,HT2,C2,M,1/29/2017
286,1,L,B,WS,HT2,C2,M,1/29/2017
287,1,M,A,SF,HT1,C1,M,1/29/2017
288,1,M,A,SF,HT1,C1,M,1/29/2017
289,1,M,A,SF,HT1,C1,M,1/29/2017
290,1,M,A,SF,HT1,C1,M,1/29/2017
291,1,M,A,SF,HT1,C1,M,1/29/2017
292,1,M,A,SF,HT2,C1,M,1/29/2017
293,1,M,A,SF,HT2,C1,M,1/29/2017
294,1,M,A,SF,HT2,C1,M,1/29/2017
295,1,M,A,WS,HT1,C1,M,1/29/2017
296,1,M,A,WS,HT1,C1,M,1/8/2017
297,1,M,A,WS,HT1,C1,M,1/8/2017
298,1,M,A,WS,HT2,C1,M,1/8/2017
299,1,M,A,WS,HT2,C1,M,1/8/2017
300,1,M,A,WS,HT2,C1,M,1/8/2017
301,1,M,A,WS,HT2,C1,M,1/8/2017
302,1,M,A,WS,HT2,C1,M,1/8/2017
303,1,M,B,SF,HT1,C1,M,1/8/2017
304,1,M,B,SF,HT1,C1,M,1/8/2017
305,1,M,B,SF,HT1,C1,M,1/8/2017
306,1,M,B,SF,HT2,C1,M,1/8/2017
307,1,M,B,SF,HT2,C1,M,1/8/2017
308,1,M,B,SF,HT2,C1,M,1/8/2017
309,1,M,B,SF,HT2,C1,M,1/8/2017
310,1,M,B,SF,HT2,C2,M,1/8/2017
311,1,M,B,SF,HT2,C2,M,1/8/2017
312,1,M,B,SF,HT2,C2,M,1/8/2017
313,1,M,B,SF,HT2,C2,M,2/12/2017
314,1,M,B,WS,HT1,C2,M,2/12/2017
315,1,M,B,WS,HT1,C2,M,2/12/2017
316,1,M,B,WS,HT1,C2,M,2/12/2017
317,1,M,B,WS,HT1,C2,M,2/12/2017
318,1,M,B,WS,HT1,C2,M,2/12/2017
319,1,M,B,WS,HT2,C1,M,2/12/2017
320,1,M,B,WS,HT2,C1,M,2/12/2017
321,1,M,B,WS,HT2,C1,M,2/12/2017
322,1,M,B,WS,HT2,C1,M,2/12/2017
323,1,M,B,WS,HT2,C1,M,2/12/2017
324,1,M,B,WS,HT2,C2,M,2/12/2017
325,1,M,B,WS,HT2,C2,M,2/12/2017
326,1,M,B,WS,HT2,C2,M,2/12/2017
327,1,M,B,WS,HT2,C2,M,2/12/2017
328,1,M,B,WS,HT2,C2,M,2/12/2017
329,1,M,B,WS,HT2,C2,M,2/12/2017
330,1,H,A,SF,HT1,C1,M,2/12/2017
331,1,H,A,SF,HT1,C1,M,2/12/2017
332,1,H,A,SF,HT1,C1,M,2/12/2017
333,1,H,A,SF,HT1,C1,M,2/12/2017
334,1,H,A,SF,HT1,C1,M,2/19/2017
335,1,H,A,SF,HT1,C1,M,2/19/2017
336,1,H,A,SF,HT2,C2,M,2/19/2017
337,1,H,A,SF,HT2,C2,M,2/19/2017
338,1,H,A,SF,HT2,C2,M,2/19/2017
339,1,H,A,WS,HT2,C1,M,2/19/2017
340,1,H,A,WS,HT2,C1,M,2/19/2017
341,1,H,A,WS,HT2,C1,M,2/19/2017
342,1,H,A,WS,HT2,C1,M,2/19/2017
343,1,H,B,SF,HT1,C2,M,2/19/2017
344,1,H,B,SF,HT1,C2,M,2/19/2017
345,1,H,B,SF,HT1,C2,M,2/19/2017
346,1,H,B,SF,HT1,C2,M,2/19/2017
347,1,H,B,SF,HT1,C2,M,2/19/2017
348,1,H,B,SF,HT1,C2,M,2/19/2017
349,1,H,B,SF,HT2,C2,M,2/19/2017
350,1,H,B,SF,HT2,C2,M,2/19/2017
351,1,H,B,SF,HT2,C2,M,2/19/2017
352,1,H,B,SF,HT2,C2,M,2/19/2017
353,1,H,B,SF,HT2,C2,M,2/19/2017
354,1,H,B,WS,HT1,C2,M,2/19/2017
355,1,H,B,WS,HT1,C2,M,2/19/2017
356,1,H,B,WS,HT1,C2,M,2/19/2017
357,1,H,B,WS,HT1,C2,M,2/19/2017
358,1,H,B,WS,HT2,C1,M,2/19/2017
359,1,H,B,WS,HT2,C1,M,2/26/2017
360,1,H,B,WS,HT2,C1,M,2/26/2017
361,1,H,B,WS,HT2,C1,M,2/26/2017
362,1,H,B,WS,HT2,C2,M,2/26/2017
363,1,H,B,WS,HT2,C2,M,2/26/2017
364,1,H,B,WS,HT2,C2,M,2/26/2017
365,1,H,B,WS,HT2,C2,M,2/26/2017
366,1,L,A,SF,HT1,C1,S,1/1/2017
367,1,L,A,SF,HT1,C1,S,1/1/2017
368,1,L,A,SF,HT1,C1,S,1/1/2017
369,1,L,A,SF,HT1,C1,S,1/1/2017
370,1,L,A,SF,HT1,C2,S,1/1/2017
371,1,L,A,SF,HT1,C2,S,1/1/2017
372,1,L,A,SF,HT1,C2,S,1/1/2017
373,1,L,A,SF,HT1,C2,S,1/1/2017
374,1,L,A,SF,HT2,C1,S,1/1/2017
375,1,L,A,SF,HT2,C1,S,1/1/2017
376,1,L,A,SF,HT2,C1,S,1/1/2017
377,1,L,A,SF,HT2,C1,S,1/1/2017
378,1,L,A,SF,HT2,C1,S,1/1/2017
379,1,L,A,SF,HT2,C2,S,1/1/2017
380,1,L,A,SF,HT2,C2,S,1/1/2017
381,1,L,A,SF,HT2,C2,S,1/1/2017
382,1,L,A,SF,HT2,C2,S,1/1/2017
383,1,L,A,WS,HT1,C1,S,1/1/2017
384,1,L,A,WS,HT1,C1,S,1/1/2017
385,1,L,A,WS,HT1,C1,S,1/1/2017
386,1,L,A,WS,HT1,C2,S,1/15/2017
387,1,L,A,WS,HT1,C2,S,1/15/2017
388,1,L,A,WS,HT1,C2,S,1/15/2017
389,1,L,A,WS,HT1,C2,S,1/15/2017
390,1,L,A,WS,HT2,C1,S,1/15/2017
391,1,L,A,WS,HT2,C1,S,1/15/2017
392,1,L,A,WS,HT2,C1,S,1/15/2017
393,1,L,A,WS,HT2,C1,S,1/15/2017
394,1,L,A,WS,HT2,C1,S,1/15/2017
395,1,L,A,WS,HT2,C1,S,1/15/2017
396,1,L,A,WS,HT2,C2,S,1/15/2017
397,1,L,A,WS,HT2,C2,S,1/15/2017
398,1,L,A,WS,HT2,C2,S,1/15/2017
399,1,L,A,WS,HT2,C2,S,1/15/2017
400,1,L,A,WS,HT2,C2,S,1/15/2017
401,1,L,B,SF,HT1,C1,S,1/15/2017
402,1,L,B,SF,HT1,C1,S,1/15/2017
403,1,L,B,SF,HT1,C1,S,1/15/2017
404,1,L,B,SF,HT1,C1,S,1/15/2017
405,1,L,B,SF,HT1,C1,S,1/15/2017
406,1,L,B,SF,HT1,C2,S,1/22/2017
407,1,L,B,SF,HT1,C2,S,1/22/2017
408,1,L,B,SF,HT1,C2,S,1/22/2017
409,1,L,B,SF,HT1,C2,S,1/22/2017
410,1,L,B,SF,HT2,C1,S,1/22/2017
411,1,L,B,SF,HT2,C1,S,1/22/2017
412,1,L,B,SF,HT2,C1,S,1/22/2017
413,1,L,B,SF,HT2,C2,S,1/22/2017
414,1,L,B,SF,HT2,C2,S,1/22/2017
415,1,L,B,SF,HT2,C2,S,1/22/2017
416,1,L,B,WS,HT1,C1,S,1/22/2017
417,1,L,B,WS,HT1,C1,S,1/22/2017
418,1,L,B,WS,HT1,C1,S,1/22/2017
419,1,L,B,WS,HT1,C1,S,1/22/2017
420,1,L,B,WS,HT1,C1,S,1/22/2017
421,1,L,B,WS,HT1,C1,S,1/22/2017
422,1,L,B,WS,HT1,C2,S,1/22/2017
423,1,L,B,WS,HT1,C2,S,1/22/2017
424,1,L,B,WS,HT1,C2,S,1/22/2017
425,1,L,B,WS,HT2,C1,S,1/22/2017
426,1,L,B,WS,HT2,C1,S,1/22/2017
427,1,L,B,WS,HT2,C1,S,1/22/2017
428,1,L,B,WS,HT2,C1,S,1/22/2017
429,1,L,B,WS,HT2,C1,S,1/22/2017
430,1,L,B,WS,HT2,C2,S,1/29/2017
431,1,L,B,WS,HT2,C2,S,1/29/2017
432,1,L,B,WS,HT2,C2,S,1/29/2017
433,1,L,B,WS,HT2,C2,S,1/29/2017
434,1,M,A,SF,HT1,C1,S,1/29/2017
435,1,M,A,SF,HT1,C1,S,1/29/2017
436,1,M,A,SF,HT1,C1,S,1/29/2017
437,1,M,A,SF,HT1,C1,S,1/29/2017
438,1,M,A,SF,HT1,C1,S,1/29/2017
439,1,M,A,SF,HT2,C1,S,1/29/2017
440,1,M,A,SF,HT2,C1,S,1/29/2017
441,1,M,A,SF,HT2,C1,S,1/29/2017
442,1,M,A,SF,HT2,C1,S,1/29/2017
443,1,M,A,SF,HT2,C1,S,1/29/2017
444,1,M,A,WS,HT1,C1,S,1/29/2017
445,1,M,A,WS,HT1,C1,S,1/29/2017
446,1,M,A,WS,HT1,C1,S,1/29/2017
447,1,M,A,WS,HT1,C1,S,1/29/2017
448,1,M,A,WS,HT1,C1,S,1/29/2017
449,1,M,A,WS,HT2,C1,S,1/29/2017
450,1,M,A,WS,HT2,C1,S,1/29/2017
451,1,M,A,WS,HT2,C1,S,1/29/2017
452,1,M,B,SF,HT1,C1,S,1/29/2017
453,1,M,B,SF,HT1,C1,S,1/29/2017
454,1,M,B,SF,HT1,C1,S,1/29/2017
455,1,M,B,SF,HT2,C1,S,1/29/2017
456,1,M,B,SF,HT2,C1,S,1/29/2017
457,1,M,B,SF,HT2,C1,S,1/8/2017
458,1,M,B,SF,HT2,C1,S,1/8/2017
459,1,M,B,SF,HT2,C1,S,1/8/2017
460,1,M,B,SF,HT2,C1,S,1/8/2017
461,1,M,B,SF,HT2,C2,S,1/8/2017
462,1,M,B,SF,HT2,C2,S,1/8/2017
463,1,M,B,SF,HT2,C2,S,1/8/2017
464,1,M,B,WS,HT1,C2,S,1/8/2017
465,1,M,B,WS,HT1,C2,S,1/8/2017
466,1,M,B,WS,HT1,C2,S,1/8/2017
467,1,M,B,WS,HT1,C2,S,1/8/2017
468,1,M,B,WS,HT2,C1,S,1/8/2017
469,1,M,B,WS,HT2,C1,S,1/8/2017
470,1,M,B,WS,HT2,C1,S,1/8/2017
471,1,M,B,WS,HT2,C1,S,1/8/2017
472,1,M,B,WS,HT2,C1,S,1/8/2017
473,1,M,B,WS,HT2,C1,S,1/8/2017
474,1,M,B,WS,HT2,C2,S,2/12/2017
475,1,M,B,WS,HT2,C2,S,2/12/2017
476,1,M,B,WS,HT2,C2,S,2/12/2017
477,1,H,A,SF,HT1,C1,S,2/12/2017
478,1,H,A,SF,HT1,C1,S,2/12/2017
479,1,H,A,SF,HT1,C1,S,2/12/2017
480,1,H,A,SF,HT1,C1,S,2/12/2017
481,1,H,A,SF,HT1,C1,S,2/12/2017
482,1,H,A,SF,HT2,C2,S,2/12/2017
483,1,H,A,SF,HT2,C2,S,2/12/2017
484,1,H,A,SF,HT2,C2,S,2/12/2017
485,1,H,A,SF,HT2,C2,S,2/12/2017
486,1,H,A,WS,HT2,C1,S,2/12/2017
487,1,H,A,WS,HT2,C1,S,2/12/2017
488,1,H,A,WS,HT2,C1,S,2/12/2017
489,1,H,A,WS,HT2,C1,S,2/12/2017
490,1,H,A,WS,HT2,C1,S,2/12/2017
491,1,H,A,WS,HT2,C1,S,2/12/2017
492,1,H,B,SF,HT1,C2,S,2/12/2017
493,1,H,B,SF,HT1,C2,S,2/12/2017
494,1,H,B,SF,HT1,C2,S,2/12/2017
495,1,H,B,SF,HT1,C2,S,2/12/2017
496,1,H,B,SF,HT1,C2,S,2/19/2017
497,1,H,B,SF,HT1,C2,S,2/19/2017
498,1,H,B,SF,HT2,C2,S,2/19/2017
499,1,H,B,SF,HT2,C2,S,2/19/2017
500,1,H,B,SF,HT2,C2,S,2/19/2017
501,1,H,B,SF,HT2,C2,S,2/19/2017
502,1,H,B,SF,HT2,C2,S,2/19/2017
503,1,H,B,WS,HT1,C2,S,2/19/2017
504,1,H,B,WS,HT1,C2,S,2/19/2017
505,1,H,B,WS,HT1,C2,S,2/19/2017
506,1,H,B,WS,HT1,C2,S,2/19/2017
507,1,H,B,WS,HT2,C1,S,2/19/2017
508,1,H,B,WS,HT2,C1,S,2/19/2017
509,1,H,B,WS,HT2,C1,S,2/19/2017
510,1,H,B,WS,HT2,C2,S,2/19/2017
511,1,H,B,WS,HT2,C2,S,2/19/2017
512,1,H,B,WS,HT2,C2,S,2/19/2017
