Index,Unit,Visibility,GroundCover,HabitatType,Species,Size,DateFound
161,89,RP,B,C,BA,bat,6/26/2018
162,59,RP,B,B,BC,bat,6/19/2018
163,22,RP,B,A,BA,bat,5/29/2018
164,50,RP,B,C,BB,bat,5/8/2018
165,41,RP,B,C,BB,bat,5/29/2018
166,60,RP,A,A,BB,bat,5/15/2018
167,14,RP,B,B,BD,bat,6/5/2018
168,14,RP,A,B,BA,bat,5/22/2018
169,44,RP,B,C,BB,bat,6/12/2018
170,4,RP,B,C,BA,bat,6/12/2018
171,32,RP,A,B,BA,bat,6/12/2018
172,86,RP,A,A,BC,bat,5/29/2018
173,97,RP,A,B,BC,bat,5/15/2018
174,77,RP,A,B,BA,bat,6/19/2018
175,99,RP,A,B,BA,bat,5/15/2018
176,17,RP,A,B,BB,bat,5/29/2018
177,5,RP,A,C,BA,bat,6/12/2018
178,88,RP,B,B,BA,bat,6/26/2018
179,27,RP,B,C,BA,bat,6/12/2018
180,18,RP,A,C,BA,bat,6/5/2018
181,88,RP,A,A,BB,bat,6/26/2018
182,78,RP,B,C,BB,bat,6/12/2018
183,47,RP,B,B,BA,bat,5/8/2018
184,5,RP,B,B,BA,bat,5/22/2018
185,42,RP,A,B,BB,bat,5/8/2018
186,12,RP,B,C,BB,bat,5/8/2018
187,67,RP,B,B,BA,bat,5/29/2018
188,7,RP,B,C,BA,bat,5/29/2018
189,11,RP,B,A,BA,bat,6/19/2018
190,72,RP,B,B,BB,bat,5/8/2018
191,33,RP,A,C,BB,bat,6/5/2018
192,81,RP,B,A,BB,bat,5/29/2018
193,41,RP,B,B,BA,bat,6/19/2018
194,72,RP,B,B,BB,bat,6/12/2018
195,15,RP,A,B,BA,bat,6/28/2018
196,21,RP,A,B,BB,bat,5/8/2018
197,61,RP,B,B,BA,bat,5/29/2018
198,32,RP,B,C,BA,bat,5/15/2018
199,50,RP,A,C,BB,bat,6/5/2018
200,26,RP,B,B,BA,bat,6/5/2018
201,72,RP,B,B,BB,bat,6/12/2018
202,23,RP,A,B,BB,bat,5/29/2018
203,67,RP,B,B,BA,bat,5/15/2018
204,84,RP,B,C,BA,bat,5/29/2018
205,52,RP,B,B,BA,bat,6/19/2018
206,20,RP,B,B,BA,bat,6/12/2018
207,74,RP,A,B,BB,bat,6/19/2018
208,70,RP,B,B,BB,bat,6/19/2018
209,24,RP,A,B,BB,bat,6/5/2018
210,78,RP,A,C,BA,bat,6/19/2018
211,100,RP,B,B,BB,bat,6/19/2018
212,78,RP,A,B,BB,bat,6/5/2018
213,43,RP,A,B,BB,bat,6/19/2018
214,36,RP,A,A,BB,bat,6/5/2018
215,28,RP,B,B,BB,bat,5/29/2018
216,58,RP,B,B,BB,bat,5/22/2018
217,91,RP,A,B,BA,bat,5/29/2018
218,95,RP,B,C,BB,bat,5/22/2018
219,86,RP,B,C,BA,bat,5/8/2018
220,89,RP,B,A,BB,bat,6/19/2018
221,23,RP,B,C,BB,bat,6/12/2018
222,9,RP,A,B,BB,bat,5/22/2018
223,32,RP,B,C,BA,bat,6/5/2018
224,57,RP,B,C,BA,bat,5/8/2018
225,74,RP,B,B,BB,bat,6/19/2018
226,40,RP,B,B,BA,bat,6/26/2018
227,7,RP,A,B,BB,bat,5/8/2018
228,3,RP,B,C,BB,bat,6/26/2018
229,56,RP,B,B,BB,bat,6/5/2018
230,18,RP,B,B,BC,bat,6/26/2018
231,46,RP,B,C,BB,bat,6/28/2018
232,13,RP,A,C,BA,bat,5/8/2018
233,25,RP,B,C,BB,bat,6/5/2018
234,95,RP,A,B,BB,bat,5/15/2018
235,20,RP,A,B,BA,bat,5/15/2018
236,52,RP,B,C,BA,bat,8/16/2018
237,55,RP,B,B,BB,bat,8/18/2018
238,97,RP,A,C,BA,bat,7/25/2018
239,39,RP,B,C,BA,bat,7/29/2018
240,49,RP,A,C,BA,bat,7/16/2018
241,81,RP,A,C,BB,bat,7/22/2018
242,65,RP,A,B,BB,bat,8/21/2018
243,3,RP,A,B,BA,bat,7/1/2018
244,7,RP,A,C,BB,bat,8/8/2018
245,98,RP,A,C,BA,bat,6/27/2018
246,23,RP,A,B,BB,bat,7/14/2018
247,38,RP,B,B,BA,bat,7/3/2018
248,7,RP,B,C,BB,bat,7/13/2018
249,24,RP,B,B,BB,bat,8/24/2018
250,33,RP,B,C,BB,bat,7/7/2018
251,87,RP,A,B,BB,bat,7/23/2018
252,86,RP,B,A,BB,bat,7/1/2018
253,25,RP,B,C,BA,bat,8/21/2018
254,66,RP,B,C,BD,bat,7/9/2018
255,19,RP,A,B,BA,bat,8/23/2018
256,44,RP,B,C,BB,bat,8/10/2018
257,85,RP,B,B,BA,bat,7/2/2018
258,89,RP,B,B,BA,bat,8/11/2018
259,56,RP,A,B,BD,bat,6/29/2018
260,97,RP,B,B,BA,bat,7/14/2018
261,17,RP,B,C,BA,bat,7/31/2018
262,33,RP,A,B,BA,bat,7/29/2018
263,92,RP,B,B,BA,bat,8/23/2018
264,29,RP,B,B,BA,bat,8/11/2018
265,28,RP,B,B,BA,bat,7/8/2018
266,58,RP,A,B,BB,bat,8/25/2018
267,42,RP,B,C,BA,bat,7/21/2018
268,8,RP,A,C,BB,bat,7/22/2018
269,26,RP,B,C,BA,bat,7/16/2018
270,95,RP,B,A,BB,bat,8/15/2018
271,70,RP,B,C,BC,bat,6/27/2018
272,87,RP,B,C,BA,bat,8/3/2018
273,100,RP,A,B,BA,bat,8/16/2018
274,29,RP,B,C,BB,bat,8/22/2018
275,34,RP,A,B,BA,bat,8/21/2018
276,9,RP,A,B,BA,bat,7/16/2018
277,66,RP,A,C,BA,bat,7/20/2018
278,31,RP,B,C,BA,bat,6/30/2018
279,57,RP,B,B,BA,bat,7/11/2018
280,22,RP,A,C,BB,bat,7/7/2018
281,77,RP,B,A,BA,bat,6/27/2018
282,55,RP,B,C,BA,bat,7/21/2018
283,32,RP,A,C,BA,bat,7/10/2018
284,43,RP,B,B,BA,bat,8/20/2018
285,35,RP,A,C,BE,bat,8/5/2018
286,1,RP,B,C,BB,bat,7/23/2018
287,4,RP,A,C,BA,bat,7/13/2018
288,33,RP,A,C,BB,bat,8/17/2018
289,64,RP,B,B,BA,bat,8/24/2018
290,17,RP,B,C,BA,bat,7/27/2018
291,19,RP,A,C,BA,bat,8/24/2018
292,3,RP,A,B,BA,bat,8/23/2018
293,58,RP,B,B,BB,bat,7/23/2018
294,97,RP,B,A,BB,bat,8/23/2018
295,20,RP,A,A,BB,bat,8/19/2018
296,10,RP,A,B,BC,bat,7/6/2018
297,28,RP,B,A,BB,bat,8/23/2018
298,2,RP,A,B,BB,bat,8/12/2018
299,50,RP,A,C,BD,bat,8/19/2018
300,73,RP,A,B,BB,bat,7/30/2018
301,81,RP,A,C,BA,bat,7/21/2018
302,41,RP,B,B,BB,bat,7/28/2018
303,34,RP,A,C,BE,bat,8/15/2018
304,19,RP,A,B,BA,bat,7/28/2018
305,3,RP,B,C,BA,bat,7/25/2018
306,91,RP,A,B,BA,bat,8/15/2018
307,57,RP,B,B,BA,bat,7/18/2018
308,85,RP,B,C,BA,bat,7/18/2018
309,52,RP,A,A,BC,bat,7/16/2018
310,8,RP,A,B,BA,bat,7/5/2018
311,82,RP,A,C,BB,bat,7/15/2018
312,6,RP,A,B,BA,bat,8/12/2018
313,66,RP,B,C,BC,bat,8/13/2018
314,20,RP,B,C,BB,bat,7/22/2018
315,8,RP,A,C,BA,bat,8/10/2018
316,21,RP,B,B,BB,bat,6/30/2018
317,4,RP,B,B,BA,bat,7/15/2018
318,88,RP,B,B,BA,bat,7/8/2018
319,61,RP,B,C,BA,bat,6/28/2018
320,31,RP,B,C,BB,bat,6/30/2018
321,25,RP,B,B,BB,bat,7/20/2018
322,87,RP,A,C,BA,bat,8/21/2018
323,40,RP,A,C,BA,bat,8/3/2018
324,46,RP,B,B,BB,bat,7/22/2018
325,12,RP,A,B,BA,bat,8/15/2018
326,3,RP,A,B,BD,bat,7/24/2018
327,46,RP,A,B,BA,bat,7/19/2018
328,26,RP,B,B,BB,bat,7/28/2018
329,33,RP,B,B,BB,bat,7/16/2018
330,33,RP,B,C,BA,bat,7/11/2018
331,12,RP,A,C,BA,bat,8/6/2018
332,35,RP,B,B,BB,bat,7/17/2018
333,51,RP,B,B,BB,bat,8/4/2018
334,88,RP,A,B,BA,bat,7/14/2018
335,87,RP,B,B,BD,bat,7/30/2018
336,30,RP,A,B,BC,bat,7/7/2018
337,32,RP,A,C,BD,bat,8/17/2018
338,66,RP,B,A,BA,bat,7/15/2018
339,95,RP,B,B,BB,bat,6/29/2018
340,29,RP,B,B,BB,bat,6/29/2018
341,79,RP,A,B,BA,bat,7/2/2018
342,24,RP,B,C,BB,bat,7/17/2018
343,8,RP,B,C,BA,bat,7/2/2018
344,14,RP,A,C,BB,bat,8/9/2018
345,4,RP,A,C,BB,bat,7/18/2018
346,32,RP,B,B,BA,bat,8/8/2018
347,54,RP,A,B,BB,bat,8/10/2018
348,30,RP,B,C,BA,bat,7/29/2018
349,10,RP,B,A,BC,bat,8/18/2018
350,21,RP,B,B,BC,bat,7/2/2018
351,14,RP,A,B,BB,bat,7/31/2018
352,73,RP,B,B,BA,bat,7/27/2018
353,27,RP,A,B,BA,bat,8/4/2018
354,48,RP,B,B,BB,bat,7/30/2018
355,89,RP,A,C,BA,bat,6/28/2018
356,51,RP,B,C,BB,bat,7/19/2018
357,31,RP,A,B,BB,bat,8/10/2018
358,10,RP,B,A,BB,bat,7/18/2018
359,26,RP,B,C,BA,bat,8/10/2018
360,44,RP,A,B,BA,bat,8/13/2018
361,33,RP,A,C,BA,bat,7/3/2018
362,57,RP,A,C,BB,bat,8/12/2018
363,37,RP,B,B,BA,bat,7/18/2018
364,37,RP,A,B,BA,bat,7/2/2018
365,61,RP,B,C,BA,bat,7/1/2018
366,33,RP,A,C,BB,bat,6/30/2018
367,12,RP,B,B,BA,bat,8/23/2018
368,3,RP,A,C,BA,bat,8/14/2018
369,58,RP,A,A,BB,bat,8/19/2018
370,4,RP,A,C,BC,bat,8/7/2018
371,98,RP,A,C,BC,bat,8/2/2018
372,26,RP,B,B,BA,bat,7/14/2018
373,43,RP,A,C,BB,bat,7/28/2018
374,48,RP,B,B,BA,bat,8/6/2018
375,74,RP,A,B,BB,bat,8/10/2018
376,6,RP,B,B,BA,bat,8/10/2018
377,64,RP,B,C,BA,bat,7/20/2018
378,69,RP,A,C,BA,bat,7/16/2018
379,73,RP,A,A,BA,bat,7/5/2018
380,27,RP,B,B,BA,bat,7/1/2018
381,87,RP,B,A,BB,bat,8/13/2018
382,74,RP,A,B,BB,bat,6/28/2018
383,69,RP,A,C,BA,bat,7/15/2018
384,78,RP,A,B,BA,bat,7/25/2018
385,42,RP,A,A,BA,bat,8/4/2018
386,57,RP,B,A,BA,bat,7/27/2018
387,88,RP,B,C,BB,bat,8/13/2018
388,82,RP,A,C,BB,bat,7/23/2018
389,17,RP,B,C,BA,bat,8/19/2018
390,63,RP,B,C,BA,bat,8/18/2018
391,54,RP,B,C,BA,bat,7/13/2018
392,57,RP,B,A,BA,bat,8/18/2018
393,91,RP,A,C,BD,bat,7/11/2018
394,59,RP,A,C,BB,bat,8/5/2018
395,45,RP,B,C,BB,bat,7/31/2018
396,44,RP,B,C,BB,bat,7/21/2018
397,38,RP,A,B,BC,bat,7/7/2018
398,63,RP,A,C,BB,bat,7/31/2018
399,13,RP,B,C,BA,bat,7/9/2018
400,40,RP,B,C,BA,bat,8/4/2018
401,92,RP,B,C,BA,bat,7/6/2018
402,90,RP,B,A,BB,bat,7/17/2018
403,45,RP,B,A,BA,bat,8/17/2018
404,9,RP,A,C,BA,bat,7/29/2018
405,31,RP,A,B,BA,bat,7/28/2018
406,31,RP,B,B,BA,bat,8/18/2018
407,99,RP,B,B,BA,bat,8/20/2018
408,23,RP,B,C,BB,bat,6/29/2018
409,58,RP,A,B,BB,bat,8/18/2018
410,51,RP,A,B,BA,bat,7/7/2018
411,2,RP,B,B,BA,bat,8/18/2018
412,38,RP,B,B,BB,bat,7/1/2018
413,35,RP,B,B,BB,bat,8/3/2018
414,76,RP,B,C,BB,bat,7/19/2018
415,95,RP,A,B,BB,bat,8/17/2018
416,30,RP,B,C,BB,bat,8/10/2018
417,22,RP,A,C,BB,bat,7/16/2018
418,23,RP,B,C,BB,bat,7/13/2018
419,25,RP,B,C,BA,bat,6/30/2018
420,69,RP,B,C,BB,bat,8/8/2018
421,46,RP,B,C,BB,bat,7/15/2018
422,94,RP,B,C,BB,bat,7/9/2018
423,18,RP,A,C,BB,bat,6/29/2018
424,49,RP,A,C,BB,bat,8/9/2018
425,17,RP,A,B,BA,bat,7/22/2018
426,49,RP,B,B,BA,bat,8/2/2018
427,74,RP,B,C,BB,bat,7/22/2018
428,50,RP,B,B,BA,bat,8/10/2018
429,79,RP,A,C,BB,bat,8/22/2018
430,21,RP,B,B,BB,bat,7/20/2018
431,39,RP,B,B,BA,bat,8/15/2018
432,29,RP,B,B,BB,bat,7/5/2018
433,67,RP,B,B,BA,bat,7/10/2018
434,97,RP,B,C,BB,bat,7/31/2018
435,19,RP,A,A,BA,bat,7/30/2018
436,81,RP,A,A,BA,bat,8/15/2018
437,9,RP,B,B,BA,bat,8/19/2018
438,82,RP,B,C,BB,bat,7/31/2018
439,82,RP,A,B,BB,bat,7/24/2018
440,61,RP,B,B,BA,bat,7/18/2018
441,87,RP,B,B,BB,bat,6/27/2018
442,51,RP,A,C,BB,bat,8/19/2018
443,95,RP,A,B,BA,bat,7/24/2018
444,9,RP,B,B,BB,bat,8/7/2018
445,10,RP,B,C,BB,bat,7/25/2018
446,72,RP,B,B,BA,bat,8/15/2018
447,2,RP,B,C,BB,bat,7/5/2018
448,88,RP,B,B,BA,bat,7/31/2018
449,18,RP,B,B,BE,bat,7/9/2018
450,32,RP,A,B,BA,bat,7/31/2018
451,64,RP,A,B,BB,bat,8/20/2018
452,57,RP,A,A,BA,bat,8/8/2018
453,34,RP,B,B,BB,bat,8/23/2018
454,79,RP,A,C,BB,bat,7/16/2018
455,76,RP,B,C,BA,bat,8/6/2018
456,69,RP,B,C,BA,bat,7/23/2018
457,20,RP,B,B,BB,bat,7/3/2018
458,2,RP,A,B,BA,bat,7/3/2018
459,69,RP,B,C,BB,bat,8/21/2018
460,63,RP,A,C,BB,bat,7/9/2018
461,41,RP,B,A,BB,bat,7/18/2018
462,79,RP,A,A,BA,bat,8/21/2018
463,13,RP,B,B,BB,bat,7/2/2018
464,100,RP,B,B,BB,bat,7/16/2018
465,69,RP,A,B,BB,bat,8/17/2018
466,5,RP,B,C,BA,bat,7/10/2018
467,46,RP,A,B,BD,bat,7/14/2018
468,34,RP,A,B,BA,bat,7/3/2018
469,44,RP,B,C,BB,bat,7/17/2018
470,99,RP,A,A,BB,bat,7/4/2018
471,46,RP,B,B,BA,bat,7/27/2018
472,46,RP,A,B,BA,bat,8/8/2018
473,12,RP,A,C,BA,bat,8/16/2018
474,31,RP,B,A,BB,bat,8/5/2018
475,95,RP,B,B,BD,bat,6/29/2018
476,82,RP,B,C,BB,bat,7/1/2018
477,88,RP,A,B,BA,bat,8/18/2018
478,87,RP,B,C,BA,bat,8/16/2018
479,53,RP,A,A,BB,bat,8/16/2018
480,26,RP,A,C,BB,bat,7/18/2018
481,5,RP,A,C,BB,bat,8/22/2018
482,13,RP,B,B,BC,bat,7/14/2018
483,4,RP,A,C,BA,bat,8/5/2018
484,26,RP,A,C,BB,bat,7/6/2018
485,100,RP,A,B,BA,bat,7/10/2018
486,5,RP,A,A,BA,bat,7/21/2018
487,48,RP,B,A,BA,bat,7/24/2018
488,80,RP,B,B,BB,bat,7/26/2018
489,56,RP,B,B,BA,bat,7/24/2018
490,10,RP,B,C,BA,bat,8/2/2018
491,62,RP,A,C,BA,bat,7/24/2018
492,24,RP,B,B,BA,bat,8/1/2018
493,7,RP,A,C,BB,bat,7/14/2018
494,57,RP,B,B,BB,bat,8/13/2018
495,5,RP,B,B,BB,bat,7/5/2018
496,18,RP,A,A,BB,bat,7/14/2018
497,51,RP,A,A,BB,bat,8/23/2018
498,96,RP,B,C,BB,bat,7/18/2018
499,79,RP,B,B,BA,bat,7/22/2018
500,57,RP,A,C,BA,bat,8/16/2018
501,2,RP,A,B,BA,bat,8/23/2018
502,15,RP,A,C,BB,bat,8/6/2018
503,12,RP,B,C,BB,bat,8/15/2018
504,41,RP,B,C,BB,bat,7/11/2018
505,72,RP,A,A,BB,bat,8/18/2018
506,57,RP,A,C,BA,bat,8/5/2018
507,50,RP,A,A,BB,bat,8/21/2018
508,98,RP,B,B,BD,bat,7/1/2018
509,42,RP,A,C,BA,bat,8/6/2018
510,44,RP,B,B,BB,bat,8/6/2018
511,39,RP,B,B,BA,bat,8/23/2018
512,32,RP,A,A,BB,bat,7/31/2018
513,69,RP,B,C,BB,bat,8/15/2018
514,30,RP,A,B,BA,bat,6/28/2018
515,18,RP,B,C,BA,bat,7/22/2018
516,23,RP,B,C,BB,bat,7/13/2018
517,100,RP,B,B,BB,bat,7/22/2018
518,7,RP,A,C,BB,bat,7/5/2018
519,2,RP,A,B,BC,bat,8/5/2018
520,46,RP,B,C,BB,bat,7/26/2018
521,86,RP,B,C,BA,bat,7/11/2018
522,21,RP,A,C,BA,bat,7/2/2018
523,51,RP,A,B,BB,bat,8/24/2018
524,12,RP,B,C,BA,bat,7/21/2018
525,56,RP,B,A,BB,bat,8/3/2018
526,84,RP,B,C,BA,bat,7/11/2018
527,37,RP,B,B,BA,bat,8/1/2018
528,81,RP,A,B,BB,bat,7/29/2018
529,52,RP,A,C,BB,bat,7/18/2018
530,5,RP,B,A,BA,bat,8/20/2018
531,7,RP,B,C,BB,bat,7/22/2018
532,12,RP,B,B,BA,bat,8/20/2018
533,11,RP,B,C,BB,bat,6/30/2018
534,94,RP,B,C,BB,bat,7/21/2018
535,86,RP,B,C,BB,bat,7/12/2018
536,97,RP,B,B,BA,bat,8/15/2018
537,3,RP,B,C,BB,bat,7/24/2018
538,21,RP,B,C,BA,bat,7/12/2018
539,92,RP,B,B,BA,bat,8/13/2018
540,87,RP,B,C,BA,bat,8/6/2018
541,12,RP,B,B,BB,bat,7/16/2018
542,86,RP,A,B,BC,bat,8/6/2018
543,16,RP,B,C,BA,bat,8/8/2018
544,32,RP,A,A,BA,bat,7/27/2018
545,89,RP,B,B,BA,bat,8/7/2018
546,1,RP,A,C,BA,bat,8/11/2018
547,47,RP,A,C,BA,bat,8/14/2018
548,68,RP,B,A,BC,bat,8/11/2018
549,30,RP,B,A,BA,bat,7/2/2018
550,54,RP,B,B,BA,bat,7/16/2018
551,93,RP,A,A,BA,bat,7/3/2018
552,42,RP,B,B,BA,bat,7/24/2018
553,20,RP,A,A,BD,bat,8/17/2018
554,66,RP,B,B,BB,bat,7/12/2018
555,79,RP,B,A,BA,bat,8/22/2018
556,24,RP,A,C,BA,bat,7/12/2018
557,71,RP,B,C,BA,bat,7/29/2018
558,23,RP,A,A,BC,bat,6/30/2018
559,16,RP,B,C,BC,bat,7/8/2018
560,11,RP,B,C,BA,bat,8/19/2018
561,56,RP,B,C,BA,bat,8/1/2018
562,38,RP,B,C,BB,bat,7/15/2018
563,78,RP,B,C,BA,bat,7/6/2018
564,76,RP,B,B,BB,bat,8/6/2018
565,51,RP,A,B,BA,bat,8/20/2018
566,37,RP,A,B,BB,bat,7/2/2018
567,96,RP,A,C,BA,bat,8/4/2018
568,15,RP,A,A,BA,bat,8/6/2018
569,17,RP,A,B,BB,bat,7/9/2018
570,15,RP,B,B,SC,small,4/13/2018
571,39,RP,A,C,SC,small,4/7/2018
572,5,RP,B,B,SD,small,4/22/2018
573,29,RP,A,C,SB,small,4/16/2018
574,27,RP,B,B,SA,small,3/23/2018
575,19,RP,A,A,SA,small,3/29/2018
576,20,RP,A,C,SD,small,4/19/2018
577,63,RP,A,B,SB,small,5/8/2018
578,40,RP,B,C,SA,small,3/29/2018
579,45,RP,B,C,SD,small,4/25/2018
580,51,RP,A,A,SB,small,4/7/2018
