"Index","Season","Size","Left","Right"
201,"summer","lrg",28,NA
202,"summer","lrg",14,21
203,"summer","lrg",21,28
204,"summer","lrg",28,NA
205,"summer","lrg",14,21
206,"summer","lrg",28,NA
207,"summer","lrg",28,NA
208,"summer","lrg",21,28
209,"summer","lrg",3,4
210,"summer","lrg",4,7
211,"summer","lrg",10,14
212,"summer","lrg",28,NA
213,"summer","lrg",28,NA
214,"summer","lrg",28,NA
215,"summer","lrg",28,NA
216,"summer","lrg",28,NA
217,"summer","lrg",28,NA
218,"summer","lrg",7,10
219,"summer","lrg",7,10
220,"summer","lrg",28,NA
221,"fall","lrg",28,NA
222,"fall","lrg",28,NA
223,"fall","lrg",28,NA
224,"fall","lrg",10,14
225,"fall","lrg",28,NA
226,"fall","lrg",14,21
227,"fall","lrg",28,NA
228,"fall","lrg",14,21
229,"fall","lrg",14,21
230,"fall","lrg",28,NA
231,"fall","lrg",10,14
232,"fall","lrg",28,NA
233,"fall","lrg",4,7
234,"fall","lrg",28,NA
235,"fall","lrg",4,7
236,"fall","lrg",21,28
237,"fall","lrg",28,NA
238,"fall","lrg",0,1
239,"fall","lrg",4,7
240,"fall","lrg",0,1
