"Index","Transect","Species","Size","Row","Distance","DateFound","X","Y"
76,"Transect7","SB","small",4,60,2018-06-02,525448,3856432
77,"Transect3","SB","small",9,17,2018-05-27,524792,3856532
78,"Transect5","SA","small",93,7,2018-04-10,525088,3858212
79,"Transect7","SB","small",26,8,2018-04-09,525395,3856872
80,"Transect8","SB","small",26,9,2018-06-05,525550,3856872
81,"Transect6","SB","small",70,4,2018-07-12,525238,3857752
82,"Transect6","SA","small",60,20,2018-08-06,525254,3857552
83,"Transect6","SB","small",44,65,2018-07-05,525299,3857232
84,"Transect4","SA","small",74,26,2018-08-18,524955,3857832
85,"Transect3","SA","small",53,17,2018-08-22,524792,3857412
86,"Transect2","SB","small",90,24,2018-07-09,524646,3858152
87,"Transect8","SA","small",98,44,2018-08-19,525584,3858312
88,"Transect10","SB","small",73,28,2018-07-05,525874,3857812
89,"Transect3","SA","small",40,18,2018-06-28,524793,3857152
90,"Transect3","SA","small",53,14,2018-06-27,524789,3857412
91,"Transect2","SA","small",28,22,2018-09-09,524644,3856912
92,"Transect8","SB","small",99,47,2018-09-28,525587,3858332
93,"Transect9","SB","small",84,15,2018-07-23,525709,3858032
94,"Transect1","SA","small",68,5,2018-09-07,524474,3857712
95,"Transect2","SA","small",85,2,2018-06-24,524625,3858052
96,"Transect9","SB","small",41,0,2018-07-16,525693,3857172
97,"Transect9","SA","small",40,49,2018-07-31,525743,3857152
98,"Transect5","SA","small",47,24,2018-08-02,525105,3857292
99,"Transect6","SB","small",35,11,2018-09-13,525246,3857052
100,"Transect2","SB","small",59,18,2018-06-29,524640,3857532
101,"Transect6","SB","small",46,13,2018-08-20,525248,3857272
102,"Transect1","SB","small",24,1,2018-07-30,524470,3856832
103,"Transect1","SA","small",31,9,2018-08-14,524479,3856972
104,"Transect1","SB","small",43,12,2018-08-23,524481,3857212
105,"Transect10","SB","small",95,44,2018-09-09,525890,3858252
106,"Transect8","SA","small",55,12,2018-10-27,525553,3857452
107,"Transect1","SA","small",67,21,2018-10-20,524490,3857692
108,"Transect4","SA","small",19,56,2018-12-13,524984,3856732
109,"Transect8","SB","small",96,72,2018-10-14,525613,3858272
110,"Transect10","SB","small",14,78,2018-12-14,525924,3856632
111,"Transect1","SA","small",77,11,2018-11-14,524480,3857892
112,"Transect5","SA","small",93,1,2018-11-29,525083,3858212
113,"Transect10","SA","small",95,10,2018-11-20,525856,3858252
114,"Transect6","SA","small",66,9,2018-11-03,525243,3857672
115,"Transect1","SA","small",89,19,2018-10-14,524488,3858132
116,"Transect9","SB","small",83,44,2018-12-08,525738,3858012
117,"Transect8","MB","med",56,100,2018-02-15,525640,3857472
118,"Transect8","MA","med",29,55,2018-02-05,525595,3856932
119,"Transect2","MB","med",28,36,2018-02-02,524658,3856912
120,"Transect7","MB","med",25,42,2018-02-27,525429,3856852
121,"Transect10","MA","med",82,39,2018-02-24,525886,3857992
122,"Transect5","MA","med",82,1,2018-02-19,525082,3857992
123,"Transect9","MA","med",100,37,2017-12-23,525731,3858352
124,"Transect2","MC","med",36,68,2018-04-23,524690,3857072
125,"Transect4","MA","med",14,115,2018-04-16,525043,3856632
126,"Transect2","MB","med",51,22,2018-06-13,524644,3857372
127,"Transect6","MA","med",2,85,2018-05-03,525319,3856392
128,"Transect8","MA","med",39,33,2018-06-18,525574,3857132
129,"Transect6","MA","med",81,121,2018-06-22,525356,3857972
130,"Transect8","MB","med",48,77,2018-04-06,525617,3857312
131,"Transect10","MA","med",26,48,2018-05-24,525895,3856872
132,"Transect6","MB","med",54,41,2018-04-13,525275,3857432
133,"Transect6","MB","med",74,114,2018-06-09,525349,3857832
134,"Transect3","MB","med",65,139,2018-05-15,524914,3857652
135,"Transect4","MB","med",39,65,2018-05-06,524994,3857132
136,"Transect5","MB","med",94,18,2018-04-06,525099,3858232
137,"Transect5","MA","med",89,38,2018-05-25,525119,3858132
138,"Transect7","MA","med",23,55,2018-06-03,525443,3856812
139,"Transect8","MA","med",84,23,2018-04-09,525564,3858032
140,"Transect1","ME","med",51,138,2018-05-14,524607,3857372
141,"Transect7","MA","med",51,139,2018-06-14,525527,3857372
142,"Transect9","MA","med",44,8,2018-08-25,525702,3857232
143,"Transect3","MA","med",48,17,2018-08-08,524792,3857312
144,"Transect9","MA","med",7,61,2018-09-09,525755,3856492
145,"Transect3","MA","med",79,26,2018-08-18,524802,3857932
146,"Transect7","MB","med",15,43,2018-07-01,525430,3856652
147,"Transect1","MB","med",35,54,2018-08-20,524523,3857052
148,"Transect1","MA","med",7,64,2018-07-26,524534,3856492
149,"Transect10","MA","med",3,11,2018-09-25,525857,3856412
150,"Transect7","MA","med",42,60,2018-11-05,525447,3857192
151,"Transect3","MB","med",13,23,2018-11-05,524798,3856612
152,"Transect5","MA","med",41,20,2018-10-27,525102,3857172
153,"Transect5","MA","med",96,137,2018-11-21,525218,3858272
154,"Transect10","MB","med",92,106,2018-11-22,525952,3858192
155,"Transect7","MA","med",74,109,2018-11-29,525496,3857832
156,"Transect7","MA","med",75,46,2018-10-11,525434,3857852
157,"Transect9","MA","med",14,110,2018-11-24,525804,3856632
158,"Transect4","MA","med",61,33,2018-11-17,524961,3857572
159,"Transect8","MB","med",2,86,2018-11-16,525627,3856392
160,"Transect6","MA","med",51,49,2018-12-18,525283,3857372
161,"Transect7","LA","lrg",52,8,2018-02-14,525396,3857392
162,"Transect4","LC","lrg",71,27,2018-01-08,524956,3857772
163,"Transect3","LD","lrg",45,8,2018-01-18,524784,3857252
164,"Transect6","LA","lrg",51,116,2018-03-09,525351,3857372
165,"Transect8","LA","lrg",58,39,2018-01-19,525580,3857512
166,"Transect6","LA","lrg",45,40,2018-02-12,525274,3857252
167,"Transect4","LB","lrg",97,35,2018-02-10,524963,3858292
168,"Transect4","LD","lrg",53,59,2018-02-23,524987,3857412
169,"Transect10","LA","lrg",93,19,2018-05-21,525865,3858212
170,"Transect3","LA","lrg",96,38,2018-04-06,524814,3858272
171,"Transect10","LA","lrg",59,54,2018-04-18,525901,3857532
172,"Transect3","LA","lrg",87,49,2018-06-09,524825,3858092
173,"Transect8","LC","lrg",91,70,2018-03-31,525611,3858172
174,"Transect7","LC","lrg",76,37,2018-04-29,525424,3857872
175,"Transect10","LD","lrg",65,39,2018-05-28,525886,3857652
176,"Transect2","LA","lrg",4,13,2018-03-31,524636,3856432
177,"Transect5","LB","lrg",7,133,2018-07-10,525214,3856492
178,"Transect6","LB","lrg",64,30,2018-08-25,525265,3857632
179,"Transect10","LA","lrg",21,78,2018-08-01,525925,3856772
180,"Transect2","LB","lrg",7,106,2018-09-22,524728,3856492
181,"Transect6","LA","lrg",31,122,2018-08-06,525357,3856972
182,"Transect9","LD","lrg",56,109,2018-07-18,525803,3857472
183,"Transect5","LA","lrg",73,51,2018-09-04,525132,3857812
184,"Transect4","LE","lrg",77,60,2018-09-06,524988,3857892
185,"Transect7","LA","lrg",55,102,2018-09-20,525490,3857452
186,"Transect10","LA","lrg",92,43,2018-12-17,525889,3858192
187,"Transect6","LA","lrg",33,120,2018-11-04,525354,3857012
188,"Transect6","LA","lrg",1,29,2018-10-29,525264,3856372
189,"Transect6","LB","lrg",88,30,2018-12-09,525265,3858112
190,"Transect8","LB","lrg",41,59,2018-10-24,525599,3857172
191,"Transect4","LB","lrg",6,71,2018-11-01,525000,3856472
192,"Transect2","LB","lrg",62,1,2018-11-13,524623,3857592
193,"Transect3","LA","lrg",36,54,2018-10-15,524829,3857072
