"DateSearched","Season","Transect1","Transect2","Transect3","Transect4","Transect5","Transect6","Transect7","Transect8","Transect9","Transect10"
2018-02-14,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-15,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-16,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-17,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-18,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-19,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-20,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-21,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-22,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-23,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-24,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-25,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-26,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-27,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-28,"winter",1,1,1,1,1,1,1,1,1,1
2018-03-01,"winter",1,1,1,1,1,1,1,1,1,1
2018-03-02,"winter",1,1,1,1,1,1,1,1,1,1
2018-03-03,"winter",1,1,1,1,1,1,1,1,1,1
2018-03-04,"winter",1,1,1,1,1,1,1,1,1,1
2018-03-05,"winter",1,1,1,1,1,1,1,1,1,1
2018-03-06,"winter",1,1,1,1,1,1,1,1,1,1
2018-03-07,"winter",1,1,1,1,1,1,1,1,1,1
2018-03-08,"winter",1,1,1,1,1,1,1,1,1,1
2018-03-09,"winter",1,1,1,1,1,1,1,1,1,1
2018-03-10,"winter",1,1,1,1,1,1,1,1,1,1
2018-03-11,"winter",1,1,1,1,1,1,1,1,1,1
2018-03-12,"winter",1,1,1,1,1,1,1,1,1,1
2018-03-13,"winter",1,1,1,1,1,1,1,1,1,1
2018-03-14,"winter",1,1,1,1,1,1,1,1,1,1
2018-03-15,"winter",1,1,1,1,1,1,1,1,1,1
2018-03-16,"winter",1,1,1,1,1,1,1,1,1,1
2018-03-17,"winter",1,1,1,1,1,1,1,1,1,1
2018-03-18,"winter",1,1,1,1,1,1,1,1,1,1
2018-03-19,"winter",1,1,1,1,1,1,1,1,1,1
2018-03-20,"spring",1,1,1,1,1,1,1,1,1,1
2018-03-21,"spring",1,1,1,1,1,1,1,1,1,1
2018-03-22,"spring",1,1,1,1,1,1,1,1,1,1
2018-03-23,"spring",1,1,1,1,1,1,1,1,1,1
2018-03-24,"spring",1,1,1,1,1,1,1,1,1,1
2018-03-25,"spring",1,1,1,1,1,1,1,1,1,1
2018-03-26,"spring",1,1,1,1,1,1,1,1,1,1
2018-03-27,"spring",1,1,1,1,1,1,1,1,1,1
2018-03-28,"spring",1,1,1,1,1,1,1,1,1,1
2018-03-29,"spring",1,1,1,1,1,1,1,1,1,1
2018-03-30,"spring",1,1,1,1,1,1,1,1,1,1
2018-03-31,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-01,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-02,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-03,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-04,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-05,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-06,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-07,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-08,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-09,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-10,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-11,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-12,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-13,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-14,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-15,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-16,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-17,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-18,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-19,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-20,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-21,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-22,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-23,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-24,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-25,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-26,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-27,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-28,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-29,"spring",1,1,1,1,1,1,1,1,1,1
2018-04-30,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-01,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-02,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-03,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-04,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-05,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-06,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-07,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-08,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-09,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-10,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-11,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-12,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-13,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-14,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-15,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-16,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-17,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-18,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-19,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-20,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-21,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-22,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-23,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-24,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-25,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-26,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-27,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-28,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-29,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-30,"spring",1,1,1,1,1,1,1,1,1,1
2018-05-31,"spring",1,1,1,1,1,1,1,1,1,1
2018-06-01,"spring",1,1,1,1,1,1,1,1,1,1
2018-06-02,"spring",1,1,1,1,1,1,1,1,1,1
2018-06-03,"spring",1,1,1,1,1,1,1,1,1,1
2018-06-04,"spring",1,1,1,1,1,1,1,1,1,1
2018-06-05,"spring",1,1,1,1,1,1,1,1,1,1
2018-06-06,"spring",1,1,1,1,1,1,1,1,1,1
2018-06-07,"spring",1,1,1,1,1,1,1,1,1,1
2018-06-08,"spring",1,1,1,1,1,1,1,1,1,1
2018-06-09,"spring",1,1,1,1,1,1,1,1,1,1
2018-06-10,"spring",1,1,1,1,1,1,1,1,1,1
2018-06-11,"spring",1,1,1,1,1,1,1,1,1,1
2018-06-12,"spring",1,1,1,1,1,1,1,1,1,1
2018-06-13,"spring",1,1,1,1,1,1,1,1,1,1
2018-06-14,"spring",1,1,1,1,1,1,1,1,1,1
2018-06-15,"spring",1,1,1,1,1,1,1,1,1,1
2018-06-16,"spring",1,1,1,1,1,1,1,1,1,1
2018-06-17,"spring",1,1,1,1,1,1,1,1,1,1
2018-06-18,"spring",1,1,1,1,1,1,1,1,1,1
2018-06-19,"spring",1,1,1,1,1,1,1,1,1,1
2018-06-20,"spring",1,1,1,1,1,1,1,1,1,1
2018-06-21,"summer",1,1,1,1,1,1,1,1,1,1
2018-06-22,"summer",1,1,1,1,1,1,1,1,1,1
2018-06-23,"summer",1,1,1,1,1,1,1,1,1,1
2018-06-24,"summer",1,1,1,1,1,1,1,1,1,1
2018-06-25,"summer",1,1,1,1,1,1,1,1,1,1
2018-06-26,"summer",1,1,1,1,1,1,1,1,1,1
2018-06-27,"summer",1,1,1,1,1,1,1,1,1,1
2018-06-28,"summer",1,1,1,1,1,1,1,1,1,1
2018-06-29,"summer",1,1,1,1,1,1,1,1,1,1
2018-06-30,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-01,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-02,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-03,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-04,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-05,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-06,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-07,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-08,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-09,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-10,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-11,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-12,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-13,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-14,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-15,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-16,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-17,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-18,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-19,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-20,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-21,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-22,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-23,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-24,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-25,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-26,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-27,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-28,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-29,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-30,"summer",1,1,1,1,1,1,1,1,1,1
2018-07-31,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-01,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-02,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-03,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-04,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-05,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-06,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-07,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-08,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-09,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-10,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-11,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-12,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-13,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-14,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-15,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-16,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-17,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-18,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-19,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-20,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-21,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-22,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-23,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-24,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-25,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-26,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-27,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-28,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-29,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-30,"summer",1,1,1,1,1,1,1,1,1,1
2018-08-31,"summer",1,1,1,1,1,1,1,1,1,1
2018-09-01,"summer",1,1,1,1,1,1,1,1,1,1
2018-09-02,"summer",1,1,1,1,1,1,1,1,1,1
2018-09-03,"summer",1,1,1,1,1,1,1,1,1,1
2018-09-04,"summer",1,1,1,1,1,1,1,1,1,1
2018-09-05,"summer",1,1,1,1,1,1,1,1,1,1
2018-09-06,"summer",1,1,1,1,1,1,1,1,1,1
2018-09-07,"summer",1,1,1,1,1,1,1,1,1,1
2018-09-08,"summer",1,1,1,1,1,1,1,1,1,1
2018-09-09,"summer",1,1,1,1,1,1,1,1,1,1
2018-09-10,"summer",1,1,1,1,1,1,1,1,1,1
2018-09-11,"summer",1,1,1,1,1,1,1,1,1,1
2018-09-12,"summer",1,1,1,1,1,1,1,1,1,1
2018-09-13,"summer",1,1,1,1,1,1,1,1,1,1
2018-09-14,"summer",1,1,1,1,1,1,1,1,1,1
2018-09-15,"summer",1,1,1,1,1,1,1,1,1,1
2018-09-16,"summer",1,1,1,1,1,1,1,1,1,1
2018-09-17,"summer",1,1,1,1,1,1,1,1,1,1
2018-09-18,"summer",1,1,1,1,1,1,1,1,1,1
2018-09-19,"summer",1,1,1,1,1,1,1,1,1,1
2018-09-20,"summer",1,1,1,1,1,1,1,1,1,1
2018-09-21,"summer",1,1,1,1,1,1,1,1,1,1
2018-09-22,"summer",1,1,1,1,1,1,1,1,1,1
2018-09-23,"fall",1,1,1,1,1,1,1,1,1,1
2018-09-24,"fall",1,1,1,1,1,1,1,1,1,1
2018-09-25,"fall",1,1,1,1,1,1,1,1,1,1
2018-09-26,"fall",1,1,1,1,1,1,1,1,1,1
2018-09-27,"fall",1,1,1,1,1,1,1,1,1,1
2018-09-28,"fall",1,1,1,1,1,1,1,1,1,1
2018-09-29,"fall",1,1,1,1,1,1,1,1,1,1
2018-09-30,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-01,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-02,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-03,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-04,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-05,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-06,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-07,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-08,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-09,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-10,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-11,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-12,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-13,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-14,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-15,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-16,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-17,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-18,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-19,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-20,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-21,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-22,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-23,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-24,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-25,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-26,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-27,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-28,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-29,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-30,"fall",1,1,1,1,1,1,1,1,1,1
2018-10-31,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-01,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-02,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-03,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-04,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-05,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-06,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-07,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-08,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-09,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-10,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-11,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-12,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-13,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-14,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-15,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-16,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-17,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-18,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-19,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-20,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-21,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-22,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-23,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-24,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-25,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-26,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-27,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-28,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-29,"fall",1,1,1,1,1,1,1,1,1,1
2018-11-30,"fall",1,1,1,1,1,1,1,1,1,1
2018-12-01,"fall",1,1,1,1,1,1,1,1,1,1
2018-12-02,"fall",1,1,1,1,1,1,1,1,1,1
2018-12-03,"fall",1,1,1,1,1,1,1,1,1,1
2018-12-04,"fall",1,1,1,1,1,1,1,1,1,1
2018-12-05,"fall",1,1,1,1,1,1,1,1,1,1
2018-12-06,"fall",1,1,1,1,1,1,1,1,1,1
2018-12-07,"fall",1,1,1,1,1,1,1,1,1,1
2018-12-08,"fall",1,1,1,1,1,1,1,1,1,1
2018-12-09,"fall",1,1,1,1,1,1,1,1,1,1
2018-12-10,"fall",1,1,1,1,1,1,1,1,1,1
2018-12-11,"fall",1,1,1,1,1,1,1,1,1,1
2018-12-12,"fall",1,1,1,1,1,1,1,1,1,1
2018-12-13,"fall",1,1,1,1,1,1,1,1,1,1
2018-12-14,"fall",1,1,1,1,1,1,1,1,1,1
2018-12-15,"fall",1,1,1,1,1,1,1,1,1,1
2018-12-16,"fall",1,1,1,1,1,1,1,1,1,1
2018-12-17,"fall",1,1,1,1,1,1,1,1,1,1
2018-12-18,"fall",1,1,1,1,1,1,1,1,1,1
2018-12-19,"fall",1,1,1,1,1,1,1,1,1,1
