ID,Visibility,Season,GroundCover,Size,LastPresentDecimalDays,FirstAbsentDecimalDays
79,M,SF,B,XL,10,14
80,H,WS,A,XL,21,28
81,H,WS,A,XL,0,1
82,H,WS,B,XL,3,7
83,H,SF,A,XL,28,NA
84,H,SF,A,XL,7,10
85,L,WS,A,S,10,14
86,L,WS,B,S,2,3
87,M,WS,A,S,14,21
88,H,WS,B,S,3,7
89,H,WS,A,S,21,28
90,M,WS,B,L,10,14
91,M,WS,B,L,21,28
92,M,WS,A,L,3,7
93,H,WS,B,L,21,28
94,H,WS,A,L,2,3
95,L,WS,A,M,14,21
96,L,WS,B,M,7,10
97,M,WS,A,M,2,3
98,H,WS,B,M,21,28
99,H,WS,A,M,14,21
100,M,WS,B,XL,1,2
101,M,WS,B,XL,1,2
102,M,WS,A,XL,2,3
103,H,WS,B,XL,7,10
104,H,WS,A,XL,10,14
105,L,WS,B,S,7,10
106,L,WS,B,S,7,10
107,L,SF,B,S,21,28
108,L,SF,A,S,0,1
109,M,WS,A,S,14,21
110,M,WS,A,S,3,7
111,M,WS,B,S,2,3
112,M,WS,B,S,28,NA
113,M,WS,A,S,14,21
114,M,SF,B,S,21,28
115,M,SF,A,S,28,NA
116,M,SF,A,S,14,21
117,H,WS,A,S,0,1
118,H,WS,A,S,3,7
119,H,WS,B,S,21,28
120,H,SF,B,S,3,7
121,H,SF,B,S,2,3
122,L,WS,A,L,7,10
123,L,WS,B,L,7,10
124,L,WS,B,L,28,NA
125,L,SF,B,L,28,NA
126,L,SF,A,L,0,1
127,M,WS,A,L,14,21
128,M,WS,A,L,14,21
129,M,WS,B,L,10,14
130,M,SF,B,L,3,7
131,M,SF,A,L,2,3
132,H,WS,A,L,14,21
133,H,WS,A,L,3,7
134,H,WS,B,L,7,10
135,H,SF,B,L,21,28
136,H,SF,B,L,1,2
137,L,WS,B,M,14,21
138,L,WS,B,M,21,28
139,L,SF,B,M,21,28
140,L,SF,A,M,2,3
141,M,WS,A,M,0,1
142,M,WS,A,M,28,NA
143,M,WS,B,M,28,NA
144,M,WS,B,M,21,28
145,M,WS,A,M,14,21
146,M,SF,B,M,3,7
147,M,SF,A,M,14,21
148,M,SF,A,M,28,NA
149,H,WS,A,M,21,28
150,H,WS,A,M,28,NA
151,H,WS,B,M,14,21
152,H,SF,B,M,3,7
153,H,SF,B,M,3,7
154,L,WS,A,XL,2,3
155,L,WS,B,XL,14,21
156,L,WS,B,XL,3,7
157,L,SF,B,XL,3,7
158,L,SF,A,XL,21,28
159,M,WS,A,XL,10,14
160,M,WS,A,XL,14,21
161,M,WS,B,XL,21,28
162,M,SF,B,XL,0,1
163,M,SF,A,XL,14,21
164,H,WS,A,XL,0,1
165,H,WS,A,XL,3,7
166,H,WS,B,XL,10,14
167,H,SF,B,XL,10,14
168,H,SF,B,XL,21,28
169,L,WS,B,S,14,21
170,L,WS,A,S,1,2
171,L,SF,A,S,7,10
172,L,SF,A,S,10,14
173,L,SF,B,S,10,14
174,M,WS,A,S,1,2
175,M,SF,A,S,7,10
176,H,WS,B,S,1,2
177,H,WS,B,S,21,28
178,H,SF,B,S,1,2
179,H,SF,B,S,1,2
180,L,WS,B,L,7,10
181,L,WS,B,L,0,1
182,L,SF,A,L,28,NA
183,L,SF,A,L,3,7
184,L,SF,B,L,21,28
185,M,WS,B,L,7,10
186,M,WS,A,L,21,28
187,M,WS,A,L,7,10
188,M,SF,A,L,3,7
189,M,SF,A,L,2,3
190,M,SF,B,L,10,14
191,H,WS,B,L,21,28
192,H,SF,B,L,0,1
193,H,SF,B,L,28,NA
194,L,WS,B,M,14,21
195,L,WS,A,M,1,2
196,L,SF,A,M,3,7
197,L,SF,A,M,0,1
198,L,SF,B,M,1,2
199,M,WS,A,M,1,2
200,M,SF,A,M,21,28
201,H,WS,B,M,1,2
202,H,WS,B,M,14,21
203,H,SF,B,M,10,14
204,H,SF,B,M,28,NA
205,L,WS,B,XL,10,14
206,L,WS,B,XL,10,14
207,L,SF,A,XL,10,14
208,L,SF,A,XL,10,14
209,L,SF,B,XL,14,21
210,M,WS,B,XL,0,1
211,M,WS,A,XL,21,28
212,M,WS,A,XL,0,1
213,M,SF,A,XL,14,21
214,M,SF,A,XL,3,7
215,M,SF,B,XL,21,28
216,H,WS,B,XL,0,1
217,H,SF,B,XL,28,NA
218,H,SF,B,XL,28,NA
219,L,WS,A,S,14,21
220,L,WS,A,S,3,7
221,L,SF,B,S,1,2
222,L,SF,A,S,7,10
223,L,SF,A,S,14,21
224,M,WS,A,S,14,21
225,M,WS,B,S,7,10
226,M,SF,B,S,21,28
227,M,SF,B,S,10,14
228,M,SF,B,S,14,21
229,M,SF,B,S,28,NA
230,H,WS,B,S,14,21
231,H,WS,A,S,1,2
232,H,SF,A,S,28,NA
233,H,SF,A,S,3,7
234,H,SF,A,S,14,21
235,H,SF,B,S,14,21
236,H,SF,B,S,7,10
237,L,WS,A,L,10,14
238,L,WS,A,L,10,14
239,L,SF,B,L,21,28
240,L,SF,A,L,21,28
241,L,SF,A,L,14,21
242,M,SF,B,L,7,10
243,M,SF,B,L,14,21
244,H,WS,B,L,2,3
245,H,WS,B,L,1,2
246,H,WS,A,L,10,14
247,H,SF,A,L,7,10
248,H,SF,A,L,7,10
249,L,WS,A,M,10,14
250,L,WS,A,M,14,21
251,L,SF,B,M,28,NA
252,L,SF,A,M,3,7
253,L,SF,A,M,7,10
254,M,WS,A,M,1,2
255,M,WS,B,M,3,7
256,M,SF,B,M,1,2
257,M,SF,B,M,28,NA
258,M,SF,B,M,28,NA
259,M,SF,B,M,3,7
260,H,WS,B,M,21,28
261,H,WS,A,M,28,NA
262,H,SF,A,M,28,NA
263,H,SF,A,M,7,10
264,H,SF,A,M,3,7
265,H,SF,B,M,7,10
266,H,SF,B,M,7,10
267,L,WS,A,XL,1,2
268,L,WS,A,XL,28,NA
269,L,SF,B,XL,7,10
270,L,SF,A,XL,3,7
271,L,SF,A,XL,1,2
272,M,SF,B,XL,7,10
273,M,SF,B,XL,14,21
274,H,WS,B,XL,14,21
275,H,WS,B,XL,7,10
276,H,WS,A,XL,7,10
277,H,SF,A,XL,7,10
278,H,SF,A,XL,10,14
279,L,WS,B,S,7,10
280,L,WS,B,S,10,14
281,L,WS,A,S,3,7
282,L,SF,A,S,2,3
283,L,SF,B,S,1,2
284,L,SF,B,S,7,10
285,L,SF,B,S,1,2
286,L,SF,B,S,1,2
287,M,WS,B,S,28,NA
288,M,WS,B,S,1,2
289,M,SF,A,S,10,14
290,M,SF,A,S,28,NA
291,M,SF,A,S,7,10
292,M,SF,B,S,10,14
293,M,SF,B,S,7,10
294,H,WS,A,S,14,21
295,H,WS,A,S,21,28
296,H,SF,A,S,14,21
297,H,SF,A,S,1,2
298,H,SF,A,S,1,2
299,H,SF,B,S,28,NA
300,L,WS,A,L,28,NA
301,L,WS,B,L,14,21
302,L,SF,A,L,10,14
303,L,SF,B,L,7,10
304,L,SF,B,L,7,10
305,M,WS,A,L,1,2
306,M,WS,B,L,10,14
307,M,WS,B,L,0,1
308,M,WS,B,L,3,7
309,M,SF,B,L,14,21
310,M,SF,A,L,21,28
311,M,SF,A,L,2,3
312,M,SF,A,L,1,2
313,H,WS,A,L,7,10
314,H,WS,A,L,10,14
315,H,SF,A,L,14,21
316,H,SF,B,L,28,NA
317,H,SF,B,L,1,2
318,H,SF,A,L,14,21
319,H,SF,A,L,3,7
320,L,WS,B,M,3,7
321,L,WS,B,M,14,21
322,L,WS,A,M,3,7
323,L,SF,A,M,2,3
324,L,SF,B,M,28,NA
325,L,SF,B,M,1,2
326,L,SF,B,M,3,7
327,L,SF,B,M,3,7
328,M,WS,B,M,21,28
329,M,WS,B,M,21,28
330,M,SF,A,M,3,7
331,M,SF,A,M,10,14
332,M,SF,A,M,28,NA
333,M,SF,B,M,1,2
334,M,SF,B,M,0,1
335,H,WS,A,M,21,28
336,H,WS,A,M,21,28
337,H,SF,A,M,14,21
338,H,SF,A,M,14,21
339,H,SF,A,M,28,NA
340,H,SF,B,M,3,7
341,L,WS,A,XL,1,2
342,L,WS,B,XL,3,7
343,L,SF,A,XL,10,14
344,L,SF,B,XL,14,21
345,L,SF,B,XL,28,NA
346,M,WS,A,XL,7,10
347,M,WS,B,XL,10,14
348,M,WS,B,XL,3,7
349,M,WS,B,XL,7,10
350,M,SF,B,XL,10,14
351,M,SF,A,XL,0,1
352,M,SF,A,XL,0,1
353,M,SF,A,XL,3,7
354,H,WS,A,XL,21,28
355,H,WS,A,XL,28,NA
356,H,SF,A,XL,21,28
357,H,SF,B,XL,28,NA
358,H,SF,B,XL,21,28
359,H,SF,A,XL,0,1
360,H,SF,A,XL,3,7
361,L,WS,A,S,14,21
362,L,WS,A,S,1,2
363,L,WS,B,S,21,28
364,L,SF,A,S,0,1
365,L,SF,A,S,28,NA
366,L,SF,A,S,28,NA
367,L,SF,B,S,21,28
368,M,WS,B,S,2,3
369,M,SF,A,S,14,21
370,M,SF,A,S,14,21
371,H,WS,B,S,3,7
372,H,WS,B,S,21,28
373,H,SF,B,S,14,21
374,H,SF,B,S,28,NA
375,H,SF,B,S,14,21
376,L,WS,B,L,3,7
377,L,WS,A,L,21,28
378,L,WS,A,L,14,21
379,L,SF,B,L,10,14
380,L,SF,B,L,1,2
381,L,SF,A,L,21,28
382,L,SF,A,L,1,2
383,L,SF,A,L,14,21
384,L,SF,B,L,28,NA
385,M,WS,B,L,10,14
386,M,SF,B,L,3,7
387,M,SF,B,L,28,NA
388,M,SF,A,L,10,14
389,M,SF,A,L,7,10
390,H,WS,B,L,3,7
391,H,SF,A,L,21,28
392,H,SF,B,L,7,10
393,H,SF,B,L,21,28
394,L,WS,A,M,21,28
395,L,WS,A,M,3,7
396,L,WS,B,M,10,14
397,L,SF,A,M,3,7
398,L,SF,A,M,1,2
399,L,SF,A,M,28,NA
400,L,SF,B,M,3,7
401,M,WS,B,M,21,28
402,M,SF,A,M,7,10
403,M,SF,A,M,7,10
404,H,WS,B,M,7,10
405,H,WS,B,M,21,28
406,H,SF,B,M,1,2
407,H,SF,B,M,1,2
408,H,SF,B,M,14,21
409,L,WS,B,XL,3,7
410,L,WS,A,XL,14,21
411,L,WS,A,XL,21,28
412,L,SF,B,XL,21,28
413,L,SF,B,XL,10,14
414,L,SF,A,XL,2,3
415,L,SF,A,XL,0,1
416,L,SF,A,XL,14,21
417,L,SF,B,XL,14,21
418,M,WS,B,XL,14,21
419,M,SF,B,XL,10,14
420,M,SF,B,XL,2,3
421,M,SF,A,XL,10,14
422,M,SF,A,XL,1,2
423,H,WS,B,XL,14,21
424,H,SF,A,XL,3,7
425,H,SF,B,XL,10,14
426,H,SF,B,XL,14,21
427,L,WS,B,S,0,1
428,L,SF,B,S,1,2
429,L,SF,A,S,28,NA
430,M,WS,A,S,10,14
431,M,WS,A,S,0,1
432,M,SF,A,S,1,2
433,M,SF,B,S,7,10
434,M,SF,B,S,7,10
435,H,WS,A,S,10,14
436,H,SF,A,S,28,NA
437,H,SF,A,S,0,1
438,L,WS,A,L,21,28
439,L,WS,B,L,0,1
440,L,WS,B,L,21,28
441,L,SF,B,L,14,21
442,L,SF,A,L,7,10
443,M,WS,A,L,10,14
444,M,WS,A,L,1,2
445,M,SF,A,L,3,7
446,M,SF,B,L,21,28
447,M,SF,B,L,28,NA
448,H,WS,B,L,0,1
449,H,WS,A,L,3,7
450,H,SF,B,L,1,2
451,H,SF,B,L,10,14
452,H,SF,A,L,14,21
453,H,SF,A,L,28,NA
454,L,WS,B,M,21,28
455,L,SF,B,M,10,14
456,L,SF,A,M,28,NA
457,M,WS,A,M,3,7
458,M,WS,A,M,2,3
459,M,SF,A,M,1,2
460,M,SF,B,M,28,NA
461,M,SF,B,M,10,14
462,H,WS,A,M,21,28
463,H,SF,A,M,14,21
464,H,SF,A,M,1,2
465,L,WS,A,XL,28,NA
466,L,WS,B,XL,28,NA
467,L,WS,B,XL,28,NA
468,L,SF,B,XL,28,NA
469,L,SF,A,XL,10,14
470,M,WS,A,XL,0,1
471,M,WS,A,XL,21,28
472,M,SF,A,XL,14,21
473,M,SF,B,XL,3,7
474,M,SF,B,XL,21,28
475,H,WS,B,XL,21,28
476,H,WS,A,XL,0,1
477,H,SF,B,XL,0,1
478,H,SF,B,XL,28,NA
479,H,SF,A,XL,10,14
480,H,SF,A,XL,1,2
