"carcID","Turbine","TurbineType","DateFound","Visibility","Species","SpeciesGroup","Size","Distance"
"x839","t95","Z",1955-05-21,"RP","BA","bat1","bat",7.1
"x841","t48","Y",1955-05-21,"RP","BA","bat1","bat",19.9
"x338","t53","Z",1955-05-24,"D","MF","brd2","med",53.2
"x616","t21","X",1955-05-24,"M","BB","bat1","bat",28.5
"x762","t95","Z",1955-05-24,"D","BA","bat1","bat",24.9
"x779","t22","X",1955-05-27,"D","SD","brd1","sml",58.8
"x790","t78","Z",1955-05-27,"D","BC","bat1","bat",19.5
"x893","t22","X",1955-05-27,"M","BD","bat0","bat",19.1
"x940","t58","Z",1955-05-27,"RP","BA","bat1","bat",3
"x1033","t22","X",1955-05-27,"M","BA","bat1","bat",37.2
"x1095","t14","X",1955-05-27,"M","BC","bat1","bat",17.1
"x1096","t62","Z",1955-05-27,"D","LB","brd3","lrg",35.8
"x1128","t48","Y",1955-05-27,"D","BA","bat1","bat",49.9
"x1151","t7","X",1955-05-30,"RP","BA","bat1","bat",11.8
"x1203","t71","Z",1955-05-30,"RP","BB","bat1","bat",6.5
"x1225","t69","Z",1955-05-30,"M","BC","bat1","bat",45.7
"x1228","t95","Z",1955-05-30,"M","BB","bat1","bat",27.9
"x879","t58","Z",1955-06-02,"D","BB","bat1","bat",18.7
"x948","t56","Z",1955-06-02,"D","BA","bat1","bat",19.2
"x972","t32","Y",1955-06-02,"RP","BA","bat1","bat",1.9
"x1046","t4","X",1955-06-02,"D","BB","bat1","bat",41.4
"x1161","t62","Z",1955-06-02,"D","BA","bat1","bat",42.5
"x1240","t32","Y",1955-06-02,"M","BA","bat1","bat",20.1
"x1292","t70","Z",1955-06-02,"D","BA","bat1","bat",59.8
"x1331","t60","Z",1955-06-02,"D","BA","bat1","bat",38.3
"x1309","t53","Z",1955-06-05,"RP","BB","bat1","bat",5.4
"x1311","t61","Z",1955-06-05,"M","SB","brd1","sml",46.2
"x1334","t57","Z",1955-06-05,"RP","BB","bat1","bat",13.5
"x1403","t47","Y",1955-06-05,"M","BC","bat1","bat",15.2
"x1423","t21","X",1955-06-05,"M","BB","bat1","bat",18
"x961","t22","X",1955-06-08,"D","BB","bat1","bat",34.4
"x1060","t60","Z",1955-06-08,"D","BA","bat1","bat",41.6
"x1071","t70","Z",1955-06-08,"D","BA","bat1","bat",53
"x1313","t14","X",1955-06-08,"D","SC","brd1","sml",45.9
"x1410","t22","X",1955-06-08,"D","MD","brd1","med",27.9
"x1425","t70","Z",1955-06-08,"D","BA","bat1","bat",47.8
"x1481","t60","Z",1955-06-08,"D","LA","brd2","lrg",40.9
"x1274","t71","Z",1955-06-11,"D","MH","brd3","med",55.2
"x1489","t61","Z",1955-06-11,"M","SA","brd1","sml",35.5
"x1542","t60","Z",1955-06-14,"D","MA","brd1","med",52
"x1559","t48","Y",1955-06-14,"RP","SD","brd1","sml",46.2
"x1422","t32","Y",1955-06-21,"M","BA","bat1","bat",13.3
"x1603","t58","Z",1955-06-21,"RP","BB","bat1","bat",8.3
"x1608","t18","X",1955-06-21,"M","BA","bat1","bat",23.3
"x1639","t14","X",1955-06-21,"RP","BA","bat1","bat",6.5
"x591","t1","X",1955-06-28,"M","SC","brd1","sml",41.3
"x1604","t4","X",1955-06-28,"M","BA","bat1","bat",34.1
"x1676","t32","Y",1955-06-28,"RP","SC","brd1","sml",44.9
"x1757","t22","X",1955-06-28,"RP","BA","bat1","bat",4.8
"x1692","t47","Y",1955-07-05,"D","SD","brd1","sml",49.9
"x1846","t60","Z",1955-07-05,"RP","BA","bat1","bat",6.4
"x1027","t60","Z",1955-07-12,"D","BA","bat1","bat",28.3
"x1792","t60","Z",1955-07-12,"M","BA","bat1","bat",50.8
"x1863","t32","Y",1955-07-12,"D","BB","bat1","bat",30.5
"x1864","t21","X",1955-07-12,"M","SG","brd1","sml",33.9
"x1884","t7","X",1955-07-12,"D","SC","brd1","sml",27
"x1896","t70","Z",1955-07-12,"D","BA","bat1","bat",23.7
"x1910","t95","Z",1955-07-12,"RP","BB","bat1","bat",3.4
"x1787","t47","Y",1955-07-19,"D","BA","bat1","bat",38.7
"x1853","t60","Z",1955-07-19,"M","BA","bat1","bat",12.1
"x1889","t58","Z",1955-07-26,"D","BA","bat1","bat",56.7
"x2039","t53","Z",1955-07-26,"M","BB","bat1","bat",39.6
"x2083","t32","Y",1955-07-26,"RP","BA","bat1","bat",11.3
"x1977","t4","X",1955-08-02,"D","BA","bat1","bat",29
"x2044","t4","X",1955-08-02,"RP","BB","bat1","bat",18.5
"x2055","t56","Z",1955-08-02,"D","SD","brd1","sml",28
"x2175","t47","Y",1955-08-02,"RP","BA","bat1","bat",9.1
"x2163","t53","Z",1955-08-09,"M","SC","brd1","sml",38.9
"x2271","t22","X",1955-08-16,"D","SE","brd2","sml",55.9
"x2306","t88","Z",1955-08-16,"M","SC","brd1","sml",38.5
"x2323","t71","Z",1955-08-16,"D","BA","bat1","bat",27.5
"x2330","t78","Z",1955-08-16,"D","BC","bat1","bat",55.6
"x2234","t21","X",1955-08-23,"D","SD","brd1","sml",58
"x2341","t58","Z",1955-08-23,"D","BB","bat1","bat",18.9
"x2361","t32","Y",1955-08-23,"M","BA","bat1","bat",17.7
"x2392","t14","X",1955-08-23,"RP","BB","bat1","bat",5.5
"x2411","t95","Z",1955-08-23,"RP","BB","bat1","bat",13.5
"x2435","t32","Y",1955-08-27,"RP","BA","bat1","bat",34.3
"x2455","t60","Z",1955-08-28,"D","BB","bat1","bat",34.1
"x2458","t58","Z",1955-08-29,"D","BD","bat0","bat",42.1
"x2461","t95","Z",1955-08-29,"RP","BA","bat1","bat",5.8
"x2500","t88","Z",1955-08-29,"RP","BC","bat1","bat",7.1
"x1482","t95","Z",1955-08-30,"D","LB","brd3","lrg",45.6
"x2454","t1","X",1955-08-31,"D","BA","bat1","bat",38.6
"x2519","t53","Z",1955-09-02,"M","BC","bat1","bat",9.3
"x2639","t47","Y",1955-09-02,"D","BA","bat1","bat",43.9
"x2531","t32","Y",1955-09-03,"D","BA","bat1","bat",34
"x2540","t78","Z",1955-09-03,"D","BB","bat1","bat",17
"x2569","t69","Z",1955-09-03,"RP","BA","bat1","bat",10.2
"x2620","t18","X",1955-09-03,"M","BB","bat1","bat",17.1
"x2750","t95","Z",1955-09-05,"D","BA","bat1","bat",38
"x2542","t88","Z",1955-09-06,"D","BD","bat0","bat",20.6
"x2581","t14","X",1955-09-06,"M","BA","bat1","bat",21.4
"x2603","t7","X",1955-09-06,"D","SD","brd1","sml",37.1
"x2660","t60","Z",1955-09-06,"D","BC","bat1","bat",32.5
"x2722","t57","Z",1955-09-06,"M","BA","bat1","bat",10.5
"x2731","t21","X",1955-09-06,"D","BB","bat1","bat",46.4
"x2592","t61","Z",1955-09-07,"D","BA","bat1","bat",22.5
"x2669","t22","X",1955-09-07,"D","BA","bat1","bat",34.9
"x2688","t58","Z",1955-09-07,"D","BB","bat1","bat",40.4
"x2712","t1","X",1955-09-07,"M","BC","bat1","bat",34.9
"x2817","t1","X",1955-09-07,"RP","BA","bat1","bat",9.5
"x2889","t1","X",1955-09-07,"D","BA","bat1","bat",57
"x2796","t53","Z",1955-09-08,"D","BA","bat1","bat",20.7
"x2887","t69","Z",1955-09-09,"RP","BB","bat1","bat",7.9
"x2897","t48","Y",1955-09-09,"D","BA","bat1","bat",43.6
"x2914","t57","Z",1955-09-09,"M","BC","bat1","bat",16.4
"x2704","t18","X",1955-09-10,"RP","BA","bat1","bat",23
"x2923","t58","Z",1955-09-10,"M","BA","bat1","bat",12.9
"x3046","t69","Z",1955-09-12,"RP","BA","bat1","bat",10.1
"x3095","t57","Z",1955-09-12,"D","BA","bat1","bat",39
"x3108","t69","Z",1955-09-12,"RP","BC","bat1","bat",6.1
"x3151","t95","Z",1955-09-12,"D","SB","brd1","sml",39
"x3156","t88","Z",1955-09-12,"RP","BB","bat1","bat",4
"x3117","t95","Z",1955-09-13,"D","BB","bat1","bat",54.4
"x3190","t1","X",1955-09-14,"D","BA","bat1","bat",28.4
"x3106","t69","Z",1955-09-15,"RP","BB","bat1","bat",3.3
"x3205","t88","Z",1955-09-15,"RP","BA","bat1","bat",7.2
"x3222","t69","Z",1955-09-15,"D","BB","bat1","bat",29.8
"x3284","t61","Z",1955-09-16,"D","BA","bat1","bat",46.5
"x3300","t70","Z",1955-09-16,"D","BA","bat1","bat",33.6
"x2741","t62","Z",1955-09-17,"D","BC","bat1","bat",40.1
"x3358","t18","X",1955-09-17,"M","BC","bat1","bat",14.1
"x3398","t32","Y",1955-09-17,"RP","BB","bat1","bat",11.3
"x3453","t4","X",1955-09-17,"RP","BB","bat1","bat",4.6
"x3354","t69","Z",1955-09-18,"M","BA","bat1","bat",35
"x3451","t78","Z",1955-09-18,"M","BA","bat1","bat",15.5
"x3458","t69","Z",1955-09-18,"D","BA","bat1","bat",16.6
"x3219","t70","Z",1955-09-19,"D","BA","bat1","bat",27.2
"x3330","t70","Z",1955-09-19,"D","SC","brd1","sml",53.8
"x3407","t61","Z",1955-09-19,"D","BC","bat1","bat",52.1
"x2380","t21","X",1955-09-20,"M","SG","brd1","sml",26.9
"x2949","t21","X",1955-09-20,"M","BA","bat1","bat",37.1
"x3463","t56","Z",1955-09-20,"RP","BA","bat1","bat",3.1
"x3547","t88","Z",1955-09-20,"D","BA","bat1","bat",37.3
"x3608","t14","X",1955-09-20,"RP","BA","bat1","bat",20
"x3624","t7","X",1955-09-20,"D","BC","bat1","bat",45.4
"x2895","t1","X",1955-09-21,"D","SA","brd1","sml",53.2
"x3237","t69","Z",1955-09-21,"D","BC","bat1","bat",35.7
"x3511","t48","Y",1955-09-21,"D","BA","bat1","bat",47.9
"x3524","t1","X",1955-09-21,"M","BA","bat1","bat",12.5
"x3561","t60","Z",1955-09-21,"D","BC","bat1","bat",42.1
"x3638","t95","Z",1955-09-21,"RP","BB","bat1","bat",50.3
"x3646","t60","Z",1955-09-21,"RP","BB","bat1","bat",7.4
"x3660","t48","Y",1955-09-21,"M","BA","bat1","bat",22.1
"x3674","t1","X",1955-09-21,"M","BB","bat1","bat",20.6
"x3477","t53","Z",1955-09-23,"D","BA","bat1","bat",51.2
"x3488","t4","X",1955-09-24,"M","BC","bat1","bat",15.6
"x3642","t32","Y",1955-09-24,"M","BA","bat1","bat",17.4
"x3694","t57","Z",1955-09-24,"RP","BB","bat1","bat",15.2
"x3709","t32","Y",1955-09-24,"RP","BA","bat1","bat",2.5
"x3784","t57","Z",1955-09-24,"RP","BC","bat1","bat",7.9
"x3801","t4","X",1955-09-24,"RP","BC","bat1","bat",59.6
"x3821","t95","Z",1955-09-24,"RP","BC","bat1","bat",12.6
"x3412","t70","Z",1955-09-25,"D","BC","bat1","bat",18.2
"x3559","t70","Z",1955-09-25,"D","BA","bat1","bat",29.5
"x3782","t58","Z",1955-09-25,"M","BB","bat1","bat",13
"x3832","t61","Z",1955-09-25,"D","BA","bat1","bat",19
"x2848","t71","Z",1955-09-26,"D","BA","bat1","bat",16.7
"x3770","t95","Z",1955-09-26,"D","BA","bat1","bat",23.5
"x3864","t47","Y",1955-09-26,"RP","BA","bat1","bat",16.1
"x3746","t57","Z",1955-09-27,"M","BA","bat1","bat",16
"x3382","t22","X",1955-09-28,"D","BB","bat1","bat",53.9
"x3718","t22","X",1955-09-28,"RP","BA","bat1","bat",8.4
"x3974","t70","Z",1955-09-28,"RP","BA","bat1","bat",49.2
"x3998","t61","Z",1955-09-28,"M","BA","bat1","bat",34.9
"x4015","t88","Z",1955-09-28,"RP","BA","bat1","bat",6.6
"x3729","t47","Y",1955-09-29,"D","BA","bat1","bat",47.1
"x3964","t62","Z",1955-09-29,"D","BC","bat1","bat",34.3
"x4042","t53","Z",1955-09-29,"D","SC","brd1","sml",51.8
"x4038","t57","Z",1955-09-30,"D","BA","bat1","bat",50.4
"x4078","t95","Z",1955-09-30,"RP","BB","bat1","bat",10.9
"x4109","t88","Z",1955-09-30,"D","BB","bat1","bat",20.7
"x3928","t58","Z",1955-10-01,"RP","BA","bat1","bat",8.1
"x4085","t4","X",1955-10-01,"RP","BB","bat1","bat",10.3
"x4134","t4","X",1955-10-01,"RP","BC","bat1","bat",25.8
"x4158","t70","Z",1955-10-01,"D","BA","bat1","bat",27.8
"x4097","t56","Z",1955-10-02,"RP","BA","bat1","bat",11.7
"x4198","t62","Z",1955-10-02,"M","BA","bat1","bat",10.7
"x4120","t69","Z",1955-10-03,"D","BB","bat1","bat",45.9
"x4244","t69","Z",1955-10-03,"M","BA","bat1","bat",57.8
"x4200","t7","X",1955-10-04,"D","BA","bat1","bat",39.1
"x4203","t58","Z",1955-10-04,"RP","BB","bat1","bat",6.9
"x4256","t70","Z",1955-10-04,"D","BA","bat1","bat",46.3
"x4280","t7","X",1955-10-04,"RP","BA","bat1","bat",10.6
"x4175","t1","X",1955-10-05,"M","BA","bat1","bat",48.8
"x4271","t1","X",1955-10-05,"RP","BA","bat1","bat",32.3
"x4293","t48","Y",1955-10-06,"M","BA","bat1","bat",29.3
"x3865","t58","Z",1955-10-07,"D","BA","bat1","bat",37.8
"x3972","t61","Z",1955-10-07,"D","BA","bat1","bat",34.2
"x4266","t70","Z",1955-10-07,"D","BB","bat1","bat",41.4
"x4390","t58","Z",1955-10-07,"RP","BA","bat1","bat",48.7
"x3922","t32","Y",1955-10-08,"D","BA","bat1","bat",41
"x3933","t32","Y",1955-10-08,"M","BB","bat1","bat",51.4
"x4254","t56","Z",1955-10-08,"M","BC","bat1","bat",22.5
"x4398","t71","Z",1955-10-08,"RP","BA","bat1","bat",2.7
"x4440","t95","Z",1955-10-08,"RP","BA","bat1","bat",48.3
"x4449","t4","X",1955-10-08,"RP","BB","bat1","bat",11
"x4298","t60","Z",1955-10-09,"D","BA","bat1","bat",55.3
"x4336","t48","Y",1955-10-09,"D","BA","bat1","bat",31.2
"x4393","t48","Y",1955-10-09,"D","BC","bat1","bat",58.8
"x4456","t61","Z",1955-10-10,"D","BA","bat1","bat",22.9
"x4468","t61","Z",1955-10-10,"M","BB","bat1","bat",18.5
"x4531","t69","Z",1955-10-12,"D","BA","bat1","bat",31.5
"x4567","t95","Z",1955-10-12,"RP","BB","bat1","bat",11.9
"x4424","t4","X",1955-10-15,"D","BA","bat1","bat",35.9
"x4546","t78","Z",1955-10-15,"D","BC","bat1","bat",43.8
"x4232","t70","Z",1955-10-16,"M","BA","bat1","bat",14
"x4596","t60","Z",1955-10-18,"M","BC","bat1","bat",12.6
"x4665","t1","X",1955-10-19,"RP","BA","bat1","bat",10.3
"x4682","t57","Z",1955-10-21,"D","BA","bat1","bat",35.3
"x4610","t70","Z",1955-10-22,"D","BC","bat1","bat",55.9
"x4455","t47","Y",1955-10-23,"D","SG","brd1","sml",37.5
"x4729","t53","Z",1955-10-26,"RP","BB","bat1","bat",9.7
"x4736","t1","X",1955-10-26,"M","BA","bat1","bat",14.5
"x4585","t4","X",1955-10-29,"D","BA","bat1","bat",17
