"cpID","Size","Season","Visibility","Left","Right"
"cp333","sml","summer","D",1,2
"cp334","sml","summer","D",2,3
"cp335","sml","summer","D",4,7
"cp336","sml","summer","D",28,Inf
"cp337","sml","summer","D",28,Inf
"cp338","sml","summer","D",0,1
"cp339","sml","summer","D",28,Inf
"cp340","sml","summer","D",0,1
"cp341","sml","fall","D",4,7
"cp342","sml","fall","D",14,21
"cp343","sml","fall","D",4,7
"cp344","sml","fall","D",0,1
"cp345","sml","fall","D",14,21
"cp346","sml","fall","D",0,1
"cp347","sml","fall","D",2,3
"cp348","sml","fall","D",0,1
"cp349","sml","fall","D",2,3
"cp350","sml","fall","D",0,1
"cp351","sml","fall","D",0,1
"cp352","sml","fall","D",0,1
"cp353","sml","fall","D",10,14
"cp354","sml","fall","D",14,21
"cp355","sml","fall","D",1,2
"cp356","sml","fall","D",10,14
"cp357","sml","fall","D",3,4
"cp358","sml","fall","D",7,10
"cp359","sml","fall","D",28,Inf
"cp360","sml","fall","D",14,21
"cp361","med","spring","RP",21,28
"cp362","med","spring","RP",4,7
"cp363","med","spring","RP",10,14
"cp364","med","spring","RP",4,7
"cp365","med","spring","RP",28,Inf
"cp366","med","spring","RP",14,21
"cp367","med","spring","RP",14,21
"cp368","med","spring","RP",10,14
"cp369","med","spring","RP",1,2
"cp370","med","spring","RP",28,Inf
"cp371","med","spring","RP",7,10
"cp372","med","spring","RP",14,21
"cp373","med","spring","RP",0,1
"cp374","med","spring","RP",0,1
"cp375","med","spring","RP",10,14
"cp376","med","spring","RP",10,14
"cp377","med","spring","RP",10,14
"cp378","med","spring","RP",0,1
"cp379","med","spring","RP",2,3
"cp380","med","spring","RP",4,7
"cp381","med","summer","RP",10,14
"cp382","med","summer","RP",7,10
"cp383","med","summer","RP",0,1
"cp384","med","summer","RP",0,1
"cp385","med","summer","RP",10,14
"cp386","med","summer","RP",7,10
"cp387","med","summer","RP",10,14
"cp388","med","summer","RP",10,14
"cp389","med","summer","RP",3,4
"cp390","med","summer","RP",21,28
"cp391","med","summer","RP",0,1
"cp392","med","summer","RP",1,2
"cp393","med","summer","RP",0,1
"cp394","med","summer","RP",1,2
"cp395","med","summer","RP",4,7
"cp396","med","summer","RP",0,1
"cp397","med","summer","RP",21,28
"cp398","med","summer","RP",7,10
"cp399","med","summer","RP",0,1
"cp400","med","summer","RP",21,28
"cp401","med","fall","RP",0,1
"cp402","med","fall","RP",4,7
"cp403","med","fall","RP",1,2
"cp404","med","fall","RP",14,21
"cp405","med","fall","RP",7,10
"cp406","med","fall","RP",14,21
"cp407","med","fall","RP",4,7
"cp408","med","fall","RP",14,21
"cp409","med","fall","RP",4,7
"cp410","med","fall","RP",0,1
"cp411","med","fall","RP",21,28
"cp412","med","fall","RP",14,21
"cp413","med","fall","RP",14,21
"cp414","med","fall","RP",10,14
"cp415","med","fall","RP",7,10
"cp416","med","fall","RP",4,7
"cp417","med","fall","RP",10,14
"cp418","med","fall","RP",2,3
"cp419","med","fall","RP",7,10
"cp420","med","fall","RP",4,7
"cp421","med","spring","M",7,10
"cp422","med","spring","M",28,Inf
"cp423","med","spring","M",3,4
"cp424","med","spring","M",10,14
"cp425","med","spring","M",2,3
"cp426","med","spring","M",14,21
"cp427","med","spring","M",2,3
"cp428","med","spring","M",28,Inf
"cp429","med","spring","M",10,14
"cp430","med","spring","M",7,10
"cp431","med","spring","M",1,2
"cp432","med","spring","M",1,2
"cp433","med","spring","M",0,1
"cp434","med","spring","M",28,Inf
"cp435","med","spring","M",28,Inf
"cp436","med","spring","M",14,21
"cp437","med","spring","M",4,7
"cp438","med","spring","M",14,21
"cp439","med","spring","M",0,1
"cp440","med","spring","M",21,28
"cp441","med","summer","M",3,4
"cp442","med","summer","M",28,Inf
"cp443","med","summer","M",0,1
"cp444","med","summer","M",0,1
"cp445","med","summer","M",0,1
"cp446","med","summer","M",2,3
"cp447","med","summer","M",28,Inf
"cp448","med","summer","M",10,14
"cp449","med","summer","M",0,1
"cp450","med","summer","M",14,21
"cp451","med","summer","M",0,1
"cp452","med","summer","M",28,Inf
"cp453","med","summer","M",7,10
"cp454","med","summer","M",0,1
"cp455","med","summer","M",0,1
"cp456","med","summer","M",0,1
"cp457","med","summer","M",28,Inf
"cp458","med","summer","M",2,3
"cp459","med","summer","M",0,1
"cp460","med","summer","M",28,Inf
"cp461","med","fall","M",10,14
"cp462","med","fall","M",0,1
"cp463","med","fall","M",2,3
"cp464","med","fall","M",1,2
"cp465","med","fall","M",4,7
"cp466","med","fall","M",4,7
"cp467","med","fall","M",28,Inf
"cp468","med","fall","M",1,2
"cp469","med","fall","M",7,10
"cp470","med","fall","M",0,1
"cp471","med","fall","M",10,14
"cp472","med","fall","M",1,2
"cp473","med","fall","M",21,28
"cp474","med","fall","M",0,1
"cp475","med","fall","M",28,Inf
"cp476","med","fall","M",10,14
"cp477","med","fall","M",28,Inf
"cp478","med","fall","M",0,1
"cp479","med","fall","M",28,Inf
"cp480","med","fall","M",28,Inf
"cp481","med","spring","D",14,21
"cp482","med","spring","D",28,Inf
"cp483","med","spring","D",2,3
"cp484","med","spring","D",14,21
"cp485","med","spring","D",10,14
"cp486","med","spring","D",7,10
"cp487","med","spring","D",10,14
"cp488","med","spring","D",2,3
"cp489","med","spring","D",14,21
"cp490","med","spring","D",28,Inf
"cp491","med","spring","D",1,2
"cp492","med","spring","D",21,28
"cp493","med","spring","D",28,Inf
"cp494","med","spring","D",14,21
"cp495","med","spring","D",14,21
"cp496","med","spring","D",1,2
"cp497","med","spring","D",21,28
"cp498","med","spring","D",28,Inf
"cp499","med","spring","D",3,4
"cp500","med","spring","D",7,10
"cp501","med","summer","D",3,4
"cp502","med","summer","D",21,28
"cp503","med","summer","D",14,21
"cp504","med","summer","D",28,Inf
"cp505","med","summer","D",28,Inf
"cp506","med","summer","D",28,Inf
"cp507","med","summer","D",28,Inf
"cp508","med","summer","D",14,21
"cp509","med","summer","D",4,7
"cp510","med","summer","D",4,7
"cp511","med","summer","D",28,Inf
"cp512","med","summer","D",21,28
"cp513","med","summer","D",28,Inf
"cp514","med","summer","D",7,10
"cp515","med","summer","D",28,Inf
"cp516","med","summer","D",14,21
"cp517","med","summer","D",1,2
"cp518","med","summer","D",1,2
"cp519","med","summer","D",2,3
"cp520","med","summer","D",28,Inf
"cp521","med","fall","D",28,Inf
"cp522","med","fall","D",4,7
"cp523","med","fall","D",28,Inf
"cp524","med","fall","D",28,Inf
"cp525","med","fall","D",28,Inf
"cp526","med","fall","D",28,Inf
"cp527","med","fall","D",28,Inf
"cp528","med","fall","D",1,2
"cp529","med","fall","D",0,1
"cp530","med","fall","D",28,Inf
"cp531","med","fall","D",21,28
"cp532","med","fall","D",28,Inf
"cp533","med","fall","D",28,Inf
"cp534","med","fall","D",1,2
"cp535","med","fall","D",28,Inf
"cp536","med","fall","D",14,21
"cp537","med","fall","D",14,21
"cp538","med","fall","D",10,14
"cp539","med","fall","D",28,Inf
"cp540","med","fall","D",1,2
"cp541","lrg","spring","RP",1,2
"cp542","lrg","spring","RP",28,Inf
"cp543","lrg","spring","RP",1,2
"cp544","lrg","spring","RP",10,14
"cp545","lrg","spring","RP",10,14
"cp546","lrg","spring","RP",14,21
"cp547","lrg","spring","RP",7,10
"cp548","lrg","spring","RP",28,Inf
"cp549","lrg","spring","RP",4,7
"cp550","lrg","spring","RP",28,Inf
"cp551","lrg","spring","RP",28,Inf
"cp552","lrg","spring","RP",21,28
"cp553","lrg","spring","RP",4,7
"cp554","lrg","spring","RP",28,Inf
"cp555","lrg","spring","RP",1,2
"cp556","lrg","spring","RP",28,Inf
"cp557","lrg","spring","RP",14,21
"cp558","lrg","spring","RP",28,Inf
"cp559","lrg","spring","RP",14,21
"cp560","lrg","spring","RP",28,Inf
"cp561","lrg","summer","RP",28,Inf
"cp562","lrg","summer","RP",4,7
"cp563","lrg","summer","RP",14,21
"cp564","lrg","summer","RP",28,Inf
"cp565","lrg","summer","RP",28,Inf
"cp566","lrg","summer","RP",28,Inf
"cp567","lrg","summer","RP",28,Inf
"cp568","lrg","summer","RP",28,Inf
"cp569","lrg","summer","RP",14,21
"cp570","lrg","summer","RP",21,28
"cp571","lrg","summer","RP",28,Inf
"cp572","lrg","summer","RP",28,Inf
"cp573","lrg","summer","RP",0,1
"cp574","lrg","summer","RP",28,Inf
"cp575","lrg","summer","RP",10,14
"cp576","lrg","summer","RP",14,21
"cp577","lrg","summer","RP",28,Inf
"cp578","lrg","summer","RP",14,21
"cp579","lrg","summer","RP",28,Inf
"cp580","lrg","summer","RP",14,21
"cp581","lrg","fall","RP",1,2
"cp582","lrg","fall","RP",28,Inf
"cp583","lrg","fall","RP",2,3
"cp584","lrg","fall","RP",28,Inf
"cp585","lrg","fall","RP",4,7
"cp586","lrg","fall","RP",28,Inf
"cp587","lrg","fall","RP",7,10
"cp588","lrg","fall","RP",28,Inf
"cp589","lrg","fall","RP",28,Inf
"cp590","lrg","fall","RP",28,Inf
"cp591","lrg","fall","RP",28,Inf
"cp592","lrg","fall","RP",28,Inf
"cp593","lrg","fall","RP",21,28
"cp594","lrg","fall","RP",28,Inf
"cp595","lrg","fall","RP",28,Inf
"cp596","lrg","fall","RP",10,14
"cp597","lrg","fall","RP",28,Inf
"cp598","lrg","fall","RP",4,7
"cp599","lrg","fall","RP",28,Inf
"cp600","lrg","fall","RP",7,10
"cp601","lrg","spring","M",28,Inf
"cp602","lrg","spring","M",28,Inf
"cp603","lrg","spring","M",28,Inf
"cp604","lrg","spring","M",4,7
"cp605","lrg","spring","M",14,21
"cp606","lrg","spring","M",28,Inf
"cp607","lrg","spring","M",28,Inf
"cp608","lrg","spring","M",4,7
"cp609","lrg","spring","M",28,Inf
"cp610","lrg","spring","M",2,3
"cp611","lrg","spring","M",14,21
"cp612","lrg","spring","M",28,Inf
"cp613","lrg","spring","M",28,Inf
"cp614","lrg","spring","M",28,Inf
"cp615","lrg","spring","M",1,2
"cp616","lrg","spring","M",0,1
"cp617","lrg","spring","M",28,Inf
"cp618","lrg","spring","M",28,Inf
"cp619","lrg","spring","M",28,Inf
"cp620","lrg","spring","M",14,21
"cp621","lrg","summer","M",28,Inf
"cp622","lrg","summer","M",14,21
"cp623","lrg","summer","M",28,Inf
"cp624","lrg","summer","M",10,14
"cp625","lrg","summer","M",28,Inf
"cp626","lrg","summer","M",21,28
"cp627","lrg","summer","M",28,Inf
"cp628","lrg","summer","M",28,Inf
"cp629","lrg","summer","M",7,10
"cp630","lrg","summer","M",28,Inf
"cp631","lrg","summer","M",14,21
"cp632","lrg","summer","M",28,Inf
"cp633","lrg","summer","M",3,4
"cp634","lrg","summer","M",14,21
"cp635","lrg","summer","M",10,14
"cp636","lrg","summer","M",7,10
"cp637","lrg","summer","M",28,Inf
"cp638","lrg","summer","M",4,7
"cp639","lrg","summer","M",28,Inf
"cp640","lrg","summer","M",21,28
"cp641","lrg","fall","M",21,28
"cp642","lrg","fall","M",1,2
"cp643","lrg","fall","M",28,Inf
"cp644","lrg","fall","M",28,Inf
"cp645","lrg","fall","M",7,10
"cp646","lrg","fall","M",28,Inf
"cp647","lrg","fall","M",28,Inf
"cp648","lrg","fall","M",28,Inf
"cp649","lrg","fall","M",21,28
"cp650","lrg","fall","M",7,10
"cp651","lrg","fall","M",28,Inf
"cp652","lrg","fall","M",0,1
"cp653","lrg","fall","M",28,Inf
"cp654","lrg","fall","M",1,2
"cp655","lrg","fall","M",10,14
"cp656","lrg","fall","M",28,Inf
"cp657","lrg","fall","M",28,Inf
"cp658","lrg","fall","M",10,14
"cp659","lrg","fall","M",28,Inf
"cp660","lrg","fall","M",7,10
"cp661","lrg","spring","D",28,Inf
"cp662","lrg","spring","D",28,Inf
"cp663","lrg","spring","D",28,Inf
"cp664","lrg","spring","D",3,4
"cp665","lrg","spring","D",28,Inf
"cp666","lrg","spring","D",21,28
"cp667","lrg","spring","D",21,28
"cp668","lrg","spring","D",28,Inf
"cp669","lrg","spring","D",4,7
"cp670","lrg","spring","D",28,Inf
"cp671","lrg","spring","D",28,Inf
"cp672","lrg","spring","D",28,Inf
"cp673","lrg","spring","D",28,Inf
"cp674","lrg","spring","D",28,Inf
"cp675","lrg","spring","D",28,Inf
"cp676","lrg","spring","D",7,10
"cp677","lrg","spring","D",21,28
"cp678","lrg","spring","D",1,2
"cp679","lrg","spring","D",28,Inf
"cp680","lrg","spring","D",4,7
"cp681","lrg","summer","D",28,Inf
"cp682","lrg","summer","D",21,28
"cp683","lrg","summer","D",10,14
"cp684","lrg","summer","D",28,Inf
"cp685","lrg","summer","D",7,10
"cp686","lrg","summer","D",28,Inf
"cp687","lrg","summer","D",28,Inf
"cp688","lrg","summer","D",28,Inf
"cp689","lrg","summer","D",28,Inf
"cp690","lrg","summer","D",4,7
"cp691","lrg","summer","D",21,28
"cp692","lrg","summer","D",21,28
"cp693","lrg","summer","D",14,21
"cp694","lrg","summer","D",28,Inf
"cp695","lrg","summer","D",7,10
"cp696","lrg","summer","D",28,Inf
"cp697","lrg","summer","D",28,Inf
"cp698","lrg","summer","D",28,Inf
"cp699","lrg","summer","D",28,Inf
"cp700","lrg","summer","D",28,Inf
"cp701","lrg","fall","D",28,Inf
"cp702","lrg","fall","D",21,28
"cp703","lrg","fall","D",21,28
"cp704","lrg","fall","D",28,Inf
"cp705","lrg","fall","D",21,28
"cp706","lrg","fall","D",14,21
"cp707","lrg","fall","D",28,Inf
"cp708","lrg","fall","D",28,Inf
"cp709","lrg","fall","D",28,Inf
"cp710","lrg","fall","D",28,Inf
"cp711","lrg","fall","D",21,28
"cp712","lrg","fall","D",28,Inf
"cp713","lrg","fall","D",7,10
"cp714","lrg","fall","D",28,Inf
"cp715","lrg","fall","D",28,Inf
"cp716","lrg","fall","D",28,Inf
"cp717","lrg","fall","D",28,Inf
"cp718","lrg","fall","D",28,Inf
"cp719","lrg","fall","D",28,Inf
"cp720","lrg","fall","D",4,7
