ID,Visibility,Season,GroundCover,Size,LastPresentDecimalDays,FirstAbsentDecimalDays
90,H,WS,A,S,3,7
91,H,WS,B,S,3,7
103,H,SF,B,S,3,7
104,H,SF,B,S,3,7
126,L,WS,A,L,3,7
127,L,WS,B,L,3,7
128,L,WS,B,L,3,7
142,L,SF,B,L,3,7
143,L,SF,A,L,3,7
168,M,WS,A,L,3,7
169,M,WS,A,L,3,7
170,M,WS,B,L,3,7
183,M,SF,B,L,3,7
184,M,SF,A,L,3,7
209,H,WS,A,L,3,7
210,H,WS,A,L,3,7
211,H,WS,B,L,3,7
223,H,SF,B,L,3,7
224,H,SF,B,L,3,7
8,L,WS,B,M,3,7
9,L,WS,B,M,3,7
22,L,SF,B,M,3,7
23,L,SF,A,M,3,7
48,M,WS,A,M,3,7
49,M,WS,A,M,3,7
50,M,WS,B,M,3,7
51,M,WS,B,M,3,7
52,M,WS,A,M,3,7
63,M,SF,B,M,3,7
64,M,SF,A,M,3,7
65,M,SF,A,M,3,7
89,H,WS,A,M,3,7
90,H,WS,A,M,3,7
91,H,WS,B,M,3,7
103,H,SF,B,M,3,7
104,H,SF,B,M,3,7
126,L,WS,A,XL,3,7
127,L,WS,B,XL,3,7
128,L,WS,B,XL,3,7
142,L,SF,B,XL,3,7
143,L,SF,A,XL,3,7
168,M,WS,A,XL,3,7
169,M,WS,A,XL,3,7
170,M,WS,B,XL,3,7
183,M,SF,B,XL,3,7
184,M,SF,A,XL,3,7
209,H,WS,A,XL,3,7
210,H,WS,A,XL,3,7
211,H,WS,B,XL,3,7
223,H,SF,B,XL,3,7
224,H,SF,B,XL,3,7
10,L,WS,B,S,7,10
11,L,WS,A,S,7,10
24,L,SF,A,S,7,10
25,L,SF,A,S,7,10
26,L,SF,B,S,7,10
53,M,WS,A,S,7,10
66,M,SF,A,S,7,10
92,H,WS,B,S,7,10
93,H,WS,B,S,7,10
105,H,SF,B,S,7,10
106,H,SF,B,S,7,10
129,L,WS,B,L,7,10
130,L,WS,B,L,7,10
144,L,SF,A,L,7,10
145,L,SF,A,L,7,10
146,L,SF,B,L,7,10
171,M,WS,B,L,7,10
172,M,WS,A,L,7,10
173,M,WS,A,L,7,10
185,M,SF,A,L,7,10
186,M,SF,A,L,7,10
187,M,SF,B,L,7,10
212,H,WS,B,L,7,10
225,H,SF,B,L,7,10
226,H,SF,B,L,7,10
10,L,WS,B,M,7,10
11,L,WS,A,M,7,10
24,L,SF,A,M,7,10
25,L,SF,A,M,7,10
26,L,SF,B,M,7,10
53,M,WS,A,M,7,10
66,M,SF,A,M,7,10
92,H,WS,B,M,7,10
93,H,WS,B,M,7,10
105,H,SF,B,M,7,10
106,H,SF,B,M,7,10
129,L,WS,B,XL,7,10
130,L,WS,B,XL,7,10
144,L,SF,A,XL,7,10
145,L,SF,A,XL,7,10
146,L,SF,B,XL,7,10
171,M,WS,B,XL,7,10
172,M,WS,A,XL,7,10
173,M,WS,A,XL,7,10
185,M,SF,A,XL,7,10
186,M,SF,A,XL,7,10
187,M,SF,B,XL,7,10
212,H,WS,B,XL,7,10
225,H,SF,B,XL,7,10
226,H,SF,B,XL,7,10
12,L,WS,A,S,10,14
13,L,WS,A,S,10,14
27,L,SF,B,S,10,14
28,L,SF,A,S,10,14
29,L,SF,A,S,10,14
54,M,WS,A,S,10,14
55,M,WS,B,S,10,14
67,M,SF,B,S,10,14
68,M,SF,B,S,10,14
69,M,SF,B,S,10,14
70,M,SF,B,S,10,14
94,H,WS,B,S,10,14
95,H,WS,A,S,10,14
107,H,SF,A,S,10,14
108,H,SF,A,S,10,14
109,H,SF,A,S,10,14
110,H,SF,B,S,10,14
111,H,SF,B,S,10,14
131,L,WS,A,L,10,14
132,L,WS,A,L,10,14
147,L,SF,B,L,10,14
148,L,SF,A,L,10,14
149,L,SF,A,L,10,14
188,M,SF,B,L,10,14
189,M,SF,B,L,10,14
213,H,WS,B,L,10,14
214,H,WS,B,L,10,14
215,H,WS,A,L,10,14
227,H,SF,A,L,10,14
228,H,SF,A,L,10,14
12,L,WS,A,M,10,14
13,L,WS,A,M,10,14
27,L,SF,B,M,10,14
28,L,SF,A,M,10,14
29,L,SF,A,M,10,14
54,M,WS,A,M,10,14
55,M,WS,B,M,10,14
67,M,SF,B,M,10,14
68,M,SF,B,M,10,14
69,M,SF,B,M,10,14
70,M,SF,B,M,10,14
94,H,WS,B,M,10,14
95,H,WS,A,M,10,14
107,H,SF,A,M,10,14
108,H,SF,A,M,10,14
109,H,SF,A,M,10,14
110,H,SF,B,M,10,14
111,H,SF,B,M,10,14
131,L,WS,A,XL,10,14
132,L,WS,A,XL,10,14
147,L,SF,B,XL,10,14
148,L,SF,A,XL,10,14
149,L,SF,A,XL,10,14
188,M,SF,B,XL,10,14
189,M,SF,B,XL,10,14
213,H,WS,B,XL,10,14
214,H,WS,B,XL,10,14
215,H,WS,A,XL,10,14
227,H,SF,A,XL,10,14
228,H,SF,A,XL,10,14
14,L,WS,B,S,14,21
15,L,WS,B,S,14,21
16,L,WS,A,S,14,21
30,L,SF,A,S,14,21
31,L,SF,B,S,14,21
32,L,SF,B,S,14,21
33,L,SF,B,S,14,21
34,L,SF,B,S,14,21
56,M,WS,B,S,14,21
57,M,WS,B,S,14,21
71,M,SF,A,S,14,21
72,M,SF,A,S,14,21
73,M,SF,A,S,14,21
74,M,SF,B,S,14,21
75,M,SF,B,S,14,21
96,H,WS,A,S,14,21
97,H,WS,A,S,14,21
112,H,SF,A,S,14,21
113,H,SF,A,S,14,21
114,H,SF,A,S,14,21
115,H,SF,B,S,14,21
133,L,WS,A,L,14,21
134,L,WS,B,L,14,21
150,L,SF,A,L,14,21
151,L,SF,B,L,14,21
152,L,SF,B,L,14,21
174,M,WS,A,L,14,21
175,M,WS,B,L,14,21
176,M,WS,B,L,14,21
177,M,WS,B,L,14,21
190,M,SF,B,L,14,21
191,M,SF,A,L,14,21
192,M,SF,A,L,14,21
193,M,SF,A,L,14,21
216,H,WS,A,L,14,21
217,H,WS,A,L,14,21
229,H,SF,A,L,14,21
230,H,SF,B,L,14,21
231,H,SF,B,L,14,21
232,H,SF,A,L,14,21
233,H,SF,A,L,14,21
14,L,WS,B,M,14,21
15,L,WS,B,M,14,21
16,L,WS,A,M,14,21
30,L,SF,A,M,14,21
31,L,SF,B,M,14,21
32,L,SF,B,M,14,21
33,L,SF,B,M,14,21
34,L,SF,B,M,14,21
56,M,WS,B,M,14,21
57,M,WS,B,M,14,21
71,M,SF,A,M,14,21
72,M,SF,A,M,14,21
73,M,SF,A,M,14,21
74,M,SF,B,M,14,21
75,M,SF,B,M,14,21
96,H,WS,A,M,14,21
97,H,WS,A,M,14,21
112,H,SF,A,M,14,21
113,H,SF,A,M,14,21
114,H,SF,A,M,14,21
115,H,SF,B,M,14,21
133,L,WS,A,XL,14,21
134,L,WS,B,XL,14,21
150,L,SF,A,XL,14,21
151,L,SF,B,XL,14,21
152,L,SF,B,XL,14,21
174,M,WS,A,XL,14,21
175,M,WS,B,XL,14,21
176,M,WS,B,XL,14,21
177,M,WS,B,XL,14,21
190,M,SF,B,XL,14,21
191,M,SF,A,XL,14,21
192,M,SF,A,XL,14,21
193,M,SF,A,XL,14,21
216,H,WS,A,XL,14,21
217,H,WS,A,XL,14,21
229,H,SF,A,XL,14,21
230,H,SF,B,XL,14,21
231,H,SF,B,XL,14,21
232,H,SF,A,XL,14,21
233,H,SF,A,XL,14,21
17,L,WS,A,S,21,28
18,L,WS,A,S,21,28
19,L,WS,B,S,21,28
35,L,SF,A,S,21,28
36,L,SF,A,S,21,28
37,L,SF,A,S,21,28
38,L,SF,B,S,21,28
58,M,WS,B,S,21,28
76,M,SF,A,S,21,28
77,M,SF,A,S,21,28
98,H,WS,B,S,21,28
99,H,WS,B,S,21,28
116,H,SF,B,S,21,28
117,H,SF,B,S,21,28
118,H,SF,B,S,21,28
135,L,WS,B,L,21,28
136,L,WS,A,L,21,28
137,L,WS,A,L,21,28
153,L,SF,B,L,21,28
154,L,SF,B,L,21,28
155,L,SF,A,L,21,28
156,L,SF,A,L,21,28
157,L,SF,A,L,21,28
158,L,SF,B,L,21,28
178,M,WS,B,L,21,28
194,M,SF,B,L,21,28
195,M,SF,B,L,21,28
196,M,SF,A,L,21,28
197,M,SF,A,L,21,28
218,H,WS,B,L,21,28
234,H,SF,A,L,21,28
235,H,SF,B,L,21,28
236,H,SF,B,L,21,28
17,L,WS,A,M,21,28
18,L,WS,A,M,21,28
19,L,WS,B,M,21,28
35,L,SF,A,M,21,28
36,L,SF,A,M,21,28
37,L,SF,A,M,21,28
38,L,SF,B,M,21,28
58,M,WS,B,M,21,28
76,M,SF,A,M,21,28
77,M,SF,A,M,21,28
98,H,WS,B,M,21,28
99,H,WS,B,M,21,28
116,H,SF,B,M,21,28
117,H,SF,B,M,21,28
118,H,SF,B,M,21,28
135,L,WS,B,XL,21,28
136,L,WS,A,XL,21,28
137,L,WS,A,XL,21,28
153,L,SF,B,XL,21,28
154,L,SF,B,XL,21,28
155,L,SF,A,XL,21,28
156,L,SF,A,XL,21,28
157,L,SF,A,XL,21,28
158,L,SF,B,XL,21,28
178,M,WS,B,XL,21,28
194,M,SF,B,XL,21,28
195,M,SF,B,XL,21,28
196,M,SF,A,XL,21,28
197,M,SF,A,XL,21,28
218,H,WS,B,XL,21,28
234,H,SF,A,XL,21,28
235,H,SF,B,XL,21,28
236,H,SF,B,XL,21,28
20,L,WS,B,S,28,NA
39,L,SF,B,S,28,NA
40,L,SF,A,S,28,NA
59,M,WS,A,S,28,NA
60,M,WS,A,S,28,NA
78,M,SF,A,S,28,NA
79,M,SF,B,S,28,NA
80,M,SF,B,S,28,NA
100,H,WS,A,S,28,NA
119,H,SF,A,S,28,NA
120,H,SF,A,S,28,NA
138,L,WS,A,L,28,NA
139,L,WS,B,L,28,NA
140,L,WS,B,L,28,NA
159,L,SF,B,L,28,NA
160,L,SF,A,L,28,NA
179,M,WS,A,L,28,NA
180,M,WS,A,L,28,NA
198,M,SF,A,L,28,NA
199,M,SF,B,L,28,NA
200,M,SF,B,L,28,NA
219,H,WS,B,L,28,NA
220,H,WS,A,L,28,NA
237,H,SF,B,L,28,NA
238,H,SF,B,L,28,NA
239,H,SF,A,L,28,NA
240,H,SF,A,L,28,NA
20,L,WS,B,M,28,NA
39,L,SF,B,M,28,NA
40,L,SF,A,M,28,NA
59,M,WS,A,M,28,NA
60,M,WS,A,M,28,NA
78,M,SF,A,M,28,NA
79,M,SF,B,M,28,NA
80,M,SF,B,M,28,NA
100,H,WS,A,M,28,NA
119,H,SF,A,M,28,NA
120,H,SF,A,M,28,NA
138,L,WS,A,XL,28,NA
139,L,WS,B,XL,28,NA
140,L,WS,B,XL,28,NA
159,L,SF,B,XL,28,NA
160,L,SF,A,XL,28,NA
179,M,WS,A,XL,28,NA
180,M,WS,A,XL,28,NA
198,M,SF,A,XL,28,NA
199,M,SF,B,XL,28,NA
200,M,SF,B,XL,28,NA
219,H,WS,B,XL,28,NA
220,H,WS,A,XL,28,NA
237,H,SF,B,XL,28,NA
238,H,SF,B,XL,28,NA
239,H,SF,A,XL,28,NA
240,H,SF,A,XL,28,NA
