"Unit","small","med","lrg"
"Unit113",0.365,0.777,1
"Unit114",0.365,0.777,1
"Unit115",0.365,0.777,1
"Unit116",0.365,0.777,1
"Unit117",0.365,0.777,1
"Unit118",0.365,0.777,1
"Unit119",0.365,0.777,1
"Unit120",0.365,0.777,1
"Unit121",0.365,0.777,1
"Unit122",0.365,0.777,1
"Unit123",0.365,0.777,1
"Unit124",0.365,0.777,1
"Unit125",0.365,0.777,1
"Unit126",0.365,0.777,1
"Unit127",0.365,0.777,1
"Unit128",0.365,0.777,1
"Unit129",0.365,0.777,1
"Unit130",0.365,0.777,1
"Unit131",0.365,0.777,1
"Unit132",0.365,0.777,1
"Unit133",0.365,0.777,1
"Unit134",0.365,0.777,1
"Unit135",0.365,0.777,1
"Unit136",0.365,0.777,1
"Unit137",0.365,0.777,1
"Unit138",0.365,0.777,1
"Unit139",0.365,0.777,1
"Unit140",0.365,0.777,1
"Unit141",0.365,0.777,1
"Unit142",0.365,0.777,1
"Unit143",0.365,0.777,1
"Unit144",0.365,0.777,1
"Unit145",0.365,0.777,1
"Unit146",0.365,0.777,1
"Unit147",0.365,0.777,1
"Unit148",0.365,0.777,1
"Unit149",0.365,0.777,1
"Unit150",0.365,0.777,1
"Unit151",0.365,0.777,1
"Unit152",0.365,0.777,1
"Unit153",0.365,0.777,1
"Unit154",0.365,0.777,1
"Unit155",0.365,0.777,1
"Unit156",0.365,0.777,1
"Unit157",0.365,0.777,1
"Unit158",0.365,0.777,1
"Unit159",0.365,0.777,1
"Unit160",0.365,0.777,1
"Unit161",0.365,0.777,1
"Unit162",0.365,0.777,1
"Unit163",0.365,0.777,1
"Unit164",0.365,0.777,1
"Unit165",0.365,0.777,1
"Unit166",0.365,0.777,1
"Unit167",0.365,0.777,1
"Unit168",0.365,0.777,1
"Unit169",0.365,0.777,1
"Unit170",0.365,0.777,1
"Unit171",0.365,0.777,1
"Unit172",0.365,0.777,1
"Unit173",0.365,0.777,1
"Unit174",0.365,0.777,1
"Unit175",0.365,0.777,1
"Unit176",0.365,0.777,1
"Unit177",0.365,0.777,1
"Unit178",0.365,0.777,1
"Unit179",0.365,0.777,1
"Unit180",0.365,0.777,1
"Unit181",0.365,0.777,1
"Unit182",0.365,0.777,1
"Unit183",0.365,0.777,1
"Unit184",0.365,0.777,1
"Unit185",0.365,0.777,1
"Unit186",0.365,0.777,1
"Unit187",0.365,0.777,1
"Unit188",0.365,0.777,1
"Unit189",0.365,0.777,1
"Unit190",0.365,0.777,1
"Unit191",0.365,0.777,1
"Unit192",0.365,0.777,1
"Unit193",0.365,0.777,1
"Unit194",0.365,0.777,1
"Unit195",0.365,0.777,1
"Unit196",0.365,0.777,1
"Unit197",0.365,0.777,1
"Unit198",0.365,0.777,1
"Unit199",0.365,0.777,1
"Unit200",0.365,0.777,1
"Unit201",0.365,0.777,1
"Unit202",0.365,0.777,1
"Unit203",0.365,0.777,1
"Unit204",0.365,0.777,1
"Unit205",0.365,0.777,1
"Unit206",0.365,0.777,1
"Unit207",0.365,0.777,1
"Unit208",0.365,0.777,1
"Unit209",0.365,0.777,1
"Unit210",0.365,0.777,1
"Unit211",0.365,0.777,1
"Unit212",0.365,0.777,1
"Unit213",0.365,0.777,1
"Unit214",0.365,0.777,1
"Unit215",0.365,0.777,1
"Unit216",0.365,0.777,1
"Unit217",0.365,0.777,1
"Unit218",0.365,0.777,1
"Unit219",0.365,0.777,1
"Unit220",0.365,0.777,1
"Unit221",0.365,0.777,1
"Unit222",0.365,0.777,1
"Unit223",0.365,0.777,1
"Unit224",0.365,0.777,1
"Unit225",0.365,0.777,1
"Unit226",0.365,0.777,1
"Unit227",0.365,0.777,1
"Unit228",0.365,0.777,1
"Unit229",0.365,0.777,1
"Unit230",0.365,0.777,1
"Unit231",0.365,0.777,1
"Unit232",0.365,0.777,1
"Unit233",0.365,0.777,1
"Unit234",0.365,0.777,1
"Unit235",0.365,0.777,1
"Unit236",0.365,0.777,1
"Unit237",0.365,0.777,1
"Unit238",0.365,0.777,1
"Unit239",0.365,0.777,1
"Unit240",0.365,0.777,1
"Unit241",0.365,0.777,1
"Unit242",0.365,0.777,1
"Unit243",0.365,0.777,1
"Unit244",0.365,0.777,1
"Unit245",0.365,0.777,1
"Unit246",0.365,0.777,1
"Unit247",0.365,0.777,1
"Unit248",0.365,0.777,1
"Unit249",0.365,0.777,1
"Unit250",0.365,0.777,1
"Unit251",0.365,0.777,1
"Unit252",0.365,0.777,1
"Unit253",0.365,0.777,1
"Unit254",0.365,0.777,1
"Unit255",0.365,0.777,1
"Unit256",0.365,0.777,1
"Unit257",0.365,0.777,1
"Unit258",0.365,0.777,1
"Unit259",0.365,0.777,1
"Unit260",0.365,0.777,1
"Unit261",0.365,0.777,1
"Unit262",0.365,0.777,1
"Unit263",0.365,0.777,1
"Unit264",0.365,0.777,1
"Unit265",0.365,0.777,1
"Unit266",0.365,0.777,1
"Unit267",0.365,0.777,1
"Unit268",0.365,0.777,1
"Unit269",0.365,0.777,1
"Unit270",0.365,0.777,1
"Unit271",0.365,0.777,1
"Unit272",0.365,0.777,1
"Unit273",0.365,0.777,1
"Unit274",0.365,0.777,1
"Unit275",0.365,0.777,1
"Unit276",0.365,0.777,1
"Unit277",0.365,0.777,1
"Unit278",0.365,0.777,1
"Unit279",0.365,0.777,1
"Unit280",0.365,0.777,1
"Unit281",0.365,0.777,1
"Unit282",0.365,0.777,1
"Unit283",0.365,0.777,1
"Unit284",0.365,0.777,1
"Unit285",0.365,0.777,1
"Unit286",0.365,0.777,1
"Unit287",0.365,0.777,1
"Unit288",0.365,0.777,1
"Unit289",0.365,0.777,1
"Unit290",0.365,0.777,1
"Unit291",0.365,0.777,1
"Unit292",0.365,0.777,1
"Unit293",0.365,0.777,1
"Unit294",0.365,0.777,1
"Unit295",0.365,0.777,1
"Unit296",0.365,0.777,1
"Unit297",0.365,0.777,1
"Unit298",0.365,0.777,1
"Unit299",0.365,0.777,1
"Unit300",0.365,0.777,1
