"Index","Unit","Species","Size","Row","Distance","DateFound","X","Y"
190,"Unit1","LB","lrg",25,72,2018-06-07,524541,3856467
191,"Unit260","LB","lrg",23,23,2018-04-02,527493,3858354
192,"Unit41","LB","lrg",8,132,2018-04-12,524601,3856716
193,"Unit227","LB","lrg",24,138,2018-06-17,525555,3858200
194,"Unit243","LA","lrg",36,5,2018-06-04,524790,3858405
195,"Unit272","LC","lrg",15,80,2018-06-11,526286,3858480
196,"Unit48","LE","lrg",37,81,2018-04-12,525656,3856830
197,"Unit42","LC","lrg",1,16,2018-06-21,524643,3856688
198,"Unit88","LC","lrg",37,123,2018-05-11,525698,3857146
199,"Unit179","LC","lrg",6,98,2018-04-14,527410,3857655
200,"Unit210","LA","lrg",34,101,2018-05-13,525992,3858081
201,"Unit293","LD","lrg",18,58,2018-04-16,526422,3858650
202,"Unit192","LA","lrg",29,80,2018-09-23,526287,3857904
203,"Unit4","LD","lrg",29,90,2018-09-06,525033,3856483
204,"Unit259","LA","lrg",13,118,2018-07-23,527430,3858314
205,"Unit277","LD","lrg",16,11,2018-08-13,527007,3858484
206,"Unit249","LE","lrg",6,145,2018-08-20,525878,3858287
207,"Unit98","LE","lrg",1,133,2018-08-24,527286,3857004
208,"Unit163","LA","lrg",11,123,2018-08-11,524908,3857675
209,"Unit26","LB","lrg",20,70,2018-09-06,525329,3856605
210,"Unit188","LD","lrg",2,111,2018-09-23,525685,3857797
211,"Unit245","LC","lrg",36,0,2018-08-13,525101,3858405
212,"Unit68","LB","lrg",1,98,2018-08-10,525672,3856846
213,"Unit146","LC","lrg",33,105,2018-09-01,525364,3857604
214,"Unit281","LD","lrg",4,71,2018-09-24,524541,3858594
215,"Unit180","LC","lrg",3,82,2018-08-04,527551,3857643
216,"Unit73","LD","lrg",31,113,2018-09-07,526478,3856964
217,"Unit66","LC","lrg",14,60,2018-07-27,525319,3856897
218,"Unit214","LC","lrg",34,35,2018-08-19,526557,3858081
219,"Unit148","LE","lrg",14,89,2018-08-11,525664,3857529
220,"Unit202","LB","lrg",21,25,2018-07-15,524653,3858030
221,"Unit89","LD","lrg",28,84,2018-09-07,525817,3857110
222,"Unit1","LB","lrg",28,30,2018-09-13,524499,3856479
223,"Unit69","LA","lrg",4,103,2018-07-13,525836,3856858
224,"Unit272","LC","lrg",32,32,2018-07-16,526238,3858547
225,"Unit25","LB","lrg",10,43,2018-08-23,525144,3856566
226,"Unit124","LB","lrg",30,81,2018-10-27,525024,3857434
227,"Unit261","LA","lrg",3,75,2018-11-12,524544,3858433
228,"Unit21","LC","lrg",28,124,2018-10-25,524593,3856637
229,"Unit59","LB","lrg",9,106,2018-12-06,527417,3856719
230,"Unit89","LA","lrg",38,20,2018-10-05,525753,3857150
231,"Unit143","LB","lrg",37,141,2018-11-03,524926,3857619
232,"Unit208","LA","lrg",9,21,2018-11-25,525595,3857983
233,"Unit216","LE","lrg",36,9,2018-11-04,526847,3858089
234,"Unit175","LC","lrg",24,35,2018-12-15,526715,3857726
235,"Unit130","LA","lrg",24,140,2018-11-10,526030,3857410
