"ID";"Visibility";"HabitatType";"Season";"Size";"Search1";"Search2";"Search3";"Search4"
74;"H";"HT1";"SF";"L";1;NA;NA;NA
75;"H";"HT1";"WS";"L";1;NA;NA;NA
76;"H";"HT1";"WS";"L";0;0;0;0
77;"H";"HT1";"WS";"L";1;NA;NA;NA
78;"H";"HT1";"SF";"L";1;NA;NA;NA
79;"H";"HT1";"WS";"L";1;NA;NA;NA
80;"H";"HT1";"WS";"L";1;NA;NA;NA
81;"L";"HT2";"SF";"S";0;0;0;0
82;"L";"HT2";"SF";"S";0;0;1;NA
83;"L";"HT2";"WS";"S";1;NA;NA;NA
84;"L";"HT2";"SF";"S";0;0;0;0
85;"L";"HT2";"SF";"S";1;NA;NA;NA
86;"L";"HT2";"SF";"S";1;NA;NA;NA
87;"L";"HT2";"WS";"S";1;NA;NA;NA
88;"L";"HT2";"WS";"S";1;NA;NA;NA
89;"L";"HT2";"WS";"S";1;NA;NA;NA
90;"L";"HT2";"SF";"S";1;NA;NA;NA
91;"L";"HT2";"WS";"S";0;0;0;0
92;"L";"HT2";"WS";"S";0;1;NA;NA
93;"L";"HT2";"SF";"S";0;0;0;1
94;"L";"HT2";"SF";"S";0;0;1;NA
95;"L";"HT2";"WS";"S";0;0;0;1
96;"L";"HT2";"SF";"S";1;NA;NA;NA
97;"L";"HT2";"SF";"S";1;NA;NA;NA
98;"L";"HT2";"SF";"S";0;0;0;0
99;"L";"HT2";"WS";"S";1;NA;NA;NA
100;"L";"HT2";"WS";"S";1;NA;NA;NA
101;"L";"HT2";"WS";"L";1;NA;NA;NA
102;"L";"HT2";"SF";"L";1;NA;NA;NA
103;"L";"HT2";"WS";"L";1;NA;NA;NA
104;"L";"HT2";"WS";"L";1;NA;NA;NA
105;"L";"HT2";"SF";"L";1;NA;NA;NA
106;"L";"HT2";"SF";"L";1;NA;NA;NA
107;"L";"HT2";"WS";"L";0;0;0;0
108;"L";"HT2";"SF";"L";0;0;0;0
109;"L";"HT2";"SF";"L";1;NA;NA;NA
110;"L";"HT2";"SF";"L";1;NA;NA;NA
111;"L";"HT2";"WS";"L";0;1;NA;NA
112;"L";"HT2";"WS";"L";0;0;0;0
113;"L";"HT2";"WS";"L";1;NA;NA;NA
114;"L";"HT2";"SF";"L";0;0;1;NA
115;"L";"HT2";"WS";"L";1;NA;NA;NA
116;"L";"HT2";"WS";"L";1;NA;NA;NA
117;"L";"HT2";"SF";"L";1;NA;NA;NA
118;"L";"HT2";"SF";"L";1;NA;NA;NA
119;"L";"HT2";"WS";"L";1;NA;NA;NA
120;"L";"HT2";"SF";"L";0;0;0;0
121;"H";"HT2";"SF";"S";1;NA;NA;NA
122;"H";"HT2";"SF";"S";1;NA;NA;NA
123;"H";"HT2";"WS";"S";0;0;0;0
124;"H";"HT2";"WS";"S";1;NA;NA;NA
125;"H";"HT2";"WS";"S";1;NA;NA;NA
126;"H";"HT2";"SF";"S";1;NA;NA;NA
127;"H";"HT2";"WS";"S";1;NA;NA;NA
128;"H";"HT2";"WS";"S";0;0;0;0
129;"H";"HT2";"SF";"S";1;NA;NA;NA
130;"H";"HT2";"SF";"S";1;NA;NA;NA
131;"H";"HT2";"WS";"S";0;0;0;1
132;"H";"HT2";"SF";"S";1;NA;NA;NA
133;"H";"HT2";"SF";"S";0;1;NA;NA
134;"H";"HT2";"SF";"S";1;NA;NA;NA
135;"H";"HT2";"WS";"S";0;1;NA;NA
136;"H";"HT2";"WS";"S";0;0;0;0
137;"H";"HT2";"WS";"S";1;NA;NA;NA
138;"H";"HT2";"SF";"S";1;NA;NA;NA
139;"H";"HT2";"WS";"S";1;NA;NA;NA
140;"H";"HT2";"WS";"S";1;NA;NA;NA
141;"H";"HT2";"SF";"L";1;NA;NA;NA
142;"H";"HT2";"SF";"L";1;NA;NA;NA
143;"H";"HT2";"WS";"L";1;NA;NA;NA
144;"H";"HT2";"SF";"L";0;0;0;1
145;"H";"HT2";"SF";"L";0;1;NA;NA
146;"H";"HT2";"SF";"L";0;1;NA;NA
147;"H";"HT2";"WS";"L";1;NA;NA;NA
148;"H";"HT2";"WS";"L";1;NA;NA;NA
149;"H";"HT2";"WS";"L";1;NA;NA;NA
150;"H";"HT2";"SF";"L";1;NA;NA;NA
151;"H";"HT2";"WS";"L";1;NA;NA;NA
152;"H";"HT2";"WS";"L";1;NA;NA;NA
153;"H";"HT2";"SF";"L";1;NA;NA;NA
154;"H";"HT2";"SF";"L";0;0;0;0
155;"H";"HT2";"WS";"L";1;NA;NA;NA
156;"H";"HT2";"SF";"L";0;0;1;NA
157;"H";"HT2";"SF";"L";1;NA;NA;NA
158;"H";"HT2";"SF";"L";0;0;1;NA
159;"H";"HT2";"WS";"L";1;NA;NA;NA
160;"H";"HT2";"WS";"L";0;0;0;0
161;"M";"HT1";"WS";"S";0;0;0;0
162;"M";"HT1";"SF";"S";1;NA;NA;NA
163;"M";"HT1";"WS";"S";1;NA;NA;NA
164;"M";"HT1";"WS";"S";1;NA;NA;NA
165;"M";"HT1";"SF";"S";1;NA;NA;NA
166;"M";"HT1";"SF";"S";1;NA;NA;NA
167;"M";"HT1";"WS";"S";0;1;NA;NA
168;"M";"HT1";"SF";"S";1;NA;NA;NA
169;"M";"HT1";"SF";"S";1;NA;NA;NA
170;"M";"HT1";"SF";"S";0;0;0;NA
171;"M";"HT1";"WS";"S";1;NA;NA;NA
172;"M";"HT1";"WS";"S";1;NA;NA;NA
173;"M";"HT1";"WS";"S";0;1;NA;NA
174;"M";"HT1";"SF";"S";0;1;NA;NA
175;"M";"HT1";"WS";"S";1;NA;NA;NA
176;"M";"HT1";"WS";"S";1;NA;NA;NA
177;"M";"HT1";"SF";"S";0;1;NA;NA
178;"M";"HT1";"SF";"S";1;NA;NA;NA
179;"M";"HT1";"WS";"S";0;0;0;0
180;"M";"HT1";"SF";"S";1;NA;NA;NA
181;"M";"HT1";"SF";"L";0;1;NA;NA
182;"M";"HT1";"SF";"L";1;NA;NA;NA
183;"M";"HT1";"WS";"L";1;NA;NA;NA
184;"M";"HT1";"WS";"L";1;NA;NA;NA
185;"M";"HT1";"WS";"L";1;NA;NA;NA
186;"M";"HT1";"SF";"L";0;1;NA;NA
187;"M";"HT1";"WS";"L";0;1;NA;NA
188;"M";"HT1";"WS";"L";1;NA;NA;NA
189;"M";"HT1";"SF";"L";1;NA;NA;NA
190;"M";"HT1";"SF";"L";1;NA;NA;NA
191;"M";"HT1";"WS";"L";0;0;0;0
192;"M";"HT1";"SF";"L";1;NA;NA;NA
193;"M";"HT1";"SF";"L";0;0;0;0
194;"M";"HT1";"SF";"L";1;NA;NA;NA
195;"M";"HT1";"WS";"L";1;NA;NA;NA
196;"M";"HT1";"WS";"L";0;0;1;NA
197;"M";"HT1";"WS";"L";0;1;NA;NA
198;"M";"HT1";"SF";"L";0;0;0;0
199;"M";"HT1";"WS";"L";1;NA;NA;NA
200;"M";"HT1";"WS";"L";1;NA;NA;NA
201;"M";"HT2";"SF";"S";0;1;NA;NA
202;"M";"HT2";"SF";"S";0;0;0;0
203;"M";"HT2";"WS";"S";1;NA;NA;NA
204;"M";"HT2";"SF";"S";0;0;1;NA
205;"M";"HT2";"SF";"S";1;NA;NA;NA
206;"M";"HT2";"SF";"S";1;NA;NA;NA
207;"M";"HT2";"WS";"S";1;NA;NA;NA
208;"M";"HT2";"WS";"S";0;1;NA;NA
209;"M";"HT2";"WS";"S";0;0;0;1
210;"M";"HT2";"SF";"S";1;NA;NA;NA
211;"M";"HT2";"WS";"S";0;0;0;0
212;"M";"HT2";"WS";"S";1;NA;NA;NA
213;"M";"HT2";"SF";"S";1;NA;NA;NA
214;"M";"HT2";"SF";"S";0;1;NA;NA
215;"M";"HT2";"WS";"S";0;1;NA;NA
216;"M";"HT2";"SF";"S";1;NA;NA;NA
217;"M";"HT2";"SF";"S";0;1;NA;NA
218;"M";"HT2";"SF";"S";0;0;0;0
219;"M";"HT2";"WS";"S";0;0;0;1
220;"M";"HT2";"WS";"S";1;NA;NA;NA
221;"M";"HT2";"WS";"L";1;NA;NA;NA
222;"M";"HT2";"SF";"L";1;NA;NA;NA
223;"M";"HT2";"WS";"L";1;NA;NA;NA
224;"M";"HT2";"WS";"L";1;NA;NA;NA
225;"M";"HT2";"SF";"L";1;NA;NA;NA
226;"M";"HT2";"SF";"L";0;0;0;0
227;"M";"HT2";"WS";"L";0;0;0;0
228;"M";"HT2";"SF";"L";0;0;0;0
229;"M";"HT2";"SF";"L";1;NA;NA;NA
230;"M";"HT2";"SF";"L";1;NA;NA;NA
231;"M";"HT2";"WS";"L";0;0;0;0
232;"M";"HT2";"WS";"L";0;0;1;NA
233;"M";"HT2";"WS";"L";0;0;0;0
234;"M";"HT2";"SF";"L";1;NA;NA;NA
235;"M";"HT2";"WS";"L";1;NA;NA;NA
236;"M";"HT2";"WS";"L";1;NA;NA;NA
237;"M";"HT2";"SF";"L";0;1;NA;NA
238;"M";"HT2";"SF";"L";0;0;0;1
239;"M";"HT2";"WS";"L";1;NA;NA;NA
240;"M";"HT2";"SF";"L";1;NA;NA;NA
241;"L";"HT1";"SF";"M";1;NA;NA;NA
242;"L";"HT1";"SF";"M";0;1;NA;NA
243;"L";"HT1";"WS";"M";0;0;0;0
244;"L";"HT1";"WS";"M";0;1;NA;NA
245;"L";"HT1";"WS";"M";1;NA;NA;NA
246;"L";"HT1";"SF";"M";0;0;0;0
247;"L";"HT1";"WS";"M";1;NA;NA;NA
248;"L";"HT1";"WS";"M";1;NA;NA;NA
249;"L";"HT1";"SF";"M";1;NA;NA;NA
250;"L";"HT1";"SF";"M";1;NA;NA;NA
251;"L";"HT1";"WS";"M";0;1;NA;NA
252;"L";"HT1";"SF";"M";0;1;NA;NA
253;"L";"HT1";"SF";"M";1;NA;NA;NA
254;"L";"HT1";"SF";"M";1;NA;NA;NA
255;"L";"HT1";"WS";"M";1;NA;NA;NA
256;"L";"HT1";"WS";"M";0;0;0;0
257;"L";"HT1";"WS";"M";1;NA;NA;NA
258;"L";"HT1";"SF";"M";1;NA;NA;NA
259;"L";"HT1";"WS";"M";1;NA;NA;NA
260;"L";"HT1";"WS";"M";1;NA;NA;NA
261;"L";"HT1";"SF";"XL";0;0;0;0
262;"L";"HT1";"SF";"XL";0;1;NA;NA
263;"L";"HT1";"WS";"XL";0;0;0;0
264;"L";"HT1";"SF";"XL";0;0;0;1
265;"L";"HT1";"SF";"XL";1;NA;NA;NA
266;"L";"HT1";"SF";"XL";1;NA;NA;NA
267;"L";"HT1";"WS";"XL";1;NA;NA;NA
268;"L";"HT1";"WS";"XL";1;NA;NA;NA
269;"L";"HT1";"WS";"XL";1;NA;NA;NA
270;"L";"HT1";"SF";"XL";1;NA;NA;NA
271;"L";"HT1";"WS";"XL";0;0;1;NA
272;"L";"HT1";"WS";"XL";1;NA;NA;NA
273;"L";"HT1";"SF";"XL";0;0;0;0
274;"L";"HT1";"SF";"XL";1;NA;NA;NA
275;"L";"HT1";"WS";"XL";1;NA;NA;NA
276;"L";"HT1";"SF";"XL";1;NA;NA;NA
277;"L";"HT1";"SF";"XL";1;NA;NA;NA
278;"L";"HT1";"SF";"XL";1;NA;NA;NA
279;"L";"HT1";"WS";"XL";0;0;0;0
280;"L";"HT1";"WS";"XL";1;NA;NA;NA
281;"H";"HT1";"WS";"M";0;0;0;0
282;"H";"HT1";"SF";"M";0;1;NA;NA
283;"H";"HT1";"WS";"M";0;0;0;0
284;"H";"HT1";"WS";"M";0;1;NA;NA
285;"H";"HT1";"SF";"M";0;1;NA;NA
286;"H";"HT1";"SF";"M";1;NA;NA;NA
287;"H";"HT1";"WS";"M";1;NA;NA;NA
288;"H";"HT1";"SF";"M";1;NA;NA;NA
289;"H";"HT1";"SF";"M";0;0;0;0
290;"H";"HT1";"SF";"M";1;NA;NA;NA
291;"H";"HT1";"WS";"M";0;0;0;0
292;"H";"HT1";"WS";"M";0;0;0;0
293;"H";"HT1";"WS";"M";1;NA;NA;NA
294;"H";"HT1";"SF";"M";0;0;0;0
295;"H";"HT1";"WS";"M";1;NA;NA;NA
296;"H";"HT1";"WS";"M";0;0;0;0
297;"H";"HT1";"SF";"M";1;NA;NA;NA
298;"H";"HT1";"SF";"M";1;NA;NA;NA
299;"H";"HT1";"WS";"M";1;NA;NA;NA
300;"H";"HT1";"SF";"M";1;NA;NA;NA
301;"H";"HT1";"SF";"XL";1;NA;NA;NA
302;"H";"HT1";"SF";"XL";0;1;NA;NA
303;"H";"HT1";"WS";"XL";1;NA;NA;NA
304;"H";"HT1";"WS";"XL";0;1;NA;NA
305;"H";"HT1";"WS";"XL";1;NA;NA;NA
306;"H";"HT1";"SF";"XL";1;NA;NA;NA
307;"H";"HT1";"WS";"XL";1;NA;NA;NA
308;"H";"HT1";"WS";"XL";1;NA;NA;NA
309;"H";"HT1";"SF";"XL";1;NA;NA;NA
310;"H";"HT1";"SF";"XL";1;NA;NA;NA
311;"H";"HT1";"WS";"XL";0;0;0;0
312;"H";"HT1";"SF";"XL";0;0;0;0
313;"H";"HT1";"SF";"XL";0;0;0;0
314;"H";"HT1";"SF";"XL";0;0;0;0
315;"H";"HT1";"WS";"XL";1;NA;NA;NA
316;"H";"HT1";"WS";"XL";0;0;0;0
317;"H";"HT1";"WS";"XL";1;NA;NA;NA
318;"H";"HT1";"SF";"XL";1;NA;NA;NA
319;"H";"HT1";"WS";"XL";0;0;0;0
320;"H";"HT1";"WS";"XL";0;0;0;1
321;"L";"HT2";"SF";"M";0;0;0;0
322;"L";"HT2";"SF";"M";1;NA;NA;NA
323;"L";"HT2";"WS";"M";0;1;NA;NA
324;"L";"HT2";"SF";"M";1;NA;NA;NA
325;"L";"HT2";"SF";"M";0;1;NA;NA
326;"L";"HT2";"SF";"M";1;NA;NA;NA
327;"L";"HT2";"WS";"M";1;NA;NA;NA
328;"L";"HT2";"WS";"M";1;NA;NA;NA
329;"L";"HT2";"WS";"M";1;NA;NA;NA
330;"L";"HT2";"SF";"M";0;0;0;0
331;"L";"HT2";"WS";"M";1;NA;NA;NA
332;"L";"HT2";"WS";"M";0;0;1;NA
333;"L";"HT2";"SF";"M";1;NA;NA;NA
334;"L";"HT2";"SF";"M";0;1;NA;NA
335;"L";"HT2";"WS";"M";0;0;0;0
336;"L";"HT2";"SF";"M";0;0;0;0
337;"L";"HT2";"SF";"M";0;0;0;0
338;"L";"HT2";"SF";"M";0;0;1;NA
339;"L";"HT2";"WS";"M";0;0;0;0
340;"L";"HT2";"WS";"M";1;NA;NA;NA
341;"L";"HT2";"WS";"XL";1;NA;NA;NA
342;"L";"HT2";"SF";"XL";0;1;NA;NA
343;"L";"HT2";"WS";"XL";1;NA;NA;NA
344;"L";"HT2";"WS";"XL";0;1;NA;NA
345;"L";"HT2";"SF";"XL";1;NA;NA;NA
346;"L";"HT2";"SF";"XL";1;NA;NA;NA
347;"L";"HT2";"WS";"XL";1;NA;NA;NA
348;"L";"HT2";"SF";"XL";0;0;0;1
349;"L";"HT2";"SF";"XL";1;NA;NA;NA
350;"L";"HT2";"SF";"XL";1;NA;NA;NA
351;"L";"HT2";"WS";"XL";0;0;1;NA
352;"L";"HT2";"WS";"XL";0;0;1;NA
353;"L";"HT2";"WS";"XL";0;0;0;0
354;"L";"HT2";"SF";"XL";1;NA;NA;NA
355;"L";"HT2";"WS";"XL";1;NA;NA;NA
356;"L";"HT2";"WS";"XL";1;NA;NA;NA
357;"L";"HT2";"SF";"XL";0;0;1;NA
358;"L";"HT2";"SF";"XL";1;NA;NA;NA
359;"L";"HT2";"WS";"XL";1;NA;NA;NA
360;"L";"HT2";"SF";"XL";1;NA;NA;NA
361;"H";"HT2";"SF";"M";1;NA;NA;NA
362;"H";"HT2";"SF";"M";1;NA;NA;NA
363;"H";"HT2";"WS";"M";1;NA;NA;NA
364;"H";"HT2";"WS";"M";0;1;NA;NA
365;"H";"HT2";"WS";"M";0;0;0;0
366;"H";"HT2";"SF";"M";0;0;0;0
367;"H";"HT2";"WS";"M";0;1;NA;NA
368;"H";"HT2";"WS";"M";0;0;0;0
369;"H";"HT2";"SF";"M";1;NA;NA;NA
370;"H";"HT2";"SF";"M";1;NA;NA;NA
371;"H";"HT2";"WS";"M";0;1;NA;NA
372;"H";"HT2";"SF";"M";1;NA;NA;NA
373;"H";"HT2";"SF";"M";1;NA;NA;NA
374;"H";"HT2";"SF";"M";1;NA;NA;NA
375;"H";"HT2";"WS";"M";0;1;NA;NA
376;"H";"HT2";"WS";"M";0;0;0;0
377;"H";"HT2";"WS";"M";1;NA;NA;NA
378;"H";"HT2";"SF";"M";0;0;0;0
379;"H";"HT2";"WS";"M";0;0;0;0
380;"H";"HT2";"WS";"M";1;NA;NA;NA
381;"H";"HT2";"SF";"XL";0;0;0;0
382;"H";"HT2";"SF";"XL";0;0;0;1
383;"H";"HT2";"WS";"XL";0;0;0;1
384;"H";"HT2";"SF";"XL";1;NA;NA;NA
385;"H";"HT2";"SF";"XL";0;0;1;NA
386;"H";"HT2";"SF";"XL";0;0;1;NA
387;"H";"HT2";"WS";"XL";1;NA;NA;NA
388;"H";"HT2";"WS";"XL";0;0;0;0
389;"H";"HT2";"WS";"XL";1;NA;NA;NA
390;"H";"HT2";"SF";"XL";0;1;NA;NA
391;"H";"HT2";"WS";"XL";1;NA;NA;NA
392;"H";"HT2";"WS";"XL";0;0;0;0
393;"H";"HT2";"SF";"XL";1;NA;NA;NA
394;"H";"HT2";"SF";"XL";1;NA;NA;NA
395;"H";"HT2";"WS";"XL";0;0;0;0
396;"H";"HT2";"SF";"XL";1;NA;NA;NA
397;"H";"HT2";"SF";"XL";1;NA;NA;NA
398;"H";"HT2";"SF";"XL";1;NA;NA;NA
399;"H";"HT2";"WS";"XL";0;0;1;NA
400;"H";"HT2";"WS";"XL";1;NA;NA;NA
401;"M";"HT1";"WS";"M";0;1;NA;NA
402;"M";"HT1";"SF";"M";0;1;NA;NA
403;"M";"HT1";"WS";"M";1;NA;NA;NA
404;"M";"HT1";"WS";"M";1;NA;NA;NA
405;"M";"HT1";"SF";"M";1;NA;NA;NA
406;"M";"HT1";"SF";"M";1;NA;NA;NA
407;"M";"HT1";"WS";"M";0;1;NA;NA
408;"M";"HT1";"SF";"M";0;0;1;NA
409;"M";"HT1";"SF";"M";1;NA;NA;NA
410;"M";"HT1";"SF";"M";0;0;1;NA
411;"M";"HT1";"WS";"M";0;0;0;0
412;"M";"HT1";"WS";"M";0;1;NA;NA
413;"M";"HT1";"WS";"M";1;NA;NA;NA
414;"M";"HT1";"SF";"M";0;0;0;0
415;"M";"HT1";"WS";"M";1;NA;NA;NA
416;"M";"HT1";"WS";"M";0;1;NA;NA
417;"M";"HT1";"SF";"M";0;1;NA;NA
418;"M";"HT1";"SF";"M";1;NA;NA;NA
419;"M";"HT1";"WS";"M";1;NA;NA;NA
420;"M";"HT1";"SF";"M";1;NA;NA;NA
421;"M";"HT1";"SF";"XL";0;0;0;0
422;"M";"HT1";"SF";"XL";0;1;NA;NA
423;"M";"HT1";"WS";"XL";1;NA;NA;NA
424;"M";"HT1";"WS";"XL";0;0;1;NA
425;"M";"HT1";"WS";"XL";1;NA;NA;NA
426;"M";"HT1";"SF";"XL";0;0;0;0
427;"M";"HT1";"WS";"XL";1;NA;NA;NA
428;"M";"HT1";"WS";"XL";1;NA;NA;NA
429;"M";"HT1";"SF";"XL";0;1;NA;NA
430;"M";"HT1";"SF";"XL";1;NA;NA;NA
431;"M";"HT1";"WS";"XL";0;0;0;1
432;"M";"HT1";"SF";"XL";1;NA;NA;NA
433;"M";"HT1";"SF";"XL";1;NA;NA;NA
434;"M";"HT1";"SF";"XL";0;0;0;0
435;"M";"HT1";"WS";"XL";1;NA;NA;NA
436;"M";"HT1";"WS";"XL";0;0;1;NA
437;"M";"HT1";"WS";"XL";0;0;0;0
438;"M";"HT1";"SF";"XL";1;NA;NA;NA
439;"M";"HT1";"WS";"XL";1;NA;NA;NA
440;"M";"HT1";"WS";"XL";1;NA;NA;NA
441;"M";"HT2";"SF";"M";1;NA;NA;NA
442;"M";"HT2";"SF";"M";1;NA;NA;NA
443;"M";"HT2";"WS";"M";0;0;1;NA
444;"M";"HT2";"SF";"M";0;1;NA;NA
445;"M";"HT2";"SF";"M";0;0;1;NA
446;"M";"HT2";"SF";"M";1;NA;NA;NA
447;"M";"HT2";"WS";"M";0;0;0;0
448;"M";"HT2";"WS";"M";0;1;NA;NA
449;"M";"HT2";"WS";"M";1;NA;NA;NA
450;"M";"HT2";"SF";"M";1;NA;NA;NA
451;"M";"HT2";"WS";"M";1;NA;NA;NA
452;"M";"HT2";"WS";"M";0;0;0;0
453;"M";"HT2";"SF";"M";0;1;NA;NA
454;"M";"HT2";"SF";"M";0;0;0;0
455;"M";"HT2";"WS";"M";0;0;0;0
456;"M";"HT2";"SF";"M";1;NA;NA;NA
457;"M";"HT2";"SF";"M";1;NA;NA;NA
458;"M";"HT2";"SF";"M";1;NA;NA;NA
459;"M";"HT2";"WS";"M";1;NA;NA;NA
460;"M";"HT2";"WS";"M";1;NA;NA;NA
461;"M";"HT2";"WS";"XL";1;NA;NA;NA
462;"M";"HT2";"SF";"XL";1;NA;NA;NA
463;"M";"HT2";"WS";"XL";1;NA;NA;NA
464;"M";"HT2";"WS";"XL";1;NA;NA;NA
465;"M";"HT2";"SF";"XL";0;1;NA;NA
466;"M";"HT2";"SF";"XL";1;NA;NA;NA
467;"M";"HT2";"WS";"XL";0;0;0;0
468;"M";"HT2";"SF";"XL";0;0;0;NA
469;"M";"HT2";"SF";"XL";1;NA;NA;NA
470;"M";"HT2";"SF";"XL";0;0;1;NA
471;"M";"HT2";"WS";"XL";0;1;NA;NA
472;"M";"HT2";"WS";"XL";0;0;0;0
473;"M";"HT2";"WS";"XL";0;0;1;NA
474;"M";"HT2";"SF";"XL";1;NA;NA;NA
475;"M";"HT2";"WS";"XL";0;1;NA;NA
476;"M";"HT2";"WS";"XL";0;1;NA;NA
477;"M";"HT2";"SF";"XL";0;0;1;NA
478;"M";"HT2";"SF";"XL";0;0;0;NA
479;"M";"HT2";"WS";"XL";1;NA;NA;NA
480;"M";"HT2";"SF";"XL";0;0;0;0
