Index,Visibility,Season,Size,Left,Right
571,RP,summer,bat,2,3
572,RP,summer,bat,0,1
573,RP,summer,bat,0,1
574,RP,summer,bat,10,14
575,RP,summer,bat,2,3
576,RP,summer,bat,3,4
577,RP,summer,bat,7,10
578,RP,summer,bat,1,2
579,RP,summer,bat,1,2
580,RP,summer,bat,1,2
581,RP,fall,bat,0,1
582,RP,fall,bat,0,1
583,RP,fall,bat,0,1
584,RP,fall,bat,0,1
585,RP,fall,bat,3,4
586,RP,fall,bat,1,2
587,RP,fall,bat,4,7
588,RP,fall,bat,0,1
589,RP,fall,bat,0,1
590,RP,fall,bat,0,1
591,RP,fall,bat,2,3
592,RP,fall,bat,1,2
593,RP,fall,bat,7,10
594,RP,fall,bat,1,2
595,RP,fall,bat,0,1
596,RP,fall,bat,10,14
597,RP,fall,bat,2,3
598,RP,fall,bat,0,1
599,RP,fall,bat,1,2
600,RP,fall,bat,0,1
601,M,spring,bat,10,14
602,M,spring,bat,7,10
603,M,spring,bat,1,2
604,M,spring,bat,1,2
605,M,spring,bat,0,1
606,M,spring,bat,3,4
607,M,spring,bat,0,1
608,M,spring,bat,1,2
609,M,spring,bat,3,4
610,M,spring,bat,2,3
611,M,spring,bat,1,2
612,M,spring,bat,21,28
613,M,spring,bat,4,7
614,M,spring,bat,14,21
615,M,spring,bat,0,1
616,M,spring,bat,10,14
617,M,spring,bat,7,10
618,M,spring,bat,3,4
619,M,spring,bat,4,7
620,M,spring,bat,21,28
621,M,summer,bat,2,3
622,M,summer,bat,21,28
623,M,summer,bat,0,1
624,M,summer,bat,0,1
625,M,summer,bat,10,14
626,M,summer,bat,7,10
627,M,summer,bat,4,7
628,M,summer,bat,0,1
629,M,summer,bat,1,2
630,M,summer,bat,14,21
631,M,summer,bat,4,7
632,M,summer,bat,1,2
633,M,summer,bat,2,3
634,M,summer,bat,0,1
635,M,summer,bat,4,7
636,M,summer,bat,7,10
637,M,summer,bat,4,7
638,M,summer,bat,2,3
639,M,summer,bat,0,1
640,M,summer,bat,0,1
641,M,fall,bat,28,Inf
642,M,fall,bat,1,2
643,M,fall,bat,0,1
644,M,fall,bat,14,21
645,M,fall,bat,1,2
646,M,fall,bat,10,14
647,M,fall,bat,3,4
648,M,fall,bat,10,14
649,M,fall,bat,4,7
650,M,fall,bat,1,2
651,M,fall,bat,4,7
652,M,fall,bat,3,4
653,M,fall,bat,0,1
654,M,fall,bat,4,7
655,M,fall,bat,0,1
656,M,fall,bat,4,7
657,M,fall,bat,1,2
658,M,fall,bat,4,7
659,M,fall,bat,2,3
660,M,fall,bat,7,10
661,D,spring,bat,7,10
662,D,spring,bat,1,2
663,D,spring,bat,4,7
664,D,spring,bat,10,14
665,D,spring,bat,10,14
666,D,spring,bat,10,14
667,D,spring,bat,1,2
668,D,spring,bat,7,10
669,D,spring,bat,3,4
670,D,spring,bat,7,10
671,D,spring,bat,21,28
672,D,spring,bat,14,21
673,D,spring,bat,0,1
674,D,spring,bat,2,3
675,D,spring,bat,14,21
676,D,spring,bat,2,3
677,D,spring,bat,0,1
678,D,spring,bat,0,1
679,D,spring,bat,0,1
680,D,spring,bat,3,4
681,D,summer,bat,4,7
682,D,summer,bat,0,1
683,D,summer,bat,0,1
684,D,summer,bat,21,28
685,D,summer,bat,10,14
686,D,summer,bat,4,7
687,D,summer,bat,10,14
688,D,summer,bat,1,2
689,D,summer,bat,14,21
690,D,summer,bat,3,4
691,D,summer,bat,3,4
692,D,summer,bat,2,3
693,D,summer,bat,0,1
694,D,summer,bat,7,10
695,D,summer,bat,21,28
696,D,summer,bat,10,14
697,D,summer,bat,4,7
698,D,summer,bat,7,10
699,D,summer,bat,4,7
700,D,summer,bat,1,2
701,D,fall,bat,4,7
702,D,fall,bat,7,10
703,D,fall,bat,21,28
704,D,fall,bat,3,4
705,D,fall,bat,0,1
706,D,fall,bat,14,21
707,D,fall,bat,10,14
708,D,fall,bat,0,1
709,D,fall,bat,21,28
710,D,fall,bat,3,4
711,D,fall,bat,21,28
712,D,fall,bat,3,4
713,D,fall,bat,7,10
714,D,fall,bat,28,Inf
715,D,fall,bat,10,14
716,D,fall,bat,7,10
717,D,fall,bat,1,2
718,D,fall,bat,1,2
719,D,fall,bat,1,2
720,D,fall,bat,28,Inf
