"Index","Visibility","Season","Size","Search1","Search2","Search3","Search4","Search5"
247,"M","spring","med",0,1,NA,NA,NA
248,"M","spring","med",0,1,NA,NA,NA
249,"M","spring","med",1,NA,NA,NA,NA
250,"M","spring","med",1,NA,NA,NA,NA
251,"M","spring","med",0,0,0,0,0
252,"M","spring","med",0,0,0,0,0
253,"M","spring","med",0,0,1,NA,NA
254,"M","spring","med",1,NA,NA,NA,NA
255,"M","spring","med",1,NA,NA,NA,NA
256,"M","spring","med",0,0,0,0,0
257,"M","spring","med",0,0,0,0,0
258,"M","spring","med",1,NA,NA,NA,NA
259,"M","spring","med",0,0,0,0,0
260,"M","spring","med",0,1,NA,NA,NA
261,"M","summer","med",0,0,0,0,0
262,"M","summer","med",0,0,0,0,0
263,"M","summer","med",0,0,0,0,0
264,"M","summer","med",0,0,0,0,0
265,"M","summer","med",0,0,1,NA,NA
266,"M","summer","med",1,NA,NA,NA,NA
267,"M","summer","med",0,1,NA,NA,NA
268,"M","summer","med",1,NA,NA,NA,NA
269,"M","summer","med",0,0,0,0,0
270,"M","summer","med",1,NA,NA,NA,NA
271,"M","summer","med",1,NA,NA,NA,NA
272,"M","summer","med",1,NA,NA,NA,NA
273,"M","summer","med",0,0,0,0,0
274,"M","summer","med",0,0,0,0,0
275,"M","summer","med",1,NA,NA,NA,NA
276,"M","summer","med",1,NA,NA,NA,NA
277,"M","summer","med",1,NA,NA,NA,NA
278,"M","summer","med",1,NA,NA,NA,NA
279,"M","summer","med",1,NA,NA,NA,NA
280,"M","summer","med",0,0,0,0,0
281,"M","fall","med",0,1,NA,NA,NA
282,"M","fall","med",1,NA,NA,NA,NA
283,"M","fall","med",0,0,1,NA,NA
284,"M","fall","med",0,0,0,0,1
285,"M","fall","med",0,0,0,0,0
286,"M","fall","med",0,0,0,0,0
287,"M","fall","med",0,1,NA,NA,NA
288,"M","fall","med",0,0,0,0,0
289,"M","fall","med",1,NA,NA,NA,NA
290,"M","fall","med",0,0,0,0,0
291,"M","fall","med",0,1,NA,NA,NA
292,"M","fall","med",0,0,0,0,0
293,"M","fall","med",0,1,NA,NA,NA
294,"M","fall","med",0,0,0,0,1
295,"M","fall","med",0,1,NA,NA,NA
296,"M","fall","med",0,0,1,NA,NA
297,"M","fall","med",1,NA,NA,NA,NA
298,"M","fall","med",0,1,NA,NA,NA
299,"M","fall","med",0,0,0,0,0
300,"M","fall","med",0,0,0,1,NA
301,"D","spring","med",0,0,0,0,0
302,"D","spring","med",0,0,0,0,0
303,"D","spring","med",1,NA,NA,NA,NA
304,"D","spring","med",0,1,NA,NA,NA
305,"D","spring","med",0,1,NA,NA,NA
306,"D","spring","med",1,NA,NA,NA,NA
307,"D","spring","med",0,0,0,0,0
308,"D","spring","med",0,1,NA,NA,NA
309,"D","spring","med",1,NA,NA,NA,NA
310,"D","spring","med",1,NA,NA,NA,NA
311,"D","spring","med",0,0,1,NA,NA
312,"D","spring","med",0,0,0,0,0
313,"D","spring","med",0,0,0,0,0
314,"D","spring","med",0,0,0,0,0
315,"D","spring","med",0,0,0,0,0
316,"D","spring","med",0,0,0,0,0
317,"D","spring","med",1,NA,NA,NA,NA
318,"D","spring","med",0,0,0,0,0
319,"D","spring","med",0,0,0,0,0
320,"D","spring","med",1,NA,NA,NA,NA
321,"D","summer","med",0,0,0,0,0
322,"D","summer","med",1,NA,NA,NA,NA
323,"D","summer","med",0,1,NA,NA,NA
324,"D","summer","med",0,0,0,0,0
325,"D","summer","med",0,0,1,NA,NA
326,"D","summer","med",1,NA,NA,NA,NA
327,"D","summer","med",0,0,0,0,0
328,"D","summer","med",0,0,0,0,0
329,"D","summer","med",0,0,0,0,0
330,"D","summer","med",1,NA,NA,NA,NA
331,"D","summer","med",0,0,0,0,0
332,"D","summer","med",1,NA,NA,NA,NA
333,"D","summer","med",0,0,0,0,0
334,"D","summer","med",1,NA,NA,NA,NA
335,"D","summer","med",1,NA,NA,NA,NA
336,"D","summer","med",0,1,NA,NA,NA
337,"D","summer","med",0,1,NA,NA,NA
338,"D","summer","med",1,NA,NA,NA,NA
339,"D","summer","med",0,1,NA,NA,NA
340,"D","summer","med",1,NA,NA,NA,NA
341,"D","fall","med",0,0,0,0,0
342,"D","fall","med",1,NA,NA,NA,NA
343,"D","fall","med",0,1,NA,NA,NA
344,"D","fall","med",1,NA,NA,NA,NA
345,"D","fall","med",0,0,0,0,0
346,"D","fall","med",0,0,0,0,0
347,"D","fall","med",0,0,0,0,0
348,"D","fall","med",0,0,0,0,0
349,"D","fall","med",1,NA,NA,NA,NA
350,"D","fall","med",0,0,0,0,0
351,"D","fall","med",0,0,0,0,0
352,"D","fall","med",1,NA,NA,NA,NA
353,"D","fall","med",1,NA,NA,NA,NA
354,"D","fall","med",0,0,0,0,0
355,"D","fall","med",1,NA,NA,NA,NA
356,"D","fall","med",0,0,0,0,1
357,"D","fall","med",0,0,0,0,0
358,"D","fall","med",1,NA,NA,NA,NA
359,"D","fall","med",0,0,0,0,0
360,"D","fall","med",0,1,NA,NA,NA
361,"RP","spring","lrg",0,1,NA,NA,NA
362,"RP","spring","lrg",1,NA,NA,NA,NA
363,"RP","spring","lrg",1,NA,NA,NA,NA
364,"RP","spring","lrg",1,NA,NA,NA,NA
365,"RP","spring","lrg",1,NA,NA,NA,NA
366,"RP","spring","lrg",1,NA,NA,NA,NA
367,"RP","spring","lrg",1,NA,NA,NA,NA
368,"RP","spring","lrg",1,NA,NA,NA,NA
369,"RP","spring","lrg",1,NA,NA,NA,NA
370,"RP","spring","lrg",1,NA,NA,NA,NA
371,"RP","spring","lrg",1,NA,NA,NA,NA
372,"RP","spring","lrg",1,NA,NA,NA,NA
373,"RP","spring","lrg",1,NA,NA,NA,NA
374,"RP","spring","lrg",1,NA,NA,NA,NA
375,"RP","spring","lrg",1,NA,NA,NA,NA
376,"RP","spring","lrg",1,NA,NA,NA,NA
377,"RP","spring","lrg",1,NA,NA,NA,NA
378,"RP","spring","lrg",1,NA,NA,NA,NA
379,"RP","spring","lrg",1,NA,NA,NA,NA
380,"RP","spring","lrg",1,NA,NA,NA,NA
381,"RP","summer","lrg",1,NA,NA,NA,NA
382,"RP","summer","lrg",1,NA,NA,NA,NA
383,"RP","summer","lrg",1,NA,NA,NA,NA
384,"RP","summer","lrg",1,NA,NA,NA,NA
385,"RP","summer","lrg",1,NA,NA,NA,NA
386,"RP","summer","lrg",1,NA,NA,NA,NA
387,"RP","summer","lrg",1,NA,NA,NA,NA
388,"RP","summer","lrg",1,NA,NA,NA,NA
389,"RP","summer","lrg",1,NA,NA,NA,NA
390,"RP","summer","lrg",1,NA,NA,NA,NA
391,"RP","summer","lrg",1,NA,NA,NA,NA
392,"RP","summer","lrg",1,NA,NA,NA,NA
393,"RP","summer","lrg",1,NA,NA,NA,NA
394,"RP","summer","lrg",1,NA,NA,NA,NA
395,"RP","summer","lrg",1,NA,NA,NA,NA
396,"RP","summer","lrg",1,NA,NA,NA,NA
397,"RP","summer","lrg",1,NA,NA,NA,NA
398,"RP","summer","lrg",1,NA,NA,NA,NA
399,"RP","summer","lrg",1,NA,NA,NA,NA
400,"RP","summer","lrg",1,NA,NA,NA,NA
401,"RP","fall","lrg",1,NA,NA,NA,NA
402,"RP","fall","lrg",1,NA,NA,NA,NA
403,"RP","fall","lrg",1,NA,NA,NA,NA
404,"RP","fall","lrg",1,NA,NA,NA,NA
405,"RP","fall","lrg",1,NA,NA,NA,NA
406,"RP","fall","lrg",1,NA,NA,NA,NA
407,"RP","fall","lrg",1,NA,NA,NA,NA
408,"RP","fall","lrg",1,NA,NA,NA,NA
409,"RP","fall","lrg",1,NA,NA,NA,NA
410,"RP","fall","lrg",1,NA,NA,NA,NA
411,"RP","fall","lrg",1,NA,NA,NA,NA
412,"RP","fall","lrg",1,NA,NA,NA,NA
413,"RP","fall","lrg",1,NA,NA,NA,NA
414,"RP","fall","lrg",1,NA,NA,NA,NA
415,"RP","fall","lrg",1,NA,NA,NA,NA
416,"RP","fall","lrg",1,NA,NA,NA,NA
417,"RP","fall","lrg",1,NA,NA,NA,NA
418,"RP","fall","lrg",1,NA,NA,NA,NA
419,"RP","fall","lrg",1,NA,NA,NA,NA
420,"RP","fall","lrg",1,NA,NA,NA,NA
421,"M","spring","lrg",1,NA,NA,NA,NA
422,"M","spring","lrg",0,1,NA,NA,NA
423,"M","spring","lrg",1,NA,NA,NA,NA
424,"M","spring","lrg",1,NA,NA,NA,NA
425,"M","spring","lrg",1,NA,NA,NA,NA
426,"M","spring","lrg",0,1,NA,NA,NA
427,"M","spring","lrg",0,1,NA,NA,NA
428,"M","spring","lrg",1,NA,NA,NA,NA
429,"M","spring","lrg",1,NA,NA,NA,NA
430,"M","spring","lrg",0,0,1,NA,NA
431,"M","spring","lrg",1,NA,NA,NA,NA
432,"M","spring","lrg",0,1,NA,NA,NA
433,"M","spring","lrg",1,NA,NA,NA,NA
434,"M","spring","lrg",0,1,NA,NA,NA
435,"M","spring","lrg",1,NA,NA,NA,NA
436,"M","spring","lrg",1,NA,NA,NA,NA
437,"M","spring","lrg",1,NA,NA,NA,NA
438,"M","spring","lrg",1,NA,NA,NA,NA
439,"M","spring","lrg",1,NA,NA,NA,NA
440,"M","spring","lrg",1,NA,NA,NA,NA
441,"M","summer","lrg",1,NA,NA,NA,NA
442,"M","summer","lrg",1,NA,NA,NA,NA
443,"M","summer","lrg",1,NA,NA,NA,NA
444,"M","summer","lrg",1,NA,NA,NA,NA
445,"M","summer","lrg",1,NA,NA,NA,NA
446,"M","summer","lrg",1,NA,NA,NA,NA
447,"M","summer","lrg",0,1,NA,NA,NA
448,"M","summer","lrg",1,NA,NA,NA,NA
449,"M","summer","lrg",1,NA,NA,NA,NA
450,"M","summer","lrg",1,NA,NA,NA,NA
451,"M","summer","lrg",1,NA,NA,NA,NA
452,"M","summer","lrg",1,NA,NA,NA,NA
453,"M","summer","lrg",1,NA,NA,NA,NA
454,"M","summer","lrg",1,NA,NA,NA,NA
455,"M","summer","lrg",0,0,0,1,NA
456,"M","summer","lrg",0,1,NA,NA,NA
457,"M","summer","lrg",1,NA,NA,NA,NA
458,"M","summer","lrg",1,NA,NA,NA,NA
459,"M","summer","lrg",1,NA,NA,NA,NA
460,"M","summer","lrg",1,NA,NA,NA,NA
461,"M","fall","lrg",1,NA,NA,NA,NA
462,"M","fall","lrg",0,0,0,0,0
463,"M","fall","lrg",1,NA,NA,NA,NA
464,"M","fall","lrg",1,NA,NA,NA,NA
465,"M","fall","lrg",1,NA,NA,NA,NA
466,"M","fall","lrg",1,NA,NA,NA,NA
467,"M","fall","lrg",0,1,NA,NA,NA
468,"M","fall","lrg",1,NA,NA,NA,NA
469,"M","fall","lrg",0,1,NA,NA,NA
470,"M","fall","lrg",1,NA,NA,NA,NA
471,"M","fall","lrg",1,NA,NA,NA,NA
472,"M","fall","lrg",1,NA,NA,NA,NA
473,"M","fall","lrg",1,NA,NA,NA,NA
474,"M","fall","lrg",1,NA,NA,NA,NA
475,"M","fall","lrg",1,NA,NA,NA,NA
476,"M","fall","lrg",1,NA,NA,NA,NA
477,"M","fall","lrg",0,0,0,0,0
478,"M","fall","lrg",1,NA,NA,NA,NA
479,"M","fall","lrg",1,NA,NA,NA,NA
480,"M","fall","lrg",1,NA,NA,NA,NA
481,"D","spring","lrg",0,1,NA,NA,NA
482,"D","spring","lrg",1,NA,NA,NA,NA
483,"D","spring","lrg",0,1,NA,NA,NA
484,"D","spring","lrg",0,0,0,0,0
485,"D","spring","lrg",0,0,0,0,0
486,"D","spring","lrg",0,0,0,1,NA
487,"D","spring","lrg",0,0,1,NA,NA
488,"D","spring","lrg",0,1,NA,NA,NA
489,"D","spring","lrg",1,NA,NA,NA,NA
490,"D","spring","lrg",0,0,0,0,0
491,"D","spring","lrg",0,1,NA,NA,NA
492,"D","spring","lrg",1,NA,NA,NA,NA
493,"D","spring","lrg",1,NA,NA,NA,NA
494,"D","spring","lrg",0,1,NA,NA,NA
495,"D","spring","lrg",1,NA,NA,NA,NA
496,"D","spring","lrg",1,NA,NA,NA,NA
497,"D","spring","lrg",0,0,0,0,0
498,"D","spring","lrg",1,NA,NA,NA,NA
499,"D","spring","lrg",1,NA,NA,NA,NA
500,"D","spring","lrg",0,1,NA,NA,NA
501,"D","summer","lrg",1,NA,NA,NA,NA
502,"D","summer","lrg",1,NA,NA,NA,NA
503,"D","summer","lrg",0,1,NA,NA,NA
504,"D","summer","lrg",1,NA,NA,NA,NA
505,"D","summer","lrg",0,0,1,NA,NA
506,"D","summer","lrg",0,0,0,0,0
507,"D","summer","lrg",0,0,0,0,0
508,"D","summer","lrg",1,NA,NA,NA,NA
509,"D","summer","lrg",1,NA,NA,NA,NA
510,"D","summer","lrg",1,NA,NA,NA,NA
511,"D","summer","lrg",1,NA,NA,NA,NA
512,"D","summer","lrg",0,0,0,0,0
513,"D","summer","lrg",0,0,0,0,0
514,"D","summer","lrg",0,0,0,0,0
515,"D","summer","lrg",0,1,NA,NA,NA
516,"D","summer","lrg",0,1,NA,NA,NA
517,"D","summer","lrg",1,NA,NA,NA,NA
518,"D","summer","lrg",1,NA,NA,NA,NA
519,"D","summer","lrg",1,NA,NA,NA,NA
520,"D","summer","lrg",0,1,NA,NA,NA
521,"D","fall","lrg",1,NA,NA,NA,NA
522,"D","fall","lrg",0,0,1,NA,NA
523,"D","fall","lrg",1,NA,NA,NA,NA
524,"D","fall","lrg",1,NA,NA,NA,NA
525,"D","fall","lrg",0,1,NA,NA,NA
526,"D","fall","lrg",1,NA,NA,NA,NA
527,"D","fall","lrg",0,0,1,NA,NA
528,"D","fall","lrg",1,NA,NA,NA,NA
529,"D","fall","lrg",0,1,NA,NA,NA
530,"D","fall","lrg",0,0,0,0,0
531,"D","fall","lrg",0,1,NA,NA,NA
532,"D","fall","lrg",1,NA,NA,NA,NA
533,"D","fall","lrg",1,NA,NA,NA,NA
534,"D","fall","lrg",0,0,0,0,0
535,"D","fall","lrg",0,0,0,0,0
536,"D","fall","lrg",1,NA,NA,NA,NA
537,"D","fall","lrg",0,1,NA,NA,NA
538,"D","fall","lrg",0,0,1,NA,NA
539,"D","fall","lrg",1,NA,NA,NA,NA
540,"D","fall","lrg",0,0,0,0,0
541,"RP","spring","bat",0,0,0,1,NA
542,"RP","spring","bat",1,NA,NA,NA,NA
543,"RP","spring","bat",1,NA,NA,NA,NA
544,"RP","spring","bat",0,1,NA,NA,NA
545,"RP","spring","bat",0,0,1,NA,NA
546,"RP","spring","bat",0,0,1,NA,NA
547,"RP","spring","bat",1,NA,NA,NA,NA
548,"RP","spring","bat",1,NA,NA,NA,NA
549,"RP","spring","bat",1,NA,NA,NA,NA
550,"RP","spring","bat",1,NA,NA,NA,NA
551,"RP","spring","bat",1,NA,NA,NA,NA
552,"RP","spring","bat",1,NA,NA,NA,NA
553,"RP","spring","bat",1,NA,NA,NA,NA
554,"RP","spring","bat",1,NA,NA,NA,NA
555,"RP","spring","bat",1,NA,NA,NA,NA
556,"RP","spring","bat",0,0,0,0,0
557,"RP","spring","bat",1,NA,NA,NA,NA
558,"RP","spring","bat",0,0,1,NA,NA
559,"RP","spring","bat",1,NA,NA,NA,NA
560,"RP","spring","bat",0,0,1,NA,NA
561,"RP","summer","bat",1,NA,NA,NA,NA
562,"RP","summer","bat",0,0,0,0,0
563,"RP","summer","bat",1,NA,NA,NA,NA
564,"RP","summer","bat",0,1,NA,NA,NA
565,"RP","summer","bat",0,1,NA,NA,NA
566,"RP","summer","bat",0,0,1,NA,NA
567,"RP","summer","bat",1,NA,NA,NA,NA
568,"RP","summer","bat",0,0,0,0,0
569,"RP","summer","bat",0,1,NA,NA,NA
570,"RP","summer","bat",0,1,NA,NA,NA
571,"RP","summer","bat",0,0,0,0,0
572,"RP","summer","bat",1,NA,NA,NA,NA
573,"RP","summer","bat",1,NA,NA,NA,NA
574,"RP","summer","bat",0,1,NA,NA,NA
575,"RP","summer","bat",0,1,NA,NA,NA
576,"RP","summer","bat",1,NA,NA,NA,NA
577,"RP","summer","bat",1,NA,NA,NA,NA
578,"RP","summer","bat",1,NA,NA,NA,NA
579,"RP","summer","bat",0,0,0,1,NA
580,"RP","summer","bat",1,NA,NA,NA,NA
581,"RP","fall","bat",0,1,NA,NA,NA
582,"RP","fall","bat",0,0,0,0,0
583,"RP","fall","bat",0,0,0,0,0
584,"RP","fall","bat",1,NA,NA,NA,NA
585,"RP","fall","bat",1,NA,NA,NA,NA
586,"RP","fall","bat",1,NA,NA,NA,NA
