"ID","Unit","Visibility","GroundCover","HabitatType","Split","Size","DateFound"
"81","5","M","A","HT1","C1","M","3/12/2017"
"82","5","H","B","HT2","C1","S","3/12/2017"
"83","2","M","B","HT2","C2","XL","3/13/2017"
"84","2","H","B","HT1","C2","L","3/13/2017"
"85","2","M","B","HT2","C2","XL","3/13/2017"
"86","2","M","A","HT1","C1","S","3/13/2017"
"87","4","H","B","HT1","C1","L","3/13/2017"
"88","4","M","A","HT1","C2","S","3/13/2017"
"89","4","H","A","HT1","C2","M","3/13/2017"
"90","4","L","B","HT2","C2","S","3/13/2017"
"91","4","M","A","HT2","C2","M","3/13/2017"
"92","1","H","B","HT2","C1","XL","3/26/2017"
"93","1","H","B","HT1","C1","M","3/26/2017"
"94","1","M","B","HT2","C1","M","3/26/2017"
"95","1","M","A","HT2","C2","M","3/26/2017"
"96","1","M","A","HT2","C1","L","3/26/2017"
"97","1","M","B","HT2","C1","S","3/26/2017"
"98","1","M","A","HT1","C1","S","3/26/2017"
"99","3","H","A","HT1","C1","L","3/26/2017"
"100","3","M","B","HT1","C2","XL","3/26/2017"
"101","3","M","B","HT2","C2","M","3/26/2017"
"102","3","M","A","HT1","C2","M","3/26/2017"
"103","3","H","B","HT1","C2","M","3/26/2017"
"104","3","H","B","HT2","C2","XL","3/26/2017"
"105","5","M","A","HT2","C2","S","3/26/2017"
"106","5","M","A","HT2","C1","XL","3/26/2017"
"107","5","H","A","HT2","C1","XL","3/26/2017"
"108","5","M","B","HT1","C2","XL","3/26/2017"
"109","5","H","B","HT1","C2","L","3/26/2017"
"110","5","M","A","HT2","C1","S","3/26/2017"
"111","5","L","B","HT1","C1","L","3/26/2017"
"112","5","H","B","HT1","C2","M","3/26/2017"
"113","5","H","A","HT1","C2","L","3/26/2017"
"114","2","H","A","HT2","C1","M","3/27/2017"
"115","2","H","B","HT1","C2","XL","3/27/2017"
"116","2","M","B","HT2","C2","S","3/27/2017"
"117","4","L","A","HT2","C1","M","3/27/2017"
"118","4","M","A","HT2","C2","M","3/27/2017"
"119","4","M","B","HT2","C2","M","3/27/2017"
"120","4","M","B","HT2","C2","M","3/27/2017"
"121","4","H","B","HT2","C2","S","3/27/2017"
"122","4","H","B","HT2","C1","XL","3/27/2017"
"123","4","H","B","HT2","C1","XL","3/27/2017"
"124","1","M","A","HT1","C2","S","4/9/2017"
"125","1","M","B","HT1","C2","XL","4/9/2017"
"126","1","M","B","HT1","C2","M","4/9/2017"
"127","1","H","A","HT2","C2","S","4/9/2017"
"128","1","M","B","HT2","C1","M","4/9/2017"
"129","3","H","B","HT2","C2","S","4/9/2017"
"130","3","M","A","HT2","C1","L","4/9/2017"
"131","3","H","A","HT2","C1","S","4/9/2017"
"132","3","M","B","HT1","C2","M","4/9/2017"
"133","3","H","B","HT2","C1","XL","4/9/2017"
"134","5","H","B","HT2","C1","S","4/9/2017"
"135","4","H","A","HT1","C2","L","4/10/2017"
"136","4","M","B","HT1","C1","XL","4/10/2017"
"137","4","H","A","HT2","C1","M","4/10/2017"
"138","3","M","A","HT1","C1","XL","4/23/2017"
"139","5","H","B","HT1","C1","XL","4/23/2017"
"140","5","H","B","HT1","C1","M","4/23/2017"
"141","5","H","A","HT2","C2","XL","4/23/2017"
"142","5","M","B","HT1","C2","S","4/23/2017"
"143","5","L","A","HT2","C1","L","4/23/2017"
"144","2","L","B","HT2","C2","M","4/24/2017"
"145","2","L","A","HT1","C2","M","4/24/2017"
"146","2","H","B","HT2","C1","S","4/24/2017"
"147","2","H","A","HT2","C1","S","4/24/2017"
"148","4","H","B","HT2","C1","XL","4/24/2017"
"149","4","M","B","HT1","C2","M","4/24/2017"
"150","4","M","A","HT1","C1","S","4/24/2017"
"151","4","M","B","HT2","C2","L","4/24/2017"
"152","4","H","A","HT2","C1","M","4/24/2017"
"153","1","H","B","HT2","C2","S","5/7/2017"
"154","1","H","A","HT2","C1","S","5/7/2017"
"155","1","H","A","HT2","C1","L","5/7/2017"
"156","1","H","B","HT1","C2","S","5/7/2017"
"157","3","H","B","HT2","C2","M","5/7/2017"
"158","3","L","B","HT2","C1","S","5/7/2017"
"159","3","H","B","HT2","C1","L","5/7/2017"
"160","3","H","B","HT2","C2","S","5/7/2017"
"161","3","L","A","HT2","C2","L","5/7/2017"
"162","3","M","B","HT1","C1","XL","5/7/2017"
"163","5","M","B","HT1","C2","XL","5/7/2017"
"164","5","L","B","HT1","C2","M","5/7/2017"
"165","2","L","B","HT2","C1","M","5/8/2017"
"166","2","H","A","HT1","C2","S","5/8/2017"
"167","2","M","B","HT2","C2","S","5/8/2017"
"168","2","M","A","HT1","C2","XL","5/8/2017"
"169","2","M","B","HT2","C1","M","5/8/2017"
"170","4","H","A","HT1","C2","S","5/8/2017"
"171","1","M","A","HT1","C2","L","5/21/2017"
"172","3","M","B","HT2","C2","S","5/21/2017"
"173","3","H","B","HT2","C1","L","5/21/2017"
"174","3","M","B","HT1","C1","S","5/21/2017"
"175","3","H","A","HT1","C2","S","5/21/2017"
"176","3","H","A","HT2","C2","L","5/21/2017"
"177","5","H","A","HT1","C2","S","5/21/2017"
"178","5","H","A","HT1","C1","M","5/21/2017"
"179","5","M","B","HT1","C1","L","5/21/2017"
"180","5","H","A","HT1","C1","XL","5/21/2017"
"181","5","M","B","HT1","C1","XL","5/21/2017"
"182","4","H","B","HT1","C2","M","5/22/2017"
"183","4","H","A","HT2","C2","S","5/22/2017"
"184","4","H","B","HT2","C2","M","5/22/2017"
"185","1","M","B","HT2","C1","XL","6/4/2017"
"186","1","H","A","HT1","C1","M","6/4/2017"
"187","1","M","B","HT2","C2","M","6/4/2017"
"188","1","M","A","HT1","C2","M","6/4/2017"
"189","1","L","B","HT1","C1","L","6/4/2017"
"190","1","H","A","HT2","C1","L","6/4/2017"
"191","1","M","B","HT2","C1","XL","6/4/2017"
"192","1","M","A","HT2","C2","S","6/4/2017"
"193","3","M","A","HT1","C2","M","6/4/2017"
"194","3","H","B","HT1","C1","L","6/4/2017"
"195","3","H","A","HT2","C1","M","6/4/2017"
"196","5","H","B","HT1","C1","M","6/4/2017"
"197","5","H","B","HT2","C1","M","6/4/2017"
"198","2","M","A","HT2","C2","XL","6/5/2017"
"199","2","L","B","HT2","C2","S","6/5/2017"
"200","4","H","B","HT2","C2","M","6/5/2017"
"201","4","L","B","HT1","C2","S","6/5/2017"
"202","1","H","A","HT1","C2","M","6/18/2017"
"203","1","M","B","HT1","C2","S","6/18/2017"
"204","1","H","A","HT1","C2","M","6/18/2017"
"205","1","H","A","HT2","C2","XL","6/18/2017"
"206","1","H","A","HT1","C2","S","6/18/2017"
"207","1","M","B","HT2","C2","L","6/18/2017"
"208","3","H","A","HT1","C2","M","6/18/2017"
"209","3","M","A","HT1","C1","S","6/18/2017"
"210","3","H","B","HT2","C1","L","6/18/2017"
"211","5","H","B","HT2","C2","XL","6/18/2017"
"212","5","L","B","HT1","C2","M","6/18/2017"
"213","5","M","B","HT2","C2","S","6/18/2017"
"214","5","M","B","HT2","C1","M","6/18/2017"
"215","5","H","A","HT1","C1","XL","6/18/2017"
"216","5","M","A","HT2","C1","S","6/18/2017"
"217","5","M","B","HT1","C1","L","6/18/2017"
"218","2","M","A","HT1","C1","M","6/19/2017"
"219","2","H","A","HT2","C2","M","6/19/2017"
"220","2","L","B","HT1","C2","S","6/19/2017"
"221","2","H","B","HT2","C1","XL","6/19/2017"
"222","2","M","B","HT2","C2","M","6/19/2017"
"223","4","H","B","HT1","C1","M","6/19/2017"
"224","4","L","B","HT1","C2","XL","6/19/2017"
"225","1","M","B","HT2","C2","S","7/1/2017"
"226","1","H","B","HT2","C1","M","7/1/2017"
"227","1","L","A","HT1","C1","M","7/1/2017"
"228","1","M","A","HT1","C1","L","7/1/2017"
"229","1","M","B","HT1","C2","S","7/1/2017"
"230","1","L","B","HT1","C1","M","7/1/2017"
"231","1","M","B","HT2","C1","M","7/1/2017"
"232","2","M","B","HT2","C1","L","7/1/2017"
"233","2","M","A","HT2","C1","M","7/1/2017"
"234","2","H","B","HT1","C1","S","7/1/2017"
"235","3","M","A","HT1","C2","S","7/1/2017"
"236","3","L","B","HT2","C1","M","7/1/2017"
"237","4","H","A","HT1","C1","S","7/1/2017"
"238","4","M","B","HT2","C1","M","7/1/2017"
"239","4","L","A","HT2","C1","L","7/1/2017"
"240","4","L","B","HT2","C2","S","7/1/2017"
"241","4","M","A","HT2","C2","S","7/1/2017"
"242","4","M","A","HT2","C2","L","7/1/2017"
"243","4","H","A","HT1","C2","M","7/1/2017"
"244","2","H","B","HT2","C2","M","7/15/2017"
"245","2","M","A","HT1","C2","M","7/15/2017"
"246","2","M","B","HT1","C2","XL","7/15/2017"
"247","3","M","A","HT2","C2","XL","7/15/2017"
"248","3","M","A","HT1","C1","M","7/15/2017"
"249","3","M","A","HT2","C1","L","7/15/2017"
"250","4","H","A","HT2","C1","S","7/15/2017"
"251","4","H","B","HT1","C2","M","7/15/2017"
"252","5","M","B","HT1","C2","XL","7/15/2017"
"253","5","M","A","HT2","C1","XL","7/15/2017"
"254","5","M","B","HT1","C2","S","7/15/2017"
"255","5","M","A","HT1","C2","S","7/15/2017"
"256","1","H","A","HT2","C1","XL","7/29/2017"
"257","1","H","A","HT1","C1","M","7/29/2017"
"258","1","H","B","HT2","C2","S","7/29/2017"
"259","1","L","A","HT1","C2","S","7/29/2017"
"260","2","H","B","HT1","C2","L","7/29/2017"
"261","2","H","B","HT1","C1","XL","7/29/2017"
"262","2","M","A","HT2","C2","M","7/29/2017"
"263","2","H","B","HT1","C1","XL","7/29/2017"
"264","2","L","B","HT2","C2","S","7/29/2017"
"265","2","H","B","HT2","C1","M","7/29/2017"
"266","3","M","A","HT2","C1","L","7/29/2017"
"267","3","L","A","HT2","C2","M","7/29/2017"
"268","3","H","A","HT2","C2","XL","7/29/2017"
"269","3","H","A","HT1","C1","M","7/29/2017"
"270","3","M","B","HT2","C2","XL","7/29/2017"
"271","3","M","B","HT1","C1","M","7/29/2017"
"272","3","L","B","HT2","C1","M","7/29/2017"
"273","4","M","A","HT1","C1","XL","7/29/2017"
"274","4","M","B","HT1","C2","M","7/29/2017"
"275","5","M","B","HT1","C2","S","7/29/2017"
"276","5","H","B","HT2","C2","S","7/29/2017"
"277","5","H","B","HT2","C1","M","7/29/2017"
"278","5","H","B","HT2","C2","M","7/29/2017"
"279","5","M","A","HT2","C2","M","7/29/2017"
"280","2","L","A","HT2","C2","M","8/12/2017"
"281","2","L","A","HT2","C1","M","8/12/2017"
"282","2","H","A","HT2","C2","S","8/12/2017"
"283","2","M","B","HT1","C1","XL","8/12/2017"
"284","2","L","A","HT2","C2","M","8/12/2017"
"285","2","H","B","HT2","C2","M","8/12/2017"
"286","2","H","B","HT1","C1","XL","8/12/2017"
"287","2","H","A","HT2","C1","L","8/12/2017"
"288","2","M","A","HT2","C2","M","8/12/2017"
"289","4","H","A","HT1","C2","M","8/12/2017"
"290","4","H","A","HT2","C1","XL","8/12/2017"
"291","5","H","B","HT2","C1","L","8/12/2017"
"292","5","M","B","HT1","C2","S","8/12/2017"
"293","5","H","B","HT1","C1","M","8/12/2017"
"294","1","H","A","HT1","C2","M","8/26/2017"
"295","1","L","A","HT2","C1","S","8/26/2017"
"296","1","H","B","HT1","C2","S","8/26/2017"
"297","1","M","A","HT2","C2","S","8/26/2017"
"298","2","H","A","HT2","C2","S","8/26/2017"
"299","2","M","A","HT1","C2","L","8/26/2017"
"300","2","H","A","HT2","C1","XL","8/26/2017"
"301","3","H","B","HT1","C2","S","8/26/2017"
"302","3","H","B","HT1","C2","L","8/26/2017"
"303","3","H","A","HT1","C2","M","8/26/2017"
"304","4","M","B","HT2","C2","S","8/26/2017"
"305","5","H","B","HT1","C2","M","8/26/2017"
"306","5","L","B","HT2","C2","XL","8/26/2017"
"307","5","H","B","HT2","C1","M","8/26/2017"
"308","5","H","B","HT1","C2","XL","8/26/2017"
"309","5","M","A","HT1","C1","S","8/26/2017"
"310","1","L","B","HT2","C1","L","9/9/2017"
"311","1","L","B","HT1","C2","XL","9/9/2017"
"312","2","H","B","HT2","C2","XL","9/9/2017"
"313","3","H","B","HT2","C1","XL","9/9/2017"
"314","3","H","B","HT1","C2","M","9/9/2017"
"315","3","H","B","HT2","C2","XL","9/9/2017"
"316","3","H","B","HT2","C2","S","9/9/2017"
"317","3","H","A","HT1","C1","L","9/9/2017"
"318","3","H","B","HT1","C2","M","9/9/2017"
"319","3","L","B","HT1","C2","XL","9/9/2017"
"320","4","M","B","HT1","C1","S","9/9/2017"
"321","4","M","B","HT2","C1","L","9/9/2017"
"322","4","L","B","HT2","C1","S","9/9/2017"
"323","1","H","A","HT2","C2","M","9/23/2017"
"324","2","H","B","HT1","C2","XL","9/23/2017"
"325","2","H","B","HT2","C2","L","9/23/2017"
"326","2","M","A","HT2","C2","S","9/23/2017"
"327","3","M","B","HT1","C2","M","9/23/2017"
"328","4","H","B","HT2","C1","S","9/23/2017"
"329","4","H","A","HT1","C1","M","9/23/2017"
"330","1","H","B","HT1","C2","S","10/7/2017"
"331","3","H","A","HT1","C2","M","10/7/2017"
"332","3","H","B","HT2","C1","M","10/7/2017"
"333","3","H","B","HT2","C2","M","10/7/2017"
"334","3","H","A","HT2","C2","M","10/7/2017"
"335","4","H","B","HT2","C1","M","10/7/2017"
"336","4","M","B","HT2","C1","M","10/7/2017"
"337","4","H","A","HT1","C2","L","10/7/2017"
"338","4","M","B","HT2","C1","XL","10/7/2017"
"339","4","M","B","HT2","C1","S","10/7/2017"
"340","5","M","A","HT1","C2","XL","10/7/2017"
"341","5","H","B","HT1","C1","S","10/7/2017"
"342","5","M","B","HT1","C1","L","10/7/2017"
"343","5","M","B","HT2","C2","M","10/7/2017"
"344","5","H","B","HT1","C2","M","10/7/2017"
"345","5","H","A","HT2","C1","M","10/7/2017"
"346","5","H","B","HT2","C1","S","10/7/2017"
"347","5","H","A","HT2","C1","S","10/7/2017"
"348","5","H","A","HT2","C1","M","10/7/2017"
"349","1","H","B","HT1","C1","L","10/21/2017"
"350","1","H","B","HT1","C2","XL","10/21/2017"
"351","1","H","B","HT2","C1","S","10/21/2017"
"352","2","H","B","HT1","C1","M","10/21/2017"
"353","2","M","B","HT1","C2","XL","10/21/2017"
"354","2","M","A","HT1","C2","L","10/21/2017"
"355","2","M","B","HT1","C2","L","10/21/2017"
"356","2","H","A","HT2","C1","M","10/21/2017"
"357","2","H","A","HT1","C2","M","10/21/2017"
"358","2","H","B","HT2","C2","L","10/21/2017"
"359","2","H","A","HT2","C2","M","10/21/2017"
"360","3","H","A","HT2","C1","M","10/21/2017"
"361","3","M","B","HT2","C2","XL","10/21/2017"
"362","3","H","A","HT1","C1","L","10/21/2017"
"363","4","M","B","HT2","C2","S","10/21/2017"
"364","5","H","B","HT1","C2","XL","10/21/2017"
"365","5","L","A","HT1","C1","M","10/21/2017"
"366","2","M","A","HT1","C1","XL","11/4/2017"
"367","2","H","B","HT2","C2","S","11/4/2017"
"368","3","H","A","HT1","C2","L","11/4/2017"
"369","3","H","B","HT2","C1","L","11/4/2017"
"370","3","M","A","HT2","C2","M","11/4/2017"
"371","4","H","A","HT1","C1","M","11/4/2017"
"372","5","M","B","HT2","C2","S","11/4/2017"
"373","5","H","A","HT1","C1","M","11/4/2017"
"374","5","H","B","HT1","C1","M","11/4/2017"
"375","5","H","A","HT2","C1","M","11/4/2017"
"376","5","H","A","HT1","C1","L","11/4/2017"
"377","5","H","A","HT2","C2","M","11/4/2017"
"378","5","M","B","HT2","C1","XL","11/4/2017"
"379","5","H","B","HT1","C2","M","11/4/2017"
"380","5","L","A","HT2","C1","S","11/4/2017"
"381","1","M","A","HT2","C1","L","11/18/2017"
"382","1","H","A","HT1","C2","L","11/18/2017"
"383","1","H","A","HT2","C2","L","11/18/2017"
"384","1","H","B","HT2","C2","M","11/18/2017"
"385","2","H","B","HT1","C2","XL","11/18/2017"
"386","2","H","B","HT1","C2","S","11/18/2017"
"387","2","H","B","HT2","C2","S","11/18/2017"
"388","2","H","A","HT2","C2","S","11/18/2017"
"389","3","M","B","HT1","C1","M","11/18/2017"
"390","3","H","A","HT1","C1","M","11/18/2017"
"391","4","L","B","HT1","C2","XL","11/18/2017"
"392","5","H","B","HT1","C1","L","11/18/2017"
"393","5","M","A","HT2","C2","S","11/18/2017"
"394","5","H","B","HT1","C1","XL","11/18/2017"
"395","5","M","B","HT1","C2","S","11/18/2017"
"396","5","H","B","HT1","C2","XL","11/18/2017"
"397","5","H","A","HT1","C2","L","11/18/2017"
"398","1","H","A","HT2","C2","S","12/2/2017"
"399","1","L","A","HT1","C2","XL","12/2/2017"
"400","2","M","A","HT1","C2","S","12/2/2017"
"401","2","H","B","HT1","C2","L","12/2/2017"
"402","2","H","B","HT2","C2","S","12/2/2017"
"403","2","H","B","HT1","C2","L","12/2/2017"
"404","2","H","A","HT2","C2","L","12/2/2017"
"405","3","M","A","HT1","C2","XL","12/2/2017"
"406","3","M","B","HT1","C1","M","12/2/2017"
"407","3","H","B","HT2","C2","XL","12/2/2017"
"408","3","M","B","HT1","C1","L","12/2/2017"
"409","3","H","B","HT1","C2","M","12/2/2017"
"410","3","H","A","HT2","C2","S","12/2/2017"
"411","3","M","A","HT1","C2","XL","12/2/2017"
"412","3","M","A","HT1","C2","M","12/2/2017"
"413","3","H","A","HT1","C1","L","12/2/2017"
"414","4","M","A","HT1","C1","XL","12/2/2017"
"415","4","H","B","HT2","C1","M","12/2/2017"
"416","4","M","B","HT1","C2","M","12/2/2017"
"417","4","H","A","HT2","C1","M","12/2/2017"
"418","5","M","B","HT2","C1","S","12/2/2017"
"419","1","H","A","HT1","C1","L","12/16/2017"
"420","1","H","B","HT1","C2","L","12/16/2017"
"421","1","L","B","HT2","C2","XL","12/16/2017"
"422","1","M","B","HT2","C1","XL","12/16/2017"
"423","1","L","A","HT1","C1","XL","12/16/2017"
"424","2","M","B","HT1","C1","XL","12/16/2017"
"425","2","H","A","HT2","C2","XL","12/16/2017"
"426","2","H","A","HT1","C2","L","12/16/2017"
"427","2","L","A","HT1","C2","S","12/16/2017"
"428","2","H","B","HT2","C2","S","12/16/2017"
"429","2","L","A","HT2","C1","M","12/16/2017"
"430","2","M","A","HT2","C1","S","12/16/2017"
"431","3","M","A","HT1","C1","M","12/16/2017"
"432","3","L","B","HT1","C1","S","12/16/2017"
"433","3","H","A","HT1","C2","L","12/16/2017"
"434","5","M","B","HT1","C2","M","12/16/2017"
"435","5","M","B","HT2","C2","S","12/16/2017"
"436","5","M","B","HT2","C2","M","12/16/2017"
"437","5","L","B","HT1","C2","S","12/16/2017"
"438","1","H","B","HT2","C1","M","12/30/2017"
"439","1","H","B","HT1","C1","M","12/30/2017"
"440","1","M","A","HT2","C1","S","12/30/2017"
"441","1","M","A","HT2","C2","S","12/30/2017"
"442","2","M","A","HT1","C2","M","12/30/2017"
"443","2","M","B","HT1","C2","XL","12/30/2017"
"444","3","H","A","HT2","C1","S","12/30/2017"
"445","3","H","B","HT2","C2","L","12/30/2017"
"446","3","H","B","HT2","C1","S","12/30/2017"
"447","4","H","A","HT2","C2","L","12/30/2017"
"448","4","H","B","HT1","C1","S","12/30/2017"
"449","4","H","A","HT2","C2","S","12/30/2017"
"450","5","H","B","HT2","C2","L","12/30/2017"
"451","5","L","A","HT2","C1","M","12/30/2017"
"452","5","H","B","HT1","C1","XL","12/30/2017"
"453","5","H","B","HT1","C2","S","12/30/2017"
"454","5","M","B","HT2","C1","M","12/30/2017"
"455","5","M","A","HT1","C2","M","12/30/2017"
"456","5","H","B","HT1","C2","M","12/30/2017"
"457","5","M","A","HT1","C2","L","12/30/2017"
