"Index","Unit","Species","Size","Row","Distance","DateFound","X","Y"
49,"Unit227","SB","small",17,4,2018-03-25,525420,3858172
50,"Unit170","SA","small",4,44,2018-04-21,525934,3857647
51,"Unit158","SA","small",34,22,2018-06-23,527176,3857608
52,"Unit36","SA","small",32,25,2018-06-21,526863,3856652
53,"Unit238","SB","small",15,2,2018-07-29,527155,3858164
54,"Unit223","SA","small",28,18,2018-09-02,524804,3858216
55,"Unit120","SB","small",15,43,2018-07-27,527513,3857217
56,"Unit177","SB","small",25,13,2018-08-18,527009,3857730
57,"Unit284","SA","small",32,6,2018-09-03,524949,3858705
58,"Unit258","SB","small",14,13,2018-07-30,527167,3858318
59,"Unit126","SA","small",20,13,2018-09-22,525272,3857394
60,"Unit80","SA","small",10,3,2018-07-13,527472,3856881
61,"Unit61","SA","small",37,52,2018-08-03,524522,3856988
62,"Unit153","SA","small",20,27,2018-07-21,526391,3857552
63,"Unit159","SA","small",13,31,2018-07-07,527343,3857525
64,"Unit210","SB","small",35,46,2018-09-09,525936,3858085
65,"Unit276","SB","small",32,5,2018-07-09,526843,3858547
66,"Unit242","SA","small",23,6,2018-07-09,524634,3858354
67,"Unit281","SB","small",24,25,2018-07-23,524495,3858673
68,"Unit27","SB","small",34,25,2018-08-30,525442,3856660
69,"Unit11","SA","small",37,22,2018-08-30,526071,3856514
70,"Unit260","SA","small",20,42,2018-09-10,527511,3858342
71,"Unit195","SD","small",2,43,2018-07-01,526723,3857797
72,"Unit279","SB","small",9,9,2018-07-16,527320,3858456
73,"Unit163","SB","small",10,3,2018-08-18,524788,3857671
74,"Unit14","SA","small",1,20,2018-07-12,526542,3856372
75,"Unit74","SB","small",34,25,2018-07-27,526547,3856976
76,"Unit8","SA","small",18,56,2018-09-20,525631,3856439
77,"Unit129","SA","small",28,3,2018-09-08,525736,3857426
78,"Unit290","SA","small",17,24,2018-07-30,525915,3858646
79,"Unit100","SB","small",6,18,2018-07-20,527488,3857023
80,"Unit101","SA","small",8,5,2018-08-03,524475,3857189
81,"Unit137","SA","small",10,31,2018-09-01,527027,3857355
82,"Unit174","SA","small",10,31,2018-07-21,526553,3857671
83,"Unit300","SA","small",20,20,2018-06-25,527489,3858658
84,"Unit277","SA","small",4,34,2018-07-30,527030,3858437
85,"Unit62","SC","small",7,61,2018-07-27,524688,3856869
86,"Unit67","SB","small",38,16,2018-08-24,525433,3856992
87,"Unit106","SB","small",10,11,2018-08-03,525270,3857197
88,"Unit237","SA","small",20,18,2018-09-09,527013,3858184
89,"Unit105","SA","small",16,94,2018-07-20,525195,3857221
90,"Unit115","SA","small",15,1,2018-07-20,526681,3857217
91,"Unit204","SA","small",16,10,2018-12-02,524953,3858010
92,"Unit155","SB","small",34,1,2018-10-20,526681,3857608
93,"Unit31","SA","small",17,29,2018-11-08,526077,3856593
94,"Unit218","SA","small",12,50,2018-12-02,527204,3857994
95,"Unit153","SA","small",9,10,2018-12-08,526374,3857509
96,"Unit244","SB","small",17,3,2018-10-08,524946,3858330
97,"Unit123","SD","small",8,2,2018-10-27,524787,3857347
98,"Unit286","SB","small",22,32,2018-11-05,525291,3858666
99,"Unit51","SA","small",34,53,2018-12-06,526101,3856818
100,"Unit163","SB","small",26,8,2018-11-17,524793,3857734
101,"Unit163","SB","small",33,20,2018-11-03,524805,3857762
102,"Unit149","SB","small",36,59,2018-11-10,525792,3857616
103,"Unit296","SC","small",15,11,2018-11-12,526849,3858638
104,"Unit257","SA","small",9,22,2018-12-10,527018,3858298
105,"Unit77","SB","small",6,30,2018-11-23,527025,3856866
106,"Unit15","SA","small",13,16,2018-10-11,526695,3856419
107,"Unit87","SA","small",11,1,2018-12-14,525418,3857043
108,"Unit23","SB","small",14,0,2018-11-08,524786,3856581
109,"Unit33","SB","small",34,19,2018-11-08,526383,3856660
110,"Unit286","MA","med",27,49,2018-02-05,525308,3858685
111,"Unit112","MB","med",4,31,2018-01-26,526237,3857173
112,"Unit100","MA","med",35,16,2018-03-23,527486,3857138
113,"Unit239","MA","med",16,66,2018-02-18,527378,3858168
114,"Unit78","MB","med",10,18,2018-03-02,527171,3856881
115,"Unit23","MC","med",9,41,2018-01-04,524826,3856562
116,"Unit66","MA","med",2,91,2018-03-16,525350,3856850
117,"Unit137","MB","med",4,138,2018-01-13,527134,3857331
118,"Unit258","MA","med",35,91,2018-03-12,527245,3858401
119,"Unit82","MB","med",24,1,2018-01-19,524629,3857094
120,"Unit119","MB","med",37,97,2018-04-06,527408,3857304
121,"Unit21","MB","med",30,88,2018-05-10,524557,3856644
122,"Unit253","MB","med",8,38,2018-04-09,526402,3858294
123,"Unit160","MB","med",38,2,2018-04-28,527471,3857623
124,"Unit98","MB","med",25,47,2018-03-23,527201,3857098
125,"Unit73","MA","med",18,145,2018-05-11,526510,3856913
126,"Unit79","MA","med",28,34,2018-03-30,527346,3856952
127,"Unit212","MA","med",2,93,2018-05-13,526299,3857955
128,"Unit50","MB","med",15,27,2018-04-05,525918,3856743
129,"Unit261","MB","med",1,59,2018-04-02,524528,3858425
130,"Unit135","MB","med",30,2,2018-04-21,526682,3857434
131,"Unit141","MA","med",36,34,2018-04-21,524504,3857616
132,"Unit107","MB","med",16,61,2018-06-08,525478,3857221
133,"Unit64","MA","med",25,53,2018-04-13,524996,3856941
134,"Unit279","MA","med",26,61,2018-06-18,527372,3858523
135,"Unit219","MA","med",9,49,2018-04-01,527360,3857983
136,"Unit26","ME","med",30,18,2018-06-07,525277,3856644
137,"Unit15","MB","med",10,29,2018-04-19,526709,3856408
138,"Unit22","MB","med",16,115,2018-05-10,524743,3856589
139,"Unit12","MB","med",38,31,2018-06-28,526237,3856518
140,"Unit79","MB","med",31,38,2018-08-10,527350,3856964
141,"Unit221","MB","med",23,124,2018-07-22,524594,3858196
142,"Unit3","MA","med",25,120,2018-08-16,524905,3856467
143,"Unit77","MA","med",19,41,2018-06-29,527037,3856917
144,"Unit253","MB","med",17,8,2018-08-06,526372,3858330
145,"Unit108","MB","med",22,29,2018-06-29,525604,3857244
146,"Unit132","MA","med",9,92,2018-08-25,526299,3857351
147,"Unit158","MB","med",31,0,2018-08-25,527154,3857596
148,"Unit245","MB","med",28,70,2018-10-01,525171,3858373
149,"Unit117","MB","med",35,57,2018-07-06,527053,3857296
150,"Unit232","MA","med",30,51,2018-07-22,526257,3858223
151,"Unit204","MA","med",7,90,2018-07-08,525033,3857975
152,"Unit244","MC","med",24,60,2018-10-29,525004,3858358
153,"Unit196","MB","med",27,46,2018-09-30,526884,3857896
154,"Unit252","MB","med",12,18,2018-12-03,526224,3858310
155,"Unit207","MB","med",20,27,2018-10-07,525444,3858026
156,"Unit57","MB","med",34,81,2018-10-04,527077,3856818
157,"Unit118","MB","med",10,24,2018-12-14,527178,3857197
158,"Unit266","MA","med",34,46,2018-10-15,525304,3858555
159,"Unit161","MB","med",38,79,2018-11-24,524548,3857781
160,"Unit130","MA","med",35,15,2018-12-08,525906,3857454
161,"Unit180","LB","lrg",28,79,2017-12-30,527548,3857742
162,"Unit134","LC","lrg",33,126,2018-03-03,526648,3857446
163,"Unit232","LA","lrg",29,11,2018-01-14,526218,3858219
164,"Unit145","LB","lrg",28,27,2018-02-10,525128,3857584
165,"Unit182","LD","lrg",18,101,2018-01-14,524728,3857860
166,"Unit113","LA","lrg",9,98,2018-03-16,526462,3857193
167,"Unit250","LB","lrg",37,117,2018-02-12,526008,3858409
168,"Unit173","LA","lrg",29,8,2018-01-20,526372,3857746
169,"Unit182","LA","lrg",26,74,2018-02-04,524701,3857892
170,"Unit210","LA","lrg",20,92,2018-01-28,525982,3858026
171,"Unit101","LA","lrg",33,6,2018-01-05,524475,3857288
172,"Unit206","LA","lrg",30,46,2018-01-14,525305,3858066
173,"Unit183","LB","lrg",38,65,2018-01-28,524850,3857939
174,"Unit162","LA","lrg",3,74,2018-06-09,524701,3857643
175,"Unit65","LB","lrg",10,37,2018-06-08,525138,3856881
176,"Unit291","LA","lrg",16,104,2018-05-07,526152,3858642
177,"Unit58","LB","lrg",16,113,2018-04-12,527267,3856747
178,"Unit109","LA","lrg",33,142,2018-05-18,525874,3857288
179,"Unit115","LB","lrg",36,76,2018-04-27,526756,3857300
180,"Unit18","LA","lrg",8,88,2018-06-07,527242,3856400
181,"Unit72","LA","lrg",13,55,2018-05-11,526261,3856893
182,"Unit46","LC","lrg",36,33,2018-06-07,525292,3856826
183,"Unit138","LB","lrg",13,34,2018-05-12,527188,3857367
184,"Unit210","LA","lrg",18,41,2018-05-20,525931,3858018
185,"Unit131","LA","lrg",20,39,2018-05-26,526088,3857394
186,"Unit31","LA","lrg",15,118,2018-04-26,526167,3856585
187,"Unit240","LA","lrg",19,36,2018-06-24,527506,3858180
188,"Unit1","LA","lrg",16,41,2018-06-07,524511,3856431
189,"Unit11","LA","lrg",28,23,2018-07-05,526072,3856479
190,"Unit142","LA","lrg",10,96,2018-08-04,524723,3857513
191,"Unit278","LB","lrg",22,116,2018-07-09,527270,3858508
192,"Unit118","LB","lrg",5,53,2018-08-31,527207,3857177
193,"Unit167","LC","lrg",26,35,2018-09-08,525452,3857734
194,"Unit198","LD","lrg",10,74,2018-08-19,527227,3857829
195,"Unit68","LD","lrg",35,37,2018-07-06,525611,3856980
196,"Unit154","LA","lrg",22,125,2018-08-11,526647,3857560
197,"Unit82","LA","lrg",33,34,2018-07-20,524662,3857130
198,"Unit203","LA","lrg",5,90,2018-07-08,524876,3857967
199,"Unit106","LA","lrg",4,132,2018-09-28,525391,3857173
200,"Unit6","LC","lrg",20,18,2018-08-16,525276,3856447
201,"Unit126","LB","lrg",20,28,2018-09-22,525287,3857394
202,"Unit268","LA","lrg",33,54,2018-09-10,525629,3858551
203,"Unit96","LA","lrg",7,111,2018-07-27,526949,3857027
204,"Unit31","LA","lrg",19,37,2018-07-26,526085,3856601
205,"Unit171","LA","lrg",5,87,2018-07-07,526135,3857651
206,"Unit100","LB","lrg",24,29,2018-07-06,527498,3857094
207,"Unit194","LA","lrg",15,8,2018-10-21,526530,3857848
208,"Unit230","LA","lrg",26,25,2018-10-07,525915,3858208
209,"Unit299","LB","lrg",35,101,2018-12-17,527412,3858717
210,"Unit170","LB","lrg",15,58,2018-10-13,525949,3857691
211,"Unit61","LB","lrg",28,37,2018-12-14,524506,3856952
212,"Unit268","LA","lrg",21,146,2018-11-26,525721,3858504
213,"Unit213","LB","lrg",5,9,2018-12-16,526373,3857967
214,"Unit271","LB","lrg",24,30,2018-10-15,526078,3858516
215,"Unit196","LB","lrg",26,106,2018-12-16,526944,3857892
216,"Unit203","LA","lrg",8,108,2018-10-07,524894,3857979
217,"Unit229","LD","lrg",18,38,2018-10-14,525771,3858176
218,"Unit137","LA","lrg",37,65,2018-12-01,527061,3857462
219,"Unit224","LB","lrg",28,96,2018-10-21,525039,3858216
220,"Unit32","LB","lrg",9,30,2018-11-29,526236,3856562
221,"Unit54","LC","lrg",9,108,2018-12-06,526630,3856719
222,"Unit16","LA","lrg",5,62,2018-10-25,526900,3856388
