Unit,DateSearched,PWAS_S,PWAS_M,PWAS_L,PWAS_XL
3,2/26/2017,0.56,0.56,0.48,0.48
3,2/28/2017,0.56,0.56,0.48,0.48
3,3/2/2017,0.56,0.56,0.48,0.48
3,3/4/2017,0.56,0.56,0.48,0.48
3,3/6/2017,0.56,0.56,0.48,0.48
3,3/8/2017,0.56,0.56,0.48,0.48
3,3/10/2017,0.56,0.56,0.48,0.48
3,3/12/2017,0.56,0.56,0.48,0.48
3,3/14/2017,0.56,0.56,0.48,0.48
3,3/16/2017,0.56,0.56,0.48,0.48
3,3/18/2017,0.56,0.56,0.48,0.48
3,3/20/2017,0.56,0.56,0.48,0.48
3,3/22/2017,0.56,0.56,0.48,0.48
3,3/24/2017,0.56,0.56,0.48,0.48
3,3/26/2017,0.56,0.56,0.48,0.48
3,3/28/2017,0.56,0.56,0.48,0.48
3,3/30/2017,0.56,0.56,0.48,0.48
3,4/1/2017,0.56,0.56,0.48,0.48
3,4/3/2017,0.56,0.56,0.48,0.48
3,4/5/2017,0.56,0.56,0.48,0.48
3,4/7/2017,0.56,0.56,0.48,0.48
3,4/9/2017,0.56,0.56,0.48,0.48
3,4/11/2017,0.56,0.56,0.48,0.48
4,1/2/2017,0.56,0.56,0.48,0.48
4,1/4/2017,0.56,0.56,0.48,0.48
4,1/6/2017,0.56,0.56,0.48,0.48
4,1/8/2017,0.56,0.56,0.48,0.48
4,1/10/2017,0.56,0.56,0.48,0.48
4,1/12/2017,0.56,0.56,0.48,0.48
4,1/14/2017,0.56,0.56,0.48,0.48
4,1/16/2017,0.56,0.56,0.48,0.48
4,1/18/2017,0.56,0.56,0.48,0.48
4,1/20/2017,0.56,0.56,0.48,0.48
4,1/22/2017,0.56,0.56,0.48,0.48
4,1/24/2017,0.56,0.56,0.48,0.48
4,1/26/2017,0.56,0.56,0.48,0.48
4,1/28/2017,0.56,0.56,0.48,0.48
4,1/30/2017,0.56,0.56,0.48,0.48
4,2/1/2017,0.56,0.56,0.48,0.48
4,2/3/2017,0.56,0.56,0.48,0.48
4,2/5/2017,0.56,0.56,0.48,0.48
4,2/7/2017,0.56,0.56,0.48,0.48
4,2/9/2017,0.56,0.56,0.48,0.48
4,2/11/2017,0.56,0.56,0.48,0.48
4,2/13/2017,0.56,0.56,0.48,0.48
4,2/15/2017,0.56,0.56,0.48,0.48
4,2/17/2017,0.56,0.56,0.48,0.48
4,2/19/2017,0.56,0.56,0.48,0.48
4,2/21/2017,0.56,0.56,0.48,0.48
4,2/23/2017,0.56,0.56,0.48,0.48
4,2/25/2017,0.56,0.56,0.48,0.48
4,2/27/2017,0.56,0.56,0.48,0.48
4,3/1/2017,0.56,0.56,0.48,0.48
4,3/3/2017,0.56,0.56,0.48,0.48
4,3/5/2017,0.56,0.56,0.48,0.48
4,3/7/2017,0.56,0.56,0.48,0.48
4,3/9/2017,0.56,0.56,0.48,0.48
4,3/11/2017,0.56,0.56,0.48,0.48
4,3/13/2017,0.56,0.56,0.48,0.48
4,3/15/2017,0.56,0.56,0.48,0.48
4,3/17/2017,0.56,0.56,0.48,0.48
4,3/19/2017,0.56,0.56,0.48,0.48
4,3/21/2017,0.56,0.56,0.48,0.48
4,3/23/2017,0.56,0.56,0.48,0.48
4,3/25/2017,0.56,0.56,0.48,0.48
4,3/27/2017,0.56,0.56,0.48,0.48
4,3/29/2017,0.56,0.56,0.48,0.48
4,3/31/2017,0.56,0.56,0.48,0.48
4,4/2/2017,0.56,0.56,0.48,0.48
4,4/4/2017,0.56,0.56,0.48,0.48
4,4/6/2017,0.56,0.56,0.48,0.48
4,4/8/2017,0.56,0.56,0.48,0.48
4,4/10/2017,0.56,0.56,0.48,0.48
4,4/12/2017,0.56,0.56,0.48,0.48
5,1/1/2017,0.7,0.7,0.6,0.6
5,1/3/2017,0.7,0.7,0.6,0.6
5,1/5/2017,0.7,0.7,0.6,0.6
5,1/7/2017,0.7,0.7,0.6,0.6
5,1/9/2017,0.7,0.7,0.6,0.6
5,1/11/2017,0.7,0.7,0.6,0.6
5,1/13/2017,0.7,0.7,0.6,0.6
5,1/15/2017,0.7,0.7,0.6,0.6
5,1/19/2017,0.7,0.7,0.6,0.6
5,1/21/2017,0.7,0.7,0.6,0.6
5,1/23/2017,0.7,0.7,0.6,0.6
5,1/25/2017,0.7,0.7,0.6,0.6
5,1/27/2017,0.7,0.7,0.6,0.6
5,1/31/2017,0.7,0.7,0.6,0.6
5,2/2/2017,0.7,0.7,0.6,0.6
5,2/4/2017,0.7,0.7,0.6,0.6
5,2/6/2017,0.7,0.7,0.6,0.6
5,2/8/2017,0.7,0.7,0.6,0.6
5,2/10/2017,0.7,0.7,0.6,0.6
5,2/12/2017,0.7,0.7,0.6,0.6
5,2/14/2017,0.7,0.7,0.6,0.6
5,2/16/2017,0.7,0.7,0.6,0.6
5,2/18/2017,0.7,0.7,0.6,0.6
5,2/20/2017,0.7,0.7,0.6,0.6
5,2/22/2017,0.7,0.7,0.6,0.6
5,2/24/2017,0.7,0.7,0.6,0.6
5,2/26/2017,0.7,0.7,0.6,0.6
5,2/28/2017,0.7,0.7,0.6,0.6
5,3/2/2017,0.7,0.7,0.6,0.6
5,3/4/2017,0.7,0.7,0.6,0.6
5,3/6/2017,0.7,0.7,0.6,0.6
5,3/8/2017,0.7,0.7,0.6,0.6
5,3/10/2017,0.7,0.7,0.6,0.6
5,3/12/2017,0.7,0.7,0.6,0.6
5,3/14/2017,0.7,0.7,0.6,0.6
5,3/16/2017,0.7,0.7,0.6,0.6
5,3/18/2017,0.7,0.7,0.6,0.6
5,3/20/2017,0.7,0.7,0.6,0.6
5,3/22/2017,0.7,0.7,0.6,0.6
5,3/24/2017,0.7,0.7,0.6,0.6
5,3/26/2017,0.7,0.7,0.6,0.6
5,3/28/2017,0.7,0.7,0.6,0.6
5,3/30/2017,0.7,0.7,0.6,0.6
5,4/1/2017,0.7,0.7,0.6,0.6
5,4/3/2017,0.7,0.7,0.6,0.6
5,4/5/2017,0.7,0.7,0.6,0.6
5,4/7/2017,0.7,0.7,0.6,0.6
5,4/9/2017,0.7,0.7,0.6,0.6
5,4/11/2017,0.7,0.7,0.6,0.6
