Carcass,Unit,Visibility,GroundCover,Season,HabitatType,Split,SearchSchedule,Size
81,1,H,A,WS,HT2,C1,1,XL
82,1,H,A,WS,HT2,C1,1,XL
83,1,H,B,SF,HT1,C2,1,XL
84,1,H,B,SF,HT1,C2,1,XL
85,1,H,B,SF,HT1,C2,1,XL
86,1,H,B,SF,HT1,C2,1,XL
87,1,H,B,WS,HT1,C2,1,XL
88,1,H,B,WS,HT1,C2,1,XL
89,1,H,B,WS,HT1,C2,1,XL
90,1,H,B,WS,HT2,C1,1,XL
91,1,H,B,WS,HT2,C1,1,XL
92,1,H,B,WS,HT2,C1,1,XL
93,1,H,B,WS,HT2,C1,1,XL
94,1,H,B,WS,HT2,C1,1,XL
95,1,H,B,WS,HT2,C1,1,XL
96,1,L,A,SF,HT1,C2,1,L
97,1,L,A,SF,HT1,C2,1,L
98,1,L,A,SF,HT1,C2,1,L
99,1,L,A,SF,HT1,C2,1,L
100,1,L,A,SF,HT1,C2,1,L
101,1,L,A,SF,HT1,C2,1,L
102,1,L,A,SF,HT2,C1,1,L
103,1,L,A,SF,HT2,C1,1,L
104,1,L,A,SF,HT2,C1,1,L
105,1,L,A,SF,HT2,C1,1,L
106,1,L,A,SF,HT2,C1,1,L
107,1,L,A,SF,HT2,C1,1,L
108,1,L,A,SF,HT2,C2,1,L
109,1,L,A,SF,HT2,C2,1,L
110,1,L,A,SF,HT2,C2,1,L
111,1,L,A,SF,HT2,C2,1,L
112,1,L,A,SF,HT2,C2,1,L
113,1,L,A,SF,HT2,C2,1,L
114,1,L,A,WS,HT1,C1,1,L
115,1,L,A,WS,HT1,C1,1,L
116,1,L,A,WS,HT1,C1,1,L
117,1,L,A,WS,HT1,C2,1,L
118,1,L,A,WS,HT1,C2,1,L
119,1,L,A,WS,HT1,C2,1,L
120,1,L,A,WS,HT1,C2,1,L
121,1,L,A,WS,HT1,C2,1,L
122,1,L,A,WS,HT2,C1,1,L
123,1,L,A,WS,HT2,C1,1,L
124,1,L,A,WS,HT2,C1,1,L
125,1,L,A,WS,HT2,C1,1,L
126,1,L,A,WS,HT2,C1,1,L
127,1,L,A,WS,HT2,C1,1,L
128,1,L,A,WS,HT2,C2,1,L
129,1,L,A,WS,HT2,C2,1,L
130,1,L,A,WS,HT2,C2,1,L
131,1,L,A,WS,HT2,C2,1,L
132,1,L,B,SF,HT1,C1,1,L
133,1,L,B,SF,HT1,C1,1,L
134,1,L,B,SF,HT1,C1,1,L
135,1,L,B,SF,HT1,C1,1,L
136,1,L,B,SF,HT1,C1,1,L
137,1,L,B,SF,HT1,C1,1,L
138,1,L,B,SF,HT1,C2,1,L
139,1,L,B,SF,HT1,C2,1,L
140,1,L,B,SF,HT1,C2,1,L
141,1,L,B,SF,HT1,C2,1,L
142,1,L,B,SF,HT1,C2,1,L
143,1,L,B,SF,HT2,C1,1,L
144,1,L,B,SF,HT2,C1,1,L
145,1,L,B,SF,HT2,C1,1,L
146,1,L,B,SF,HT2,C1,1,L
147,1,L,B,SF,HT2,C2,1,L
148,1,L,B,SF,HT2,C2,1,L
149,1,L,B,SF,HT2,C2,1,L
150,1,L,B,SF,HT2,C2,1,L
151,1,L,B,SF,HT2,C2,1,L
152,1,L,B,WS,HT1,C1,1,L
153,1,L,B,WS,HT1,C1,1,L
154,1,L,B,WS,HT1,C1,1,L
155,1,L,B,WS,HT1,C2,1,L
156,1,L,B,WS,HT1,C2,1,L
157,1,L,B,WS,HT1,C2,1,L
158,1,L,B,WS,HT1,C2,1,L
159,1,L,B,WS,HT1,C2,1,L
160,1,L,B,WS,HT2,C1,1,L
161,1,L,B,WS,HT2,C1,1,L
162,1,L,B,WS,HT2,C1,1,L
163,1,L,B,WS,HT2,C2,1,L
164,1,L,B,WS,HT2,C2,1,L
165,1,L,B,WS,HT2,C2,1,L
166,1,L,B,WS,HT2,C2,1,L
167,1,L,B,WS,HT2,C2,1,L
168,1,M,A,SF,HT1,C1,1,L
169,1,M,A,SF,HT1,C1,1,L
170,1,M,A,SF,HT1,C1,1,L
171,1,M,A,WS,HT2,C1,1,L
172,1,M,A,WS,HT2,C1,1,L
173,1,M,A,WS,HT2,C1,1,L
174,1,M,A,WS,HT2,C1,1,L
175,1,M,A,WS,HT2,C1,1,L
176,1,M,A,WS,HT2,C1,1,L
177,1,M,B,SF,HT1,C1,1,L
178,1,M,B,SF,HT1,C1,1,L
179,1,M,B,SF,HT1,C1,1,L
180,1,M,B,SF,HT1,C1,1,L
181,1,M,B,SF,HT1,C1,1,L
182,1,M,B,SF,HT2,C2,1,L
183,1,M,B,SF,HT2,C2,1,L
184,1,M,B,SF,HT2,C2,1,L
185,1,M,B,SF,HT2,C2,1,L
186,1,M,B,SF,HT2,C2,1,L
187,1,M,B,SF,HT2,C2,1,L
188,1,M,B,WS,HT1,C2,1,L
189,1,M,B,WS,HT1,C2,1,L
190,1,M,B,WS,HT1,C2,1,L
191,1,M,B,WS,HT1,C2,1,L
192,1,M,B,WS,HT2,C1,1,L
193,1,M,B,WS,HT2,C1,1,L
194,1,M,B,WS,HT2,C1,1,L
195,1,M,B,WS,HT2,C1,1,L
196,1,M,B,WS,HT2,C1,1,L
197,1,M,B,WS,HT2,C2,1,L
198,1,M,B,WS,HT2,C2,1,L
199,1,M,B,WS,HT2,C2,1,L
200,1,H,A,WS,HT2,C1,1,L
201,1,H,A,WS,HT2,C1,1,L
202,1,H,A,WS,HT2,C1,1,L
203,1,H,A,WS,HT2,C1,1,L
204,1,H,A,WS,HT2,C1,1,L
205,1,H,A,WS,HT2,C1,1,L
206,1,H,B,SF,HT1,C2,1,L
207,1,H,B,SF,HT1,C2,1,L
208,1,H,B,SF,HT1,C2,1,L
209,1,H,B,SF,HT2,C2,1,L
210,1,H,B,SF,HT2,C2,1,L
211,1,H,B,SF,HT2,C2,1,L
212,1,H,B,SF,HT2,C2,1,L
213,1,H,B,WS,HT1,C2,1,L
214,1,H,B,WS,HT1,C2,1,L
215,1,H,B,WS,HT1,C2,1,L
216,1,H,B,WS,HT1,C2,1,L
217,1,H,B,WS,HT2,C1,1,L
218,1,H,B,WS,HT2,C1,1,L
219,1,H,B,WS,HT2,C1,1,L
220,1,L,A,SF,HT1,C1,1,M
221,1,L,A,SF,HT1,C1,1,M
222,1,L,A,SF,HT1,C1,1,M
223,1,L,A,SF,HT1,C1,1,M
224,1,L,A,SF,HT1,C1,1,M
225,1,L,A,SF,HT1,C2,1,M
226,1,L,A,SF,HT1,C2,1,M
227,1,L,A,SF,HT1,C2,1,M
228,1,L,A,SF,HT2,C1,1,M
229,1,L,A,SF,HT2,C1,1,M
230,1,L,A,SF,HT2,C1,1,M
231,1,L,A,SF,HT2,C1,1,M
232,1,L,A,SF,HT2,C1,1,M
233,1,L,A,SF,HT2,C1,1,M
234,1,L,A,SF,HT2,C2,1,M
235,1,L,A,SF,HT2,C2,1,M
236,1,L,A,SF,HT2,C2,1,M
237,1,L,A,SF,HT2,C2,1,M
238,1,L,A,SF,HT2,C2,1,M
239,1,L,A,WS,HT1,C1,1,M
240,1,L,A,WS,HT1,C1,1,M
241,1,L,A,WS,HT1,C1,1,M
242,1,L,A,WS,HT1,C1,1,M
243,1,L,A,WS,HT1,C2,1,M
244,1,L,A,WS,HT1,C2,1,M
245,1,L,A,WS,HT1,C2,1,M
246,1,L,A,WS,HT2,C1,1,M
247,1,L,A,WS,HT2,C1,1,M
248,1,L,A,WS,HT2,C1,1,M
249,1,L,A,WS,HT2,C1,1,M
250,1,L,A,WS,HT2,C2,1,M
251,1,L,A,WS,HT2,C2,1,M
252,1,L,A,WS,HT2,C2,1,M
253,1,L,B,SF,HT1,C1,1,M
254,1,L,B,SF,HT1,C1,1,M
255,1,L,B,SF,HT1,C1,1,M
256,1,L,B,SF,HT1,C1,1,M
257,1,L,B,SF,HT1,C1,1,M
258,1,L,B,SF,HT1,C1,1,M
259,1,L,B,SF,HT1,C2,1,M
260,1,L,B,SF,HT1,C2,1,M
261,1,L,B,SF,HT1,C2,1,M
262,1,L,B,SF,HT1,C2,1,M
263,1,L,B,SF,HT2,C1,1,M
264,1,L,B,SF,HT2,C1,1,M
265,1,L,B,SF,HT2,C1,1,M
266,1,L,B,SF,HT2,C2,1,M
267,1,L,B,SF,HT2,C2,1,M
268,1,L,B,SF,HT2,C2,1,M
269,1,L,B,SF,HT2,C2,1,M
270,1,L,B,WS,HT1,C1,1,M
271,1,L,B,WS,HT1,C1,1,M
272,1,L,B,WS,HT1,C1,1,M
273,1,L,B,WS,HT1,C1,1,M
274,1,L,B,WS,HT1,C1,1,M
275,1,L,B,WS,HT1,C1,1,M
276,1,L,B,WS,HT1,C2,1,M
277,1,L,B,WS,HT1,C2,1,M
278,1,L,B,WS,HT1,C2,1,M
279,1,L,B,WS,HT2,C1,1,M
280,1,L,B,WS,HT2,C1,1,M
281,1,L,B,WS,HT2,C1,1,M
282,1,L,B,WS,HT2,C1,1,M
283,1,L,B,WS,HT2,C2,1,M
284,1,L,B,WS,HT2,C2,1,M
285,1,L,B,WS,HT2,C2,1,M
286,1,L,B,WS,HT2,C2,1,M
287,1,M,A,SF,HT1,C1,1,M
288,1,M,A,SF,HT1,C1,1,M
289,1,M,A,SF,HT1,C1,1,M
290,1,M,A,SF,HT1,C1,1,M
291,1,M,A,SF,HT1,C1,1,M
292,1,M,A,SF,HT2,C1,1,M
293,1,M,A,SF,HT2,C1,1,M
294,1,M,A,SF,HT2,C1,1,M
295,1,M,A,WS,HT1,C1,1,M
296,1,M,A,WS,HT1,C1,1,M
297,1,M,A,WS,HT1,C1,1,M
298,1,M,A,WS,HT2,C1,1,M
299,1,M,A,WS,HT2,C1,1,M
300,1,M,A,WS,HT2,C1,1,M
301,1,M,A,WS,HT2,C1,1,M
302,1,M,A,WS,HT2,C1,1,M
303,1,M,B,SF,HT1,C1,1,M
304,1,M,B,SF,HT1,C1,1,M
305,1,M,B,SF,HT1,C1,1,M
306,1,M,B,SF,HT2,C1,1,M
307,1,M,B,SF,HT2,C1,1,M
308,1,M,B,SF,HT2,C1,1,M
309,1,M,B,SF,HT2,C1,1,M
310,1,M,B,SF,HT2,C2,1,M
311,1,M,B,SF,HT2,C2,1,M
312,1,M,B,SF,HT2,C2,1,M
313,1,M,B,SF,HT2,C2,1,M
314,1,M,B,WS,HT1,C2,1,M
315,1,M,B,WS,HT1,C2,1,M
316,1,M,B,WS,HT1,C2,1,M
317,1,M,B,WS,HT1,C2,1,M
318,1,M,B,WS,HT1,C2,1,M
319,1,M,B,WS,HT2,C1,1,M
320,1,M,B,WS,HT2,C1,1,M
321,1,M,B,WS,HT2,C1,1,M
322,1,M,B,WS,HT2,C1,1,M
323,1,M,B,WS,HT2,C1,1,M
324,1,M,B,WS,HT2,C2,1,M
325,1,M,B,WS,HT2,C2,1,M
326,1,M,B,WS,HT2,C2,1,M
327,1,M,B,WS,HT2,C2,1,M
328,1,M,B,WS,HT2,C2,1,M
329,1,M,B,WS,HT2,C2,1,M
330,1,H,A,SF,HT1,C1,1,M
331,1,H,A,SF,HT1,C1,1,M
332,1,H,A,SF,HT1,C1,1,M
333,1,H,A,SF,HT1,C1,1,M
334,1,H,A,SF,HT1,C1,1,M
335,1,H,A,SF,HT1,C1,1,M
336,1,H,A,SF,HT2,C2,1,M
337,1,H,A,SF,HT2,C2,1,M
338,1,H,A,SF,HT2,C2,1,M
339,1,H,A,WS,HT2,C1,1,M
340,1,H,A,WS,HT2,C1,1,M
341,1,H,A,WS,HT2,C1,1,M
342,1,H,A,WS,HT2,C1,1,M
343,1,H,B,SF,HT1,C2,1,M
344,1,H,B,SF,HT1,C2,1,M
345,1,H,B,SF,HT1,C2,1,M
346,1,H,B,SF,HT1,C2,1,M
347,1,H,B,SF,HT1,C2,1,M
348,1,H,B,SF,HT1,C2,1,M
349,1,H,B,SF,HT2,C2,1,M
350,1,H,B,SF,HT2,C2,1,M
351,1,H,B,SF,HT2,C2,1,M
352,1,H,B,SF,HT2,C2,1,M
353,1,H,B,SF,HT2,C2,1,M
354,1,H,B,WS,HT1,C2,1,M
355,1,H,B,WS,HT1,C2,1,M
356,1,H,B,WS,HT1,C2,1,M
357,1,H,B,WS,HT1,C2,1,M
358,1,H,B,WS,HT2,C1,1,M
359,1,H,B,WS,HT2,C1,1,M
360,1,H,B,WS,HT2,C1,1,M
361,1,H,B,WS,HT2,C1,1,M
362,1,H,B,WS,HT2,C2,1,M
363,1,H,B,WS,HT2,C2,1,M
364,1,H,B,WS,HT2,C2,1,M
365,1,H,B,WS,HT2,C2,1,M
366,1,L,A,SF,HT1,C1,1,S
367,1,L,A,SF,HT1,C1,1,S
368,1,L,A,SF,HT1,C1,1,S
369,1,L,A,SF,HT1,C1,1,S
370,1,L,A,SF,HT1,C2,1,S
371,1,L,A,SF,HT1,C2,1,S
372,1,L,A,SF,HT1,C2,1,S
373,1,L,A,SF,HT1,C2,1,S
374,1,L,A,SF,HT2,C1,1,S
375,1,L,A,SF,HT2,C1,1,S
376,1,L,A,SF,HT2,C1,1,S
377,1,L,A,SF,HT2,C1,1,S
378,1,L,A,SF,HT2,C1,1,S
379,1,L,A,SF,HT2,C2,1,S
380,1,L,A,SF,HT2,C2,1,S
381,1,L,A,SF,HT2,C2,1,S
382,1,L,A,SF,HT2,C2,1,S
383,1,L,A,WS,HT1,C1,1,S
384,1,L,A,WS,HT1,C1,1,S
385,1,L,A,WS,HT1,C1,1,S
386,1,L,A,WS,HT1,C2,1,S
387,1,L,A,WS,HT1,C2,1,S
388,1,L,A,WS,HT1,C2,1,S
389,1,L,A,WS,HT1,C2,1,S
390,1,L,A,WS,HT2,C1,1,S
391,1,L,A,WS,HT2,C1,1,S
392,1,L,A,WS,HT2,C1,1,S
393,1,L,A,WS,HT2,C1,1,S
394,1,L,A,WS,HT2,C1,1,S
395,1,L,A,WS,HT2,C1,1,S
396,1,L,A,WS,HT2,C2,1,S
397,1,L,A,WS,HT2,C2,1,S
398,1,L,A,WS,HT2,C2,1,S
399,1,L,A,WS,HT2,C2,1,S
400,1,L,A,WS,HT2,C2,1,S
401,1,L,B,SF,HT1,C1,1,S
402,1,L,B,SF,HT1,C1,1,S
403,1,L,B,SF,HT1,C1,1,S
404,1,L,B,SF,HT1,C1,1,S
405,1,L,B,SF,HT1,C1,1,S
406,1,L,B,SF,HT1,C2,1,S
407,1,L,B,SF,HT1,C2,1,S
408,1,L,B,SF,HT1,C2,1,S
409,1,L,B,SF,HT1,C2,1,S
410,1,L,B,SF,HT2,C1,1,S
411,1,L,B,SF,HT2,C1,1,S
412,1,L,B,SF,HT2,C1,1,S
413,1,L,B,SF,HT2,C2,1,S
414,1,L,B,SF,HT2,C2,1,S
415,1,L,B,SF,HT2,C2,1,S
416,1,L,B,WS,HT1,C1,1,S
417,1,L,B,WS,HT1,C1,1,S
418,1,L,B,WS,HT1,C1,1,S
419,1,L,B,WS,HT1,C1,1,S
420,1,L,B,WS,HT1,C1,1,S
421,1,L,B,WS,HT1,C1,1,S
422,1,L,B,WS,HT1,C2,1,S
423,1,L,B,WS,HT1,C2,1,S
424,1,L,B,WS,HT1,C2,1,S
425,1,L,B,WS,HT2,C1,1,S
426,1,L,B,WS,HT2,C1,1,S
427,1,L,B,WS,HT2,C1,1,S
428,1,L,B,WS,HT2,C1,1,S
429,1,L,B,WS,HT2,C1,1,S
430,1,L,B,WS,HT2,C2,1,S
431,1,L,B,WS,HT2,C2,1,S
432,1,L,B,WS,HT2,C2,1,S
433,1,L,B,WS,HT2,C2,1,S
434,1,M,A,SF,HT1,C1,1,S
435,1,M,A,SF,HT1,C1,1,S
436,1,M,A,SF,HT1,C1,1,S
437,1,M,A,SF,HT1,C1,1,S
438,1,M,A,SF,HT1,C1,1,S
439,1,M,A,SF,HT2,C1,1,S
440,1,M,A,SF,HT2,C1,1,S
441,1,M,A,SF,HT2,C1,1,S
442,1,M,A,SF,HT2,C1,1,S
443,1,M,A,SF,HT2,C1,1,S
444,1,M,A,WS,HT1,C1,1,S
445,1,M,A,WS,HT1,C1,1,S
446,1,M,A,WS,HT1,C1,1,S
447,1,M,A,WS,HT1,C1,1,S
448,1,M,A,WS,HT1,C1,1,S
449,1,M,A,WS,HT2,C1,1,S
450,1,M,A,WS,HT2,C1,1,S
451,1,M,A,WS,HT2,C1,1,S
452,1,M,B,SF,HT1,C1,1,S
453,1,M,B,SF,HT1,C1,1,S
454,1,M,B,SF,HT1,C1,1,S
455,1,M,B,SF,HT2,C1,1,S
456,1,M,B,SF,HT2,C1,1,S
457,1,M,B,SF,HT2,C1,1,S
458,1,M,B,SF,HT2,C1,1,S
459,1,M,B,SF,HT2,C1,1,S
460,1,M,B,SF,HT2,C1,1,S
461,1,M,B,SF,HT2,C2,1,S
462,1,M,B,SF,HT2,C2,1,S
463,1,M,B,SF,HT2,C2,1,S
464,1,M,B,WS,HT1,C2,1,S
465,1,M,B,WS,HT1,C2,1,S
466,1,M,B,WS,HT1,C2,1,S
467,1,M,B,WS,HT1,C2,1,S
468,1,M,B,WS,HT2,C1,1,S
469,1,M,B,WS,HT2,C1,1,S
470,1,M,B,WS,HT2,C1,1,S
471,1,M,B,WS,HT2,C1,1,S
472,1,M,B,WS,HT2,C1,1,S
473,1,M,B,WS,HT2,C1,1,S
474,1,M,B,WS,HT2,C2,1,S
475,1,M,B,WS,HT2,C2,1,S
476,1,M,B,WS,HT2,C2,1,S
477,1,H,A,SF,HT1,C1,1,S
478,1,H,A,SF,HT1,C1,1,S
479,1,H,A,SF,HT1,C1,1,S
480,1,H,A,SF,HT1,C1,1,S
481,1,H,A,SF,HT1,C1,1,S
482,1,H,A,SF,HT2,C2,1,S
483,1,H,A,SF,HT2,C2,1,S
484,1,H,A,SF,HT2,C2,1,S
485,1,H,A,SF,HT2,C2,1,S
486,1,H,A,WS,HT2,C1,1,S
487,1,H,A,WS,HT2,C1,1,S
488,1,H,A,WS,HT2,C1,1,S
489,1,H,A,WS,HT2,C1,1,S
490,1,H,A,WS,HT2,C1,1,S
491,1,H,A,WS,HT2,C1,1,S
492,1,H,B,SF,HT1,C2,1,S
493,1,H,B,SF,HT1,C2,1,S
494,1,H,B,SF,HT1,C2,1,S
495,1,H,B,SF,HT1,C2,1,S
496,1,H,B,SF,HT1,C2,1,S
497,1,H,B,SF,HT1,C2,1,S
498,1,H,B,SF,HT2,C2,1,S
499,1,H,B,SF,HT2,C2,1,S
500,1,H,B,SF,HT2,C2,1,S
501,1,H,B,SF,HT2,C2,1,S
502,1,H,B,SF,HT2,C2,1,S
503,1,H,B,WS,HT1,C2,1,S
504,1,H,B,WS,HT1,C2,1,S
505,1,H,B,WS,HT1,C2,1,S
506,1,H,B,WS,HT1,C2,1,S
507,1,H,B,WS,HT2,C1,1,S
508,1,H,B,WS,HT2,C1,1,S
509,1,H,B,WS,HT2,C1,1,S
510,1,H,B,WS,HT2,C2,1,S
511,1,H,B,WS,HT2,C2,1,S
512,1,H,B,WS,HT2,C2,1,S
513,1,H,B,WS,HT2,C2,1,S
514,1,H,B,WS,HT2,C2,1,S
515,2,L,A,SF,HT1,C2,1,XL
516,2,L,A,SF,HT1,C2,1,XL
517,2,L,A,SF,HT1,C2,1,XL
518,2,L,A,SF,HT1,C2,1,XL
519,2,L,A,SF,HT1,C2,1,XL
520,2,L,A,SF,HT2,C1,1,XL
521,2,L,A,SF,HT2,C1,1,XL
522,2,L,A,SF,HT2,C1,1,XL
523,2,L,A,SF,HT2,C1,1,XL
524,2,L,A,SF,HT2,C1,1,XL
525,2,L,A,SF,HT2,C2,1,XL
526,2,L,A,SF,HT2,C2,1,XL
527,2,L,A,SF,HT2,C2,1,XL
528,2,L,A,SF,HT2,C2,1,XL
529,2,L,A,SF,HT2,C2,1,XL
530,2,L,A,SF,HT2,C2,1,XL
531,2,L,A,WS,HT1,C1,1,XL
532,2,L,A,WS,HT1,C1,1,XL
533,2,L,A,WS,HT1,C1,1,XL
534,2,L,A,WS,HT1,C1,1,XL
535,2,L,A,WS,HT1,C1,1,XL
536,2,L,A,WS,HT1,C2,1,XL
537,2,L,A,WS,HT1,C2,1,XL
538,2,L,A,WS,HT1,C2,1,XL
539,2,L,A,WS,HT1,C2,1,XL
540,2,L,A,WS,HT2,C1,1,XL
541,2,L,A,WS,HT2,C1,1,XL
542,2,L,A,WS,HT2,C1,1,XL
543,2,L,A,WS,HT2,C2,1,XL
544,2,L,A,WS,HT2,C2,1,XL
545,2,L,A,WS,HT2,C2,1,XL
546,2,L,A,WS,HT2,C2,1,XL
547,2,L,B,SF,HT1,C1,1,XL
548,2,L,B,SF,HT1,C1,1,XL
549,2,L,B,SF,HT1,C1,1,XL
550,2,L,B,SF,HT1,C1,1,XL
551,2,L,B,SF,HT2,C1,1,XL
552,2,L,B,SF,HT2,C1,1,XL
553,2,L,B,SF,HT2,C1,1,XL
554,2,L,B,SF,HT2,C1,1,XL
555,2,L,B,SF,HT2,C2,1,XL
556,2,L,B,SF,HT2,C2,1,XL
557,2,L,B,SF,HT2,C2,1,XL
558,2,L,B,SF,HT2,C2,1,XL
559,2,L,B,WS,HT1,C1,1,XL
560,2,L,B,WS,HT1,C1,1,XL
561,2,L,B,WS,HT1,C1,1,XL
562,2,L,B,WS,HT1,C1,1,XL
563,2,L,B,WS,HT1,C2,1,XL
564,2,L,B,WS,HT1,C2,1,XL
565,2,L,B,WS,HT1,C2,1,XL
566,2,L,B,WS,HT1,C2,1,XL
567,2,L,B,WS,HT1,C2,1,XL
568,2,L,B,WS,HT1,C2,1,XL
569,2,L,B,WS,HT2,C1,1,XL
570,2,L,B,WS,HT2,C1,1,XL
571,2,L,B,WS,HT2,C1,1,XL
572,2,L,B,WS,HT2,C1,1,XL
573,2,L,B,WS,HT2,C2,1,XL
574,2,L,B,WS,HT2,C2,1,XL
575,2,L,B,WS,HT2,C2,1,XL
576,2,L,B,WS,HT2,C2,1,XL
577,2,L,B,WS,HT2,C2,1,XL
578,2,M,A,SF,HT1,C2,1,XL
579,2,M,A,SF,HT1,C2,1,XL
580,2,M,A,SF,HT1,C2,1,XL
581,2,M,A,WS,HT1,C1,1,XL
582,2,M,A,WS,HT1,C1,1,XL
583,2,M,A,WS,HT1,C1,1,XL
584,2,M,A,WS,HT1,C1,1,XL
585,2,M,A,WS,HT1,C1,1,XL
586,2,M,A,WS,HT1,C1,1,XL
587,2,M,B,SF,HT2,C2,1,XL
588,2,M,B,SF,HT2,C2,1,XL
589,2,M,B,SF,HT2,C2,1,XL
590,2,M,B,WS,HT1,C1,1,XL
591,2,M,B,WS,HT1,C1,1,XL
592,2,M,B,WS,HT1,C1,1,XL
593,2,M,B,WS,HT1,C1,1,XL
594,2,M,B,WS,HT1,C2,1,XL
595,2,M,B,WS,HT1,C2,1,XL
596,2,M,B,WS,HT1,C2,1,XL
597,2,M,B,WS,HT1,C2,1,XL
598,2,M,B,WS,HT2,C1,1,XL
599,2,M,B,WS,HT2,C1,1,XL
600,2,M,B,WS,HT2,C1,1,XL
601,2,M,B,WS,HT2,C1,1,XL
602,2,M,B,WS,HT2,C1,1,XL
603,2,M,B,WS,HT2,C1,1,XL
604,2,M,B,WS,HT2,C2,1,XL
605,2,M,B,WS,HT2,C2,1,XL
606,2,M,B,WS,HT2,C2,1,XL
607,2,H,A,WS,HT1,C1,1,XL
608,2,H,A,WS,HT1,C1,1,XL
609,2,H,A,WS,HT1,C1,1,XL
610,2,H,A,WS,HT1,C1,1,XL
611,2,H,A,WS,HT2,C1,1,XL
612,2,H,A,WS,HT2,C1,1,XL
613,2,H,A,WS,HT2,C1,1,XL
614,2,H,A,WS,HT2,C1,1,XL
615,2,H,A,WS,HT2,C1,1,XL
616,2,L,A,SF,HT1,C1,1,L
617,2,L,A,SF,HT1,C1,1,L
618,2,L,A,SF,HT1,C1,1,L
619,2,L,A,SF,HT1,C1,1,L
620,2,L,A,SF,HT1,C1,1,L
621,2,L,A,SF,HT1,C2,1,L
622,2,L,A,SF,HT1,C2,1,L
623,2,L,A,SF,HT1,C2,1,L
