"","Season","Size","Field","Search1","Search2","Search3","Search4","Search5"
"424","spring","lrg","outer",1,NA,NA,NA,NA
"425","spring","lrg","outer",1,NA,NA,NA,NA
"426","spring","lrg","outer",0,1,NA,NA,NA
"427","spring","lrg","outer",1,NA,NA,NA,NA
"428","spring","lrg","outer",1,NA,NA,NA,NA
"429","spring","lrg","outer",1,NA,NA,NA,NA
"430","spring","lrg","outer",0,1,NA,NA,NA
"431","spring","lrg","outer",0,0,1,NA,NA
"432","spring","lrg","outer",1,NA,NA,NA,NA
"433","spring","lrg","outer",0,1,NA,NA,NA
"434","spring","lrg","outer",0,1,NA,NA,NA
"435","spring","lrg","outer",1,NA,NA,NA,NA
"436","spring","lrg","outer",1,NA,NA,NA,NA
"437","spring","lrg","outer",1,NA,NA,NA,NA
"438","spring","lrg","outer",1,NA,NA,NA,NA
"439","spring","lrg","outer",0,0,1,NA,NA
"440","spring","lrg","outer",1,NA,NA,NA,NA
"441","summer","lrg","outer",0,0,0,1,NA
"442","summer","lrg","outer",1,NA,NA,NA,NA
"443","summer","lrg","outer",1,NA,NA,NA,NA
"444","summer","lrg","outer",0,1,NA,NA,NA
"445","summer","lrg","outer",1,NA,NA,NA,NA
"446","summer","lrg","outer",0,1,NA,NA,NA
"447","summer","lrg","outer",1,NA,NA,NA,NA
"448","summer","lrg","outer",1,NA,NA,NA,NA
"449","summer","lrg","outer",0,1,NA,NA,NA
"450","summer","lrg","outer",1,NA,NA,NA,NA
"451","summer","lrg","outer",1,NA,NA,NA,NA
"452","summer","lrg","outer",0,1,NA,NA,NA
"453","summer","lrg","outer",1,NA,NA,NA,NA
"454","summer","lrg","outer",0,1,NA,NA,NA
"455","summer","lrg","outer",1,NA,NA,NA,NA
"456","summer","lrg","outer",1,NA,NA,NA,NA
"457","summer","lrg","outer",1,NA,NA,NA,NA
"458","summer","lrg","outer",0,0,1,NA,NA
"459","summer","lrg","outer",1,NA,NA,NA,NA
"460","summer","lrg","outer",1,NA,NA,NA,NA
"461","fall","lrg","outer",1,NA,NA,NA,NA
"462","fall","lrg","outer",1,NA,NA,NA,NA
"463","fall","lrg","outer",1,NA,NA,NA,NA
"464","fall","lrg","outer",1,NA,NA,NA,NA
"465","fall","lrg","outer",1,NA,NA,NA,NA
"466","fall","lrg","outer",1,NA,NA,NA,NA
"467","fall","lrg","outer",1,NA,NA,NA,NA
"468","fall","lrg","outer",1,NA,NA,NA,NA
"469","fall","lrg","outer",1,NA,NA,NA,NA
"470","fall","lrg","outer",1,NA,NA,NA,NA
"471","fall","lrg","outer",1,NA,NA,NA,NA
"472","fall","lrg","outer",1,NA,NA,NA,NA
"473","fall","lrg","outer",0,1,NA,NA,NA
"474","fall","lrg","outer",1,NA,NA,NA,NA
"475","fall","lrg","outer",1,NA,NA,NA,NA
"476","fall","lrg","outer",1,NA,NA,NA,NA
"477","fall","lrg","outer",0,1,NA,NA,NA
"478","fall","lrg","outer",0,1,NA,NA,NA
"479","fall","lrg","outer",1,NA,NA,NA,NA
"480","fall","lrg","outer",1,NA,NA,NA,NA
