sort,Name,File,Documented,Documentation follows CRAN template,Documented by,Documentation reviewed by,Issues
96,selectData,app_utility_functions,,,,,
97,server,server,,,,,
19,SEsi,searcher_efficiency_functions,,,,,
21,SEsi_left,detection_probability_functions,,,,,
22,SEsi_right,detection_probability_functions,,,,,
20,SEsi0,searcher_efficiency_functions,,,,,
98,setFigH,app_figure_functions,Yes,,?,,
99,setFigW,app_figure_functions,Yes,,?,,
100,setkFillNeed,app_utility_functions,,,,,
101,setkFix,app_utility_functions,,,,,
102,simpleMplot,mortality_figure_functions,,,,,
23,SS,detection_probability_functions,,,,,
103,transposeSplits,splits_functions,,,,,
104,trimSetSize,model_utility_functions,,,,,
105,trueLength,utility_functions,,,,,
106,ui,ui,,,,,
107,updateColNames_all,app_utility_functions,,,,,
108,updateSizeclassCol,app_sizeclass_functions,,,,,
109,updateSizeclasses,app_sizeclass_functions,,,,,
110,yyyymmdd,utility_functions,,,,,
,,dmatrixAlternative,,,,,Does not contain any functions that are in export list 
,,pkm formula wrangling,,,,,Does not contain any functions that are in export list 
,,pkm2Testing,,,,,Does not contain any functions that are in export list 
,,pkm3,,,,,Does not contain any functions that are in export list 
,,thingsToKnowAbout_pkm2,,,,,Does not contain any functions that are in export list 
