"Index","Unit","Species","Size","Row","Distance","DateFound","X","Y"
122,"Transect22","MC","med",79,49,2018-03-20,527731,3857932
123,"Transect43","MC","med",98,8,2018-05-29,530904,3858312
124,"Transect17","ME","med",54,27,2018-05-26,526945,3857432
125,"Transect50","ME","med",4,8,2018-06-15,531975,3856432
126,"Transect12","MD","med",42,35,2018-04-01,526187,3857192
127,"Transect46","MA","med",29,19,2018-03-26,531373,3856932
128,"Transect58","MC","med",79,54,2018-06-02,533245,3857932
129,"Transect17","ME","med",36,49,2018-05-17,526967,3857072
130,"Transect26","MA","med",65,70,2018-04-23,528365,3857652
131,"Transect23","ME","med",21,37,2018-04-15,527872,3856772
132,"Transect25","MA","med",32,39,2018-04-12,528181,3856992
133,"Transect8","MC","med",83,13,2018-05-21,525554,3858012
134,"Transect10","MA","med",23,133,2018-03-28,525979,3856812
135,"Transect18","MB","med",31,106,2018-04-28,527176,3856972
136,"Transect30","MA","med",76,51,2018-07-14,528957,3857872
137,"Transect2","MA","med",79,60,2018-09-10,524682,3857932
138,"Transect20","MA","med",69,43,2018-07-13,527419,3857732
139,"Transect31","MD","med",56,120,2018-07-12,529179,3857472
140,"Transect9","MA","med",85,29,2018-08-22,525723,3858052
141,"Transect35","MD","med",16,59,2018-09-14,529730,3856672
142,"Transect21","MA","med",53,71,2018-09-03,527601,3857412
143,"Transect43","MD","med",63,1,2018-06-24,530896,3857612
144,"Transect21","MA","med",46,54,2018-07-06,527583,3857272
145,"Transect21","MA","med",72,68,2018-10-19,527597,3857792
146,"Transect53","MD","med",50,10,2018-11-12,532435,3857352
147,"Transect31","MC","med",65,14,2018-10-13,529074,3857652
148,"Transect21","MB","med",32,74,2018-10-24,527604,3856992
149,"Transect40","MD","med",45,92,2018-10-20,530529,3857252
150,"Transect22","MB","med",86,78,2018-11-01,527760,3858072
151,"Transect25","MB","med",100,79,2018-12-05,528221,3858352
152,"Transect43","MD","med",69,97,2018-10-17,530993,3857732
153,"Transect28","MC","med",36,148,2018-12-15,528749,3857072
154,"Transect6","LE","lrg",37,28,2017-12-23,525263,3857092
155,"Transect27","LA","lrg",38,145,2018-01-08,528593,3857112
156,"Transect33","LD","lrg",41,2,2018-02-12,529368,3857172
157,"Transect59","LA","lrg",3,60,2017-12-29,533404,3856412
158,"Transect11","LD","lrg",54,99,2018-01-21,526098,3857432
159,"Transect10","LA","lrg",62,66,2018-02-01,525913,3857592
160,"Transect9","LC","lrg",19,41,2018-01-25,525735,3856732
161,"Transect36","LD","lrg",57,72,2018-04-15,529896,3857492
162,"Transect38","LC","lrg",70,4,2018-03-30,530135,3857752
163,"Transect57","LB","lrg",81,126,2018-05-12,533164,3857972
164,"Transect20","LD","lrg",6,122,2018-04-10,527498,3856472
165,"Transect44","LA","lrg",60,87,2018-05-10,531135,3857552
166,"Transect39","LB","lrg",74,57,2018-03-27,530340,3857832
167,"Transect7","LA","lrg",71,139,2018-04-07,525527,3857772
168,"Transect3","LD","lrg",71,3,2018-07-14,524778,3857772
169,"Transect14","LB","lrg",17,75,2018-08-20,526534,3856692
170,"Transect22","LA","lrg",25,107,2018-07-09,527789,3856852
171,"Transect55","LD","lrg",4,141,2018-08-19,532873,3856432
172,"Transect1","LC","lrg",42,91,2018-07-26,524561,3857192
173,"Transect3","LE","lrg",3,95,2018-09-05,524870,3856412
174,"Transect34","LC","lrg",21,62,2018-07-12,529581,3856772
175,"Transect7","LC","lrg",80,111,2018-08-28,525499,3857952
176,"Transect30","LB","lrg",52,108,2018-09-01,529014,3857392
177,"Transect29","LC","lrg",86,90,2018-07-05,528844,3858072
178,"Transect55","LC","lrg",47,100,2018-12-09,532831,3857292
179,"Transect59","LD","lrg",86,7,2018-10-09,533350,3858072
180,"Transect39","LC","lrg",98,85,2018-12-06,530368,3858312
181,"Transect40","LA","lrg",55,102,2018-10-06,530538,3857452
182,"Transect48","LA","lrg",52,96,2018-11-27,531756,3857392
183,"Transect20","LB","lrg",26,19,2018-10-25,527396,3856872
184,"Transect9","LC","lrg",8,104,2018-12-07,525797,3856512
185,"Transect31","LE","lrg",42,70,2018-10-02,529130,3857192
