ID,DatePlaced,Visibility,HabitatType,Season,Size,Scavenged,Search1,Search2,Search3,Search4
73,1/1/2001,H,HT1,SF,L,0,1,NA,NA,NA
74,1/1/2001,H,HT1,SF,L,0,1,NA,NA,NA
75,1/1/2001,H,HT1,WS,L,0,1,NA,NA,NA
76,1/1/2001,H,HT1,WS,L,0,1,NA,NA,NA
77,1/1/2001,H,HT1,WS,L,0,1,NA,NA,NA
78,1/1/2001,H,HT1,SF,L,0,1,NA,NA,NA
79,1/1/2001,H,HT1,WS,L,0,1,NA,NA,NA
80,1/1/2001,H,HT1,WS,L,0,1,NA,NA,NA
81,1/1/2001,L,HT2,SF,S,0,0,1,NA,NA
82,1/1/2001,L,HT2,SF,S,0,0,1,NA,NA
83,1/1/2001,L,HT2,WS,S,0,0,0,0,1
84,1/1/2001,L,HT2,SF,S,0,0,0,0,0
85,1/1/2001,L,HT2,SF,S,0,0,0,0,0
86,1/1/2001,L,HT2,SF,S,0,0,0,0,0
87,1/1/2001,L,HT2,WS,S,0,0,0,0,0
88,1/1/2001,L,HT2,WS,S,0,0,0,0,0
89,1/1/2001,L,HT2,WS,S,0,0,0,0,0
90,1/1/2001,L,HT2,SF,S,0,0,0,1,NA
91,1/1/2001,L,HT2,WS,S,0,1,NA,NA,NA
92,1/1/2001,L,HT2,WS,S,0,1,NA,NA,NA
93,1/1/2001,L,HT2,SF,S,0,1,NA,NA,NA
94,1/1/2001,L,HT2,SF,S,0,1,NA,NA,NA
95,1/1/2001,L,HT2,WS,S,0,1,NA,NA,NA
96,1/1/2001,L,HT2,SF,S,0,1,NA,NA,NA
97,1/1/2001,L,HT2,SF,S,0,1,NA,NA,NA
98,1/1/2001,L,HT2,SF,S,0,1,NA,NA,NA
99,1/1/2001,L,HT2,WS,S,0,1,NA,NA,NA
100,1/1/2001,L,HT2,WS,S,0,1,NA,NA,NA
101,1/1/2001,L,HT2,WS,L,0,0,0,0,0
102,1/1/2001,L,HT2,SF,L,0,0,0,0,0
103,1/1/2001,L,HT2,WS,L,0,0,0,0,0
104,1/1/2001,L,HT2,WS,L,0,0,0,1,NA
105,1/1/2001,L,HT2,SF,L,0,0,0,0,0
106,1/1/2001,L,HT2,SF,L,0,0,0,0,0
107,1/1/2001,L,HT2,WS,L,0,0,1,NA,NA
108,1/1/2001,L,HT2,SF,L,0,0,0,1,1
109,1/1/2001,L,HT2,SF,L,0,0,1,NA,NA
110,1/1/2001,L,HT2,SF,L,0,0,1,NA,NA
111,1/1/2001,L,HT2,WS,L,0,1,NA,NA,NA
112,1/1/2001,L,HT2,WS,L,0,1,NA,NA,NA
113,1/1/2001,L,HT2,WS,L,0,1,NA,NA,NA
114,1/1/2001,L,HT2,SF,L,0,1,NA,NA,NA
115,1/1/2001,L,HT2,WS,L,0,1,NA,NA,NA
116,1/1/2001,L,HT2,WS,L,0,1,NA,NA,NA
117,1/1/2001,L,HT2,SF,L,0,1,NA,NA,NA
118,1/1/2001,L,HT2,SF,L,0,1,NA,NA,NA
119,1/1/2001,L,HT2,WS,L,0,1,NA,NA,NA
120,1/1/2001,L,HT2,SF,L,0,1,NA,NA,NA
121,1/1/2001,H,HT2,SF,S,0,0,0,0,0
122,1/1/2001,H,HT2,SF,S,0,0,0,0,0
123,1/1/2001,H,HT2,WS,S,0,0,0,0,0
124,1/1/2001,H,HT2,WS,S,0,0,0,1,NA
125,1/1/2001,H,HT2,WS,S,0,0,0,1,NA
126,1/1/2001,H,HT2,SF,S,0,0,1,NA,NA
127,1/1/2001,H,HT2,WS,S,0,0,1,NA,NA
128,1/1/2001,H,HT2,WS,S,0,0,1,NA,NA
129,1/1/2001,H,HT2,SF,S,0,0,0,0,0
130,1/1/2001,H,HT2,SF,S,0,1,NA,NA,NA
131,1/1/2001,H,HT2,WS,S,0,1,NA,NA,NA
132,1/1/2001,H,HT2,SF,S,0,1,NA,NA,NA
133,1/1/2001,H,HT2,SF,S,0,1,NA,NA,NA
134,1/1/2001,H,HT2,SF,S,0,1,NA,NA,NA
135,1/1/2001,H,HT2,WS,S,0,1,NA,NA,NA
136,1/1/2001,H,HT2,WS,S,0,1,NA,NA,NA
137,1/1/2001,H,HT2,WS,S,0,1,NA,NA,NA
138,1/1/2001,H,HT2,SF,S,0,1,NA,NA,NA
139,1/1/2001,H,HT2,WS,S,0,1,NA,NA,NA
140,1/1/2001,H,HT2,WS,S,0,1,NA,NA,NA
141,1/1/2001,H,HT2,SF,L,0,0,0,0,0
142,1/1/2001,H,HT2,SF,L,0,0,0,0,0
143,1/1/2001,H,HT2,WS,L,0,0,0,0,0
144,1/1/2001,H,HT2,SF,L,0,0,1,NA,NA
145,1/1/2001,H,HT2,SF,L,0,0,1,NA,NA
146,1/1/2001,H,HT2,SF,L,0,0,1,NA,NA
147,1/1/2001,H,HT2,WS,L,0,0,0,1,NA
148,1/1/2001,H,HT2,WS,L,0,1,NA,NA,NA
149,1/1/2001,H,HT2,WS,L,0,1,NA,NA,NA
150,1/1/2001,H,HT2,SF,L,0,1,NA,NA,NA
151,1/1/2001,H,HT2,WS,L,0,1,NA,NA,NA
152,1/1/2001,H,HT2,WS,L,0,1,NA,NA,NA
153,1/1/2001,H,HT2,SF,L,0,1,NA,NA,NA
154,1/1/2001,H,HT2,SF,L,0,1,NA,NA,NA
155,1/1/2001,H,HT2,WS,L,0,1,NA,NA,NA
156,1/1/2001,H,HT2,SF,L,0,1,NA,NA,NA
157,1/1/2001,H,HT2,SF,L,0,1,NA,NA,NA
158,1/1/2001,H,HT2,SF,L,0,1,NA,NA,NA
159,1/1/2001,H,HT2,WS,L,0,1,NA,NA,NA
160,1/1/2001,H,HT2,WS,L,0,1,NA,NA,NA
161,1/1/2001,M,HT1,WS,S,0,0,0,0,0
162,1/1/2001,M,HT1,SF,S,0,0,0,1,NA
163,1/1/2001,M,HT1,WS,S,0,0,0,0,0
164,1/1/2001,M,HT1,WS,S,0,0,0,0,0
165,1/1/2001,M,HT1,SF,S,0,0,0,0,0
166,1/1/2001,M,HT1,SF,S,0,0,0,0,0
167,1/1/2001,M,HT1,WS,S,0,0,1,NA,NA
168,1/1/2001,M,HT1,SF,S,0,0,1,NA,NA
169,1/1/2001,M,HT1,SF,S,0,0,1,NA,NA
170,1/1/2001,M,HT1,SF,S,0,1,NA,NA,NA
171,1/1/2001,M,HT1,WS,S,0,1,NA,NA,NA
172,1/1/2001,M,HT1,WS,S,0,1,NA,NA,NA
173,1/1/2001,M,HT1,WS,S,0,1,NA,NA,NA
174,1/1/2001,M,HT1,SF,S,0,1,NA,NA,NA
175,1/1/2001,M,HT1,WS,S,0,1,NA,NA,NA
176,1/1/2001,M,HT1,WS,S,0,1,NA,NA,NA
177,1/1/2001,M,HT1,SF,S,0,1,NA,NA,NA
178,1/1/2001,M,HT1,SF,S,0,1,NA,NA,NA
179,1/1/2001,M,HT1,WS,S,0,1,NA,NA,NA
180,1/1/2001,M,HT1,SF,S,0,1,NA,NA,NA
181,1/1/2001,M,HT1,SF,L,0,0,0,0,0
182,1/1/2001,M,HT1,SF,L,0,0,0,0,0
183,1/1/2001,M,HT1,WS,L,0,0,0,0,0
184,1/1/2001,M,HT1,WS,L,0,0,0,1,NA
185,1/1/2001,M,HT1,WS,L,0,0,0,0,1
186,1/1/2001,M,HT1,SF,L,0,0,1,NA,NA
187,1/1/2001,M,HT1,WS,L,0,0,1,NA,NA
188,1/1/2001,M,HT1,WS,L,0,1,NA,NA,NA
189,1/1/2001,M,HT1,SF,L,0,1,NA,NA,NA
190,1/1/2001,M,HT1,SF,L,0,1,NA,NA,NA
191,1/1/2001,M,HT1,WS,L,0,1,NA,NA,NA
192,1/1/2001,M,HT1,SF,L,0,1,NA,NA,NA
193,1/1/2001,M,HT1,SF,L,0,1,NA,NA,NA
194,1/1/2001,M,HT1,SF,L,0,1,NA,NA,NA
195,1/1/2001,M,HT1,WS,L,0,1,NA,NA,NA
196,1/1/2001,M,HT1,WS,L,0,1,NA,NA,NA
197,1/1/2001,M,HT1,WS,L,0,1,NA,NA,NA
198,1/1/2001,M,HT1,SF,L,0,1,NA,NA,NA
199,1/1/2001,M,HT1,WS,L,0,1,NA,NA,NA
200,1/1/2001,M,HT1,WS,L,0,1,NA,NA,NA
201,1/1/2001,M,HT2,SF,S,0,0,0,0,0
202,1/1/2001,M,HT2,SF,S,0,0,0,0,0
203,1/1/2001,M,HT2,WS,S,0,0,0,0,0
204,1/1/2001,M,HT2,SF,S,0,0,0,1,NA
205,1/1/2001,M,HT2,SF,S,0,0,0,1,NA
206,1/1/2001,M,HT2,SF,S,0,0,1,NA,NA
207,1/1/2001,M,HT2,WS,S,0,0,1,NA,NA
208,1/1/2001,M,HT2,WS,S,0,0,1,NA,NA
209,1/1/2001,M,HT2,WS,S,0,0,0,0,0
210,1/1/2001,M,HT2,SF,S,0,0,0,0,0
211,1/1/2001,M,HT2,WS,S,0,1,NA,NA,NA
212,1/1/2001,M,HT2,WS,S,0,1,NA,NA,NA
213,1/1/2001,M,HT2,SF,S,0,1,NA,NA,NA
214,1/1/2001,M,HT2,SF,S,0,1,NA,NA,NA
215,1/1/2001,M,HT2,WS,S,0,1,NA,NA,NA
216,1/1/2001,M,HT2,SF,S,0,1,NA,NA,NA
217,1/1/2001,M,HT2,SF,S,0,1,NA,NA,NA
218,1/1/2001,M,HT2,SF,S,0,1,NA,NA,NA
219,1/1/2001,M,HT2,WS,S,0,1,NA,NA,NA
220,1/1/2001,M,HT2,WS,S,0,1,NA,NA,NA
221,1/1/2001,M,HT2,WS,L,0,0,0,0,0
222,1/1/2001,M,HT2,SF,L,0,0,0,0,0
223,1/1/2001,M,HT2,WS,L,0,0,0,0,0
224,1/1/2001,M,HT2,WS,L,0,0,0,0,1
225,1/1/2001,M,HT2,SF,L,0,0,0,1,NA
226,1/1/2001,M,HT2,SF,L,0,0,0,1,NA
227,1/1/2001,M,HT2,WS,L,0,0,1,NA,NA
228,1/1/2001,M,HT2,SF,L,0,0,1,NA,NA
229,1/1/2001,M,HT2,SF,L,0,0,1,NA,NA
230,1/1/2001,M,HT2,SF,L,0,1,NA,NA,NA
231,1/1/2001,M,HT2,WS,L,0,1,NA,NA,NA
232,1/1/2001,M,HT2,WS,L,0,1,NA,NA,NA
233,1/1/2001,M,HT2,WS,L,0,1,NA,NA,NA
234,1/1/2001,M,HT2,SF,L,0,1,NA,NA,NA
235,1/1/2001,M,HT2,WS,L,0,1,NA,NA,NA
236,1/1/2001,M,HT2,WS,L,0,1,NA,NA,NA
237,1/1/2001,M,HT2,SF,L,0,1,NA,NA,NA
238,1/1/2001,M,HT2,SF,L,0,1,NA,NA,NA
239,1/1/2001,M,HT2,WS,L,0,1,NA,NA,NA
240,1/1/2001,M,HT2,SF,L,0,1,NA,NA,NA
241,1/1/2001,L,HT1,SF,M,0,0,1,NA,NA
242,1/1/2001,L,HT1,SF,M,0,0,1,NA,NA
243,1/1/2001,L,HT1,WS,M,0,0,1,NA,NA
244,1/1/2001,L,HT1,WS,M,0,0,0,0,0
245,1/1/2001,L,HT1,WS,M,0,0,0,0,1
246,1/1/2001,L,HT1,SF,M,0,0,0,0,1
247,1/1/2001,L,HT1,WS,M,0,0,0,0,0
248,1/1/2001,L,HT1,WS,M,0,0,0,0,0
249,1/1/2001,L,HT1,SF,M,0,0,0,0,0
250,1/1/2001,L,HT1,SF,M,0,0,0,0,0
251,1/1/2001,L,HT1,WS,M,0,1,NA,NA,NA
252,1/1/2001,L,HT1,SF,M,0,1,NA,NA,NA
253,1/1/2001,L,HT1,SF,M,0,1,NA,NA,NA
254,1/1/2001,L,HT1,SF,M,0,1,NA,NA,NA
255,1/1/2001,L,HT1,WS,M,0,1,NA,NA,NA
256,1/1/2001,L,HT1,WS,M,0,1,NA,NA,NA
257,1/1/2001,L,HT1,WS,M,0,1,NA,NA,NA
258,1/1/2001,L,HT1,SF,M,0,1,NA,NA,NA
259,1/1/2001,L,HT1,WS,M,0,1,NA,NA,NA
260,1/1/2001,L,HT1,WS,M,0,1,NA,NA,NA
261,1/1/2001,L,HT1,SF,XL,0,0,0,0,0
262,1/1/2001,L,HT1,SF,XL,0,0,0,0,0
263,1/1/2001,L,HT1,WS,XL,0,0,0,1,NA
264,1/1/2001,L,HT1,SF,XL,0,0,1,NA,NA
265,1/1/2001,L,HT1,SF,XL,0,0,1,NA,NA
266,1/1/2001,L,HT1,SF,XL,0,0,1,NA,NA
267,1/1/2001,L,HT1,WS,XL,0,0,1,NA,NA
268,1/1/2001,L,HT1,WS,XL,0,1,NA,NA,NA
269,1/1/2001,L,HT1,WS,XL,0,1,NA,NA,NA
270,1/1/2001,L,HT1,SF,XL,0,1,NA,NA,NA
271,1/1/2001,L,HT1,WS,XL,0,1,NA,NA,NA
272,1/1/2001,L,HT1,WS,XL,0,1,NA,NA,NA
273,1/1/2001,L,HT1,SF,XL,0,1,NA,NA,NA
274,1/1/2001,L,HT1,SF,XL,0,1,NA,NA,NA
275,1/1/2001,L,HT1,WS,XL,0,1,NA,NA,NA
276,1/1/2001,L,HT1,SF,XL,0,1,NA,NA,NA
277,1/1/2001,L,HT1,SF,XL,0,1,NA,NA,NA
278,1/1/2001,L,HT1,SF,XL,0,1,NA,NA,NA
279,1/1/2001,L,HT1,WS,XL,0,1,NA,NA,NA
280,1/1/2001,L,HT1,WS,XL,0,1,NA,NA,NA
281,1/1/2001,H,HT1,WS,M,0,0,0,0,0
282,1/1/2001,H,HT1,SF,M,0,0,0,0,0
283,1/1/2001,H,HT1,WS,M,0,0,0,0,1
284,1/1/2001,H,HT1,WS,M,0,0,0,0,0
285,1/1/2001,H,HT1,SF,M,0,0,0,1,NA
286,1/1/2001,H,HT1,SF,M,0,0,1,NA,NA
287,1/1/2001,H,HT1,WS,M,0,0,1,NA,NA
288,1/1/2001,H,HT1,SF,M,0,0,1,NA,NA
289,1/1/2001,H,HT1,SF,M,0,0,1,NA,NA
290,1/1/2001,H,HT1,SF,M,0,1,NA,NA,NA
291,1/1/2001,H,HT1,WS,M,0,1,NA,NA,NA
292,1/1/2001,H,HT1,WS,M,0,1,NA,NA,NA
293,1/1/2001,H,HT1,WS,M,0,1,NA,NA,NA
294,1/1/2001,H,HT1,SF,M,0,1,NA,NA,NA
295,1/1/2001,H,HT1,WS,M,0,1,NA,NA,NA
296,1/1/2001,H,HT1,WS,M,0,1,NA,NA,NA
297,1/1/2001,H,HT1,SF,M,0,1,NA,NA,NA
298,1/1/2001,H,HT1,SF,M,0,1,NA,NA,NA
299,1/1/2001,H,HT1,WS,M,0,1,NA,NA,NA
300,1/1/2001,H,HT1,SF,M,0,1,NA,NA,NA
301,1/1/2001,H,HT1,SF,XL,0,0,0,0,0
302,1/1/2001,H,HT1,SF,XL,0,0,0,0,0
303,1/1/2001,H,HT1,WS,XL,0,0,0,0,0
304,1/1/2001,H,HT1,WS,XL,0,0,1,NA,NA
305,1/1/2001,H,HT1,WS,XL,0,0,1,NA,NA
306,1/1/2001,H,HT1,SF,XL,0,1,NA,NA,NA
307,1/1/2001,H,HT1,WS,XL,0,1,NA,NA,NA
308,1/1/2001,H,HT1,WS,XL,0,1,NA,NA,NA
309,1/1/2001,H,HT1,SF,XL,0,1,NA,NA,NA
310,1/1/2001,H,HT1,SF,XL,0,1,NA,NA,NA
311,1/1/2001,H,HT1,WS,XL,0,1,NA,NA,NA
312,1/1/2001,H,HT1,SF,XL,0,1,NA,NA,NA
313,1/1/2001,H,HT1,SF,XL,0,1,NA,NA,NA
314,1/1/2001,H,HT1,SF,XL,0,1,NA,NA,NA
315,1/1/2001,H,HT1,WS,XL,0,1,NA,NA,NA
316,1/1/2001,H,HT1,WS,XL,0,1,NA,NA,NA
317,1/1/2001,H,HT1,WS,XL,0,1,NA,NA,NA
318,1/1/2001,H,HT1,SF,XL,0,1,NA,NA,NA
319,1/1/2001,H,HT1,WS,XL,0,1,NA,NA,NA
320,1/1/2001,H,HT1,WS,XL,0,1,NA,NA,NA
321,1/1/2001,L,HT2,SF,M,0,0,1,NA,NA
322,1/1/2001,L,HT2,SF,M,0,0,1,NA,NA
323,1/1/2001,L,HT2,WS,M,0,0,0,0,1
324,1/1/2001,L,HT2,SF,M,0,0,0,0,1
325,1/1/2001,L,HT2,SF,M,0,0,0,0,0
326,1/1/2001,L,HT2,SF,M,0,0,0,0,0
327,1/1/2001,L,HT2,WS,M,0,0,0,0,0
328,1/1/2001,L,HT2,WS,M,0,0,0,0,0
329,1/1/2001,L,HT2,WS,M,0,0,0,0,0
330,1/1/2001,L,HT2,SF,M,0,0,0,0,0
331,1/1/2001,L,HT2,WS,M,0,1,NA,NA,NA
332,1/1/2001,L,HT2,WS,M,0,1,NA,NA,NA
333,1/1/2001,L,HT2,SF,M,0,1,NA,NA,NA
334,1/1/2001,L,HT2,SF,M,0,1,NA,NA,NA
335,1/1/2001,L,HT2,WS,M,0,1,NA,NA,NA
336,1/1/2001,L,HT2,SF,M,0,1,NA,NA,NA
337,1/1/2001,L,HT2,SF,M,0,1,NA,NA,NA
338,1/1/2001,L,HT2,SF,M,0,1,NA,NA,NA
339,1/1/2001,L,HT2,WS,M,0,1,NA,NA,NA
340,1/1/2001,L,HT2,WS,M,0,1,NA,NA,NA
341,1/1/2001,L,HT2,WS,XL,0,0,0,0,0
342,1/1/2001,L,HT2,SF,XL,0,0,0,0,0
343,1/1/2001,L,HT2,WS,XL,0,0,0,0,0
344,1/1/2001,L,HT2,WS,XL,0,0,0,0,1
345,1/1/2001,L,HT2,SF,XL,0,0,0,1,NA
346,1/1/2001,L,HT2,SF,XL,0,0,1,NA,NA
347,1/1/2001,L,HT2,WS,XL,0,0,1,NA,NA
348,1/1/2001,L,HT2,SF,XL,0,0,1,NA,NA
349,1/1/2001,L,HT2,SF,XL,0,0,1,NA,NA
350,1/1/2001,L,HT2,SF,XL,0,0,1,NA,NA
351,1/1/2001,L,HT2,WS,XL,0,1,NA,NA,NA
352,1/1/2001,L,HT2,WS,XL,0,1,NA,NA,NA
353,1/1/2001,L,HT2,WS,XL,0,1,NA,NA,NA
354,1/1/2001,L,HT2,SF,XL,0,0,0,0,0
355,1/1/2001,L,HT2,WS,XL,0,1,NA,NA,NA
356,1/1/2001,L,HT2,WS,XL,0,1,NA,NA,NA
357,1/1/2001,L,HT2,SF,XL,0,0,1,NA,NA
358,1/1/2001,L,HT2,SF,XL,0,0,0,1,NA
359,1/1/2001,L,HT2,WS,XL,0,1,NA,NA,NA
360,1/1/2001,L,HT2,SF,XL,0,1,NA,NA,NA
361,1/1/2001,H,HT2,SF,M,0,0,0,0,0
362,1/1/2001,H,HT2,SF,M,0,0,0,0,0
363,1/1/2001,H,HT2,WS,M,0,0,0,0,NA
364,1/1/2001,H,HT2,WS,M,0,0,0,0,NA
365,1/1/2001,H,HT2,WS,M,0,0,0,1,NA
366,1/1/2001,H,HT2,SF,M,0,0,1,NA,NA
367,1/1/2001,H,HT2,WS,M,0,0,1,NA,NA
368,1/1/2001,H,HT2,WS,M,0,0,1,NA,NA
369,1/1/2001,H,HT2,SF,M,0,1,NA,NA,NA
370,1/1/2001,H,HT2,SF,M,0,1,NA,NA,NA
371,1/1/2001,H,HT2,WS,M,0,1,NA,NA,NA
372,1/1/2001,H,HT2,SF,M,0,1,NA,NA,NA
373,1/1/2001,H,HT2,SF,M,0,1,NA,NA,NA
374,1/1/2001,H,HT2,SF,M,0,1,NA,NA,NA
375,1/1/2001,H,HT2,WS,M,0,1,NA,NA,NA
376,1/1/2001,H,HT2,WS,M,0,1,NA,NA,NA
377,1/1/2001,H,HT2,WS,M,0,1,NA,NA,NA
378,1/1/2001,H,HT2,SF,M,0,1,NA,NA,NA
379,1/1/2001,H,HT2,WS,M,0,1,NA,NA,NA
380,1/1/2001,H,HT2,WS,M,0,1,NA,NA,NA
381,1/1/2001,H,HT2,SF,XL,0,0,0,0,0
382,1/1/2001,H,HT2,SF,XL,0,0,0,0,NA
383,1/1/2001,H,HT2,WS,XL,0,0,0,1,NA
384,1/1/2001,H,HT2,SF,XL,0,0,0,0,0
385,1/1/2001,H,HT2,SF,XL,0,0,0,0,0
386,1/1/2001,H,HT2,SF,XL,0,0,0,1,NA
387,1/1/2001,H,HT2,WS,XL,0,1,NA,NA,NA
388,1/1/2001,H,HT2,WS,XL,0,1,NA,NA,NA
389,1/1/2001,H,HT2,WS,XL,0,1,NA,NA,NA
390,1/1/2001,H,HT2,SF,XL,0,1,NA,NA,NA
391,1/1/2001,H,HT2,WS,XL,0,1,NA,NA,NA
392,1/1/2001,H,HT2,WS,XL,0,1,NA,NA,NA
393,1/1/2001,H,HT2,SF,XL,0,1,NA,NA,NA
394,1/1/2001,H,HT2,SF,XL,0,1,NA,NA,NA
395,1/1/2001,H,HT2,WS,XL,0,1,NA,NA,NA
396,1/1/2001,H,HT2,SF,XL,0,1,NA,NA,NA
397,1/1/2001,H,HT2,SF,XL,0,1,NA,NA,NA
398,1/1/2001,H,HT2,SF,XL,0,1,NA,NA,NA
399,1/1/2001,H,HT2,WS,XL,0,1,NA,NA,NA
400,1/1/2001,H,HT2,WS,XL,0,1,NA,NA,NA
401,1/1/2001,M,HT1,WS,M,0,0,0,0,0
402,1/1/2001,M,HT1,SF,M,0,0,0,0,0
403,1/1/2001,M,HT1,WS,M,0,0,0,0,0
404,1/1/2001,M,HT1,WS,M,0,0,0,0,0
405,1/1/2001,M,HT1,SF,M,0,0,0,0,0
406,1/1/2001,M,HT1,SF,M,0,0,0,1,NA
407,1/1/2001,M,HT1,WS,M,0,0,0,1,NA
408,1/1/2001,M,HT1,SF,M,0,0,1,NA,NA
409,1/1/2001,M,HT1,SF,M,0,0,1,NA,NA
410,1/1/2001,M,HT1,SF,M,0,1,NA,NA,NA
411,1/1/2001,M,HT1,WS,M,0,1,NA,NA,NA
412,1/1/2001,M,HT1,WS,M,0,1,NA,NA,NA
413,1/1/2001,M,HT1,WS,M,0,1,NA,NA,NA
414,1/1/2001,M,HT1,SF,M,0,1,NA,NA,NA
415,1/1/2001,M,HT1,WS,M,0,1,NA,NA,NA
416,1/1/2001,M,HT1,WS,M,0,1,NA,NA,NA
417,1/1/2001,M,HT1,SF,M,0,1,NA,NA,NA
418,1/1/2001,M,HT1,SF,M,0,1,NA,NA,NA
419,1/1/2001,M,HT1,WS,M,0,1,NA,NA,NA
420,1/1/2001,M,HT1,SF,M,0,1,NA,NA,NA
421,1/1/2001,M,HT1,SF,XL,0,0,0,0,0
422,1/1/2001,M,HT1,SF,XL,0,0,0,0,0
423,1/1/2001,M,HT1,WS,XL,0,0,0,0,0
424,1/1/2001,M,HT1,WS,XL,0,0,0,1,NA
425,1/1/2001,M,HT1,WS,XL,0,0,1,NA,NA
426,1/1/2001,M,HT1,SF,XL,0,0,1,NA,NA
427,1/1/2001,M,HT1,WS,XL,0,0,1,NA,NA
428,1/1/2001,M,HT1,WS,XL,0,1,NA,NA,NA
429,1/1/2001,M,HT1,SF,XL,0,1,NA,NA,NA
430,1/1/2001,M,HT1,SF,XL,0,1,NA,NA,NA
431,1/1/2001,M,HT1,WS,XL,0,1,NA,NA,NA
